Āfrika	Africa
Oreola efekts	Halo effect
Elku pielūgšana	Idolatry
Dunajeca	Dunajec
Silent Hill: Origins	Silent Hill: Origins
Sojuz TMA-14	Soyuz TMA-14
Speak to Me	Speak to Me
Dienvidu upesūdrs	Southern river otter
Pāvilosta	Pāvilosta
Seven Seas of Rhye	Seven Seas of Rhye
1981. gada Tour de France	1981 Tour de France
Stobra bremze	Muzzle brake
Durbe	Durbe
Smiltene	Smiltene
Saulkrasti	Saulkrasti
Brocēni	Brocēni
Strausveidīgie	Ratite
I Wanna	I Wanna (Marie N song)
NEOSSat	Near Earth Object Surveillance Satellite
Tangras kalni	Tangra Mountains
Lotto-Belisol	Lotto-Soudal
Brovari	Brovary
Voshod (kosmosa kuģis)	Voskhod (spacecraft)
Japānas salu arhipelāgs	Japanese archipelago
Afrikāneri	Afrikaner
Ostrova Mazovecka	Ostrów Mazowiecka
Gižicko	Giżycko
Slavkova	Sławków
Augšējais loceklis	Upper limb
Mežonīgās medības	Wild Hunt
Tranquility (SKS)	Tranquility (ISS module)
Sabiedrības noslāņošanās	Social stratification
Karakačani	Sarakatsani
Zvaigznes tipa tīkls	Star network
Puspērtiķi	Prosimian
Kipras prezidenti	President of Cyprus
Who's That Girl	Who's That Girl (soundtrack)
Fizionomija	Physiognomy
Vranova pie Topļas	Vranov nad Topľou
PSKP CK politbirojs	Politburo of the Communist Party of the Soviet Union
Ford Crown Victoria	Ford Crown Victoria
Handlova	Handlová
Django (tīmekļa ietvars)	Django (web framework)
BIM	Building information modeling
Krompahi	Krompachy
Mustvē	Mustvee
Veļke Kapušani	Veľké Kapušany
Gelnica	Gelnica
MG-3	Rheinmetall MG 3
Ohne dich	Ohne dich
Islandes reģioni	Regions of Iceland
Ābrahams Simpsons	Grampa Simpson
Ilgu tramvajs	A Streetcar Named Desire (play)
Ulama spirāle	Ulam spiral
Naudas piedāvājums	Money supply
Fearless	Fearless (Taylor Swift album)
2013. gada Pasaules čempionāts vieglatlētikā	2013 World Championships in Athletics
Aizkraukles rajons	Aizkraukle District
Ford Ka	Ford Ka
Skeitbordings	Skateboarding
NBA finālsērija	NBA Finals
Krievijas premjerministrs	Prime Minister of Russia
Sečuras zorro	Sechuran fox
Ķīmisko ieroču aizlieguma organizācija	Organisation for the Prohibition of Chemical Weapons
Hondurasas himna	National Anthem of Honduras
Monēras	Monera
Zvaigžņu karte	Star chart
Zooplanktons	Zooplankton
Valstu uzskaitījums pēc iedzīvotāju vidējā dzīves ilguma	List of countries by life expectancy
NBA Attīstības līga	NBA Development League
Gelmīma	Guelmim
Errera	Herrera Province
Mailija Stjuarta	Miley Stewart
Āzijas mežastrazdi	Asian thrush
Tollensa reaģents	Tollens' reagent
Pasaules lielākās pilsētas pēc iedzīvotāju skaita	List of cities proper by population
Svilpji	Pyrrhula
Desmitkājveidīgie	Decapodiformes
Maurīcijas piekūns	Mauritius kestrel
Saldus rajons	Saldus District
Warner Bros. Records	Warner Bros. Records
Vieglatlētika 2012. gada Vasaras Olimpiskajās spēlēs — Sievietes, septiņcīņa	Athletics at the 2012 Summer Olympics – Women's heptathlon
Cianāti	Cyanate
Volejbols 2012. gada Vasaras Olimpiskajās spēlēs — Vīrieši	Volleyball at the 2012 Summer Olympics – Men's tournament
Pokļuka	Pokljuka
Latvijas Kauss futbolā	Latvian Football Cup
Neredzamais (filma)	The Invisible (film)
Posti Group	Posti Group
Forza Motorsport 3	Forza Motorsport 3
2011.—2012. gada Pasaules kauss biatlonā	2011–12 Biathlon World Cup
Areola	Areola
Tukuma rajons	Tukums District
Valmieras rajons	Valmiera District
Kuldīgas rajons	Kuldīga District
Talsu rajons	Talsi District
Ogres rajons	Ogre District
Traķēnes zirgs	Trakehner
Veselības zinātne	Healthcare scientists
Jēkabpils rajons	Jēkabpils District
Liepājas rajons	Liepāja District
Bāze (aritmētika)	Radix
Mūzikas stilu uzskaitījums	List of music styles
Do (nots)	C (musical note)
Purvmiršu dzimta	Myricaceae
Kritiskā domāšana	Critical thinking
Krievijas Superlīga (hokejs)	Russian Superleague
Iridium 33 un Kosmos-2251 sadursme	2009 satellite collision
Pretgaisa aizsardzība	Anti-aircraft warfare
Šonī	Shawnee, Oklahoma
Jauniņā	New Girl
Portlandcements	Portland cement
Hot n Cold	Hot n Cold
Meksikas grizli lācis	Mexican grizzly bear
6 cepuru metode	Six Thinking Hats
Staicele	Staicele
Mazsalaca	Mazsalaca
Lubāna	Lubāna
Rozā pantera	The Pink Panther (2006 film)
NBA sezonas labākais rezervists	NBA Sixth Man of the Year Award
Flags of the World	Flags of the World
Transakcija (informātika)	Transaction processing
Cekulsīļi	Cyanocorax
Birmas seskāpsis	Burmese ferret-badger
Čurjumova—Gerasimenko komēta	67P/Churyumov–Gerasimenko
Nelegālā narkotiku tirdzniecība	Illegal drug trade
Išēmiskā sirds slimība	Coronary artery disease
2014 Vasiļevskis	2014 Vasilevskis
Austrumu reģions	East Region (Cameroon)
Piekrastes reģions	Littoral Region (Cameroon)
Gvinejas-Bisavas prezidenti	List of Presidents of Guinea-Bissau
Preiļu rajons	Preiļi District
Bauskas rajons	Bauska District
Dobeles rajons	Dobele District
Valkas rajons	Valka District
Cēsu rajons	Cēsis District
Gulbenes rajons	Gulbene District
Pumpurošanās	Budding
Lietuvas premjerministrs	Prime Minister of Lithuania
Parīzes vēsture	History of Paris
Gran Turismo 4	Gran Turismo 4
Millets	Millet (Ottoman Empire)
Dispersija (statistika)	Statistical dispersion
Taylor Swift (albums)	Taylor Swift (album)
Taimiras ezers	Lake Taymyr
Hūpene	Hopen (Svalbard)
Vudsu ezers	Lake of the Woods
Hūrnāvans	Hornavan
NBA sezonas labākais spēlētājs aizsardzībā	NBA Defensive Player of the Year Award
Retroflekss nazāls līdzskanis	Retroflex nasal
Pielinens	Pielinen
Krievijas hokeja izlase	Russia men's national ice hockey team
Gambijas prezidenti	List of heads of state of the Gambia
Skitija	Scythia
Luisa Leina	Lois Lane
ISO 639-3	ISO 639-3
Nacionālā Svētās Sirds bazilika	Basilica of the Sacred Heart, Brussels
Planētu apdzīvojamība	Planetary habitability
Drip Drop	Drip Drop
1966. gada Eiropas čempionāts basketbolā sievietēm	EuroBasket 1966 Women
Septiņi jaunie dabas brīnumi	New7Wonders of Nature
Nāglfars	Naglfar
Queen + Paul Rodgers	Queen + Paul Rodgers
Kamargas zirgs	Camargue horse
Wild Dances	Wild Dances
Sojuz TMA-16	Soyuz TMA-16
Half Hour of Power	Half Hour of Power
Lo-Rakovice	Law-Racoviță Station
142857 (skaitlis)	142857 (number)
Glitter	Glitter (soundtrack)
Mark IV	Mark IV tank
Valdemārpils	Valdemārpils
Ford Galaxy	Ford Galaxy
Daniils Turkovs	Daniils Turkovs
Hriņova	Hriňová
Strāžske	Strážske
Moldava pie Bodvas	Moldava nad Bodvou
Starptautiskā fonētiskā asociācija	International Phonetic Association
Amerikāņi (nācija)	Americans
Iekļautās procedūras	Stored procedure
Paulīniešu ordenis	Order of Saint Paul the First Hermit
Krievu—turku karš (1710—1711)	Pruth River Campaign
Jelšava	Jelšava
Gleipnirs	Gleipnir
Izvēlne	Menu (computing)
Menisks (anatomija)	Meniscus (anatomy)
Tiltiņš (kuģis)	Bridge (nautical)
Kohēzijas politika	Structural Funds and Cohesion Fund
Sporta klubs	Sports club
Latvija Bērnu Eirovīzijas dziesmu konkursā	Latvia in the Junior Eurovision Song Contest
OpenSSH	OpenSSH
Lipani	Lipany
Team Katusha	Team Katusha
Revūca	Revúca
Mutter (singls)	Mutter (song)
Sečovce	Sečovce
Trstena	Trstená
Filla	Fulla
Kanādas hokeja līga	Canadian Hockey League
HP-UX	HP-UX
Ignalinas AES	Ignalina Nuclear Power Plant
Kauņas starptautiskā lidosta	Kaunas Airport
Greatest Hits (2Pac albums)	Greatest Hits (Tupac Shakur album)
Pirejas "Olympiacos" (basketbola klubs)	Olympiacos B.C.
Nomierinošie līdzekļi	Sedative
Viļņas starptautiskā lidosta	Vilnius Airport
Jonišķi	Joniškis
Centrālāfrikas CFA franks	Central African CFA franc
Voroņeža (upe)	Voronezh River
Sudraba medaļa	Silver medal
Mikroformāti	Microformat
Vesterlunds	Westerlund
Zemapziņa	Subconscious
Plakanā mezgliņēde	Lichen planus
Gudrā māja	Home automation
Francijas Henrieta Marija	Henrietta Maria of France
Karimatas šaurums	Karimata Strait
Rietumu krūmu sīlis	Western scrub jay
The Velvet Underground (albums)	The Velvet Underground (album)
Vacansoleil-DCM	Vacansoleil-DCM
2012. gads sportā	2012 in sports
Konmāras ponijs	Connemara pony
Koriba ezers	Lough Corrib
Hela	Hel, Poland
Jaslo	Jasło
Ščecineka	Szczecinek
Revolver (dziesma)	Revolver (song)
2012. gada UCI WorldTour	2012 UCI World Tour
2007. gada Pasaules čempionāts biatlonā	Biathlon World Championships 2007
Nozomi	Nozomi (spacecraft)
Superkauss XLVI	Super Bowl XLVI
Šepsholmena	Skeppsholmen
2011. gada UCI WorldTour	2011 UCI World Tour
Rietumu hokeja līga	Western Hockey League
Apaļvaboļu dzimta	Byrrhidae
Nami ezers	Lake Ngami
Bučača	Buchach
Kremeneca	Kremenets
Varakļāni	Varakļāni
Kārsava	Kārsava
Kandava	Kandava
Līvāni	Līvāni
Graphical Environment Manager	Graphical Environment Manager
Reviljahihedo salas	Revillagigedo Islands
Kiberkarš	Cyberwarfare
Copa Airlines	Copa Airlines
Rotācijas virsma	Surface of revolution
Kopršivnice	Kopřivnice
Nakuru ezers	Lake Nakuru
Lāodikeja	Laodicea on the Lycus
Jorkas universitāte (Kanāda)	York University
Vangaži	Vangaži
Seišelu himna	Koste Seselwa
Broken	Broken (EP)
Očakiva	Ochakiv
Ģenerālis (filma)	The General (1926 film)
2010.—2011. gada Pasaules kauss biatlonā	2010–11 Biathlon World Cup
Brambijs	Brumby
Pasaules čempionāts šosejas motobraukšanā	Grand Prix motorcycle racing
Bruntālas apriņķis	Bruntál District
Briseles Tiesu pils	Law Courts of Brussels
Degunragputni	Buceros
New Found Glory	New Found Glory
Arhegonijs	Archegonium
XQuery	XQuery
Kailgalves	Psilocybe
Helmža	Chełmża
Belska Podlaska	Bielsk Podlaski
Jaunzēlandes Ārējās salas	New Zealand outlying islands
Elektroniskā deju mūzika	Electronic dance music
Južmaš	Yuzhmash
Strenči	Strenči
Monako Okeanogrāfijas muzejs	Oceanographic Museum
Jelgavas rajons	Jelgava District
Konvencija pret spīdzināšanu	United Nations Convention against Torture
Piktoriālisms	Pictorialism
Oktets (informātika)	Octet (computing)
Reljefa kartēšana	Bump mapping
Alkoholiskā rūgšana	Ethanol fermentation
Pop Life	Pop Life (David Guetta album)
Geminācija	Gemination
Bolometrs	Bolometer
Robonauts	Robonaut
Vilkavišķi	Vilkaviškis
Veļki Šariša	Veľký Šariš
Nobela prēmijas laureāti fizikā	List of Nobel laureates in Physics
Svita	Svit
Podolīneca	Podolínec
Volština	Wolsztyn
Panamax	Panamax
Biškopis	Beekeeper
Mazie sīļi	Cyanolyca
Pueblu kultūra	Puebloan peoples
Svitavu apriņķis	Svitavy District
Karvinas apriņķis	Karviná District
Kromeržīžas apriņķis	Kroměříž District
Vsetīnas apriņķis	Vsetín District
Savienotā koka protokols	Spanning Tree Protocol
Elvenking	Elvenking (band)
Jules Verne ATV	Jules Verne ATV
Adjutants	Adjutant
Āfrikas svītrainā zebiekste	African striped weasel
Parastais tenreks	Tailless tenrec
Degu dzimta	Octodontidae
Izmainītas apziņas stāvokļi	Altered state of consciousness
Madagaskaras prezidenti	List of Presidents of Madagascar
Magņitogorskas "Metallurg"	Metallurg Magnitogorsk
Vistu un zosu virskārta	Fowl
Džakobini—Cinnera komēta	21P/Giacobini–Zinner
Nobīdes strāva	Displacement current
Patagonijas zebiekste	Patagonian weasel
PCD	PCD (album)
Ūdensvistiņas	Moorhen
Masu komunikācija	Mass communication
Saules kauja	Battle of Saule
Līgatne	Līgatne
Kauņas apriņķis	Kaunas County
Enduro	Enduro
Gvadalupe	Guadalupe Island
Marijampoles apriņķis	Marijampolė County
Indostāna	Hindustan
2011.—2012. gada KHL sezona	2011–12 KHL season
Dienvidmazpolijas koka baznīcas	Wooden churches of Southern Lesser Poland
Portāls (arhitektūra)	Portal (architecture)
6174 (skaitlis)	6174 (number)
Akūts pankreatīts	Acute pancreatitis
Belžice	Bełżyce
Stambulas "Beşiktaş JK" (basketbols)	Beşiktaş men's basketball team
Šarlaksarkanais ozols	Quercus coccinea
Špics	Spitz
Stāvlapu dzegužpirkstīte	Dactylorhiza incarnata
NMT	Nordic Mobile Telephone
Kazahijas PSR karogs	Flag of the Kazakh Soviet Socialist Republic
Ģitārists	Guitarist
Parastais sīksamtenis	Small heath (butterfly)
IPX	Internetwork Packet Exchange
Biafo	Biafo Glacier
Pūmipons Adunjadēts	Bhumibol Adulyadej
Spānijas politika	Politics of Spain
Garspārnu raibeņi	Heliconiinae
Polijas administratīvais iedalījums	Administrative divisions of Poland
Vlodavas apriņķis	Włodawa County
2010. gada Pasaules čempionāts biatlonā	Biathlon World Championships 2010
Pasaules kauss biatlonā	Biathlon World Cup
2009.—2010. gada Pasaules kauss biatlonā	2009–10 Biathlon World Cup
Subkontinents	Subcontinent
Katafalks	Hearse
Sarkanrīklītes	Erithacus
2015. gada Pasaules čempionāts biatlonā	Biathlon World Championships 2015
2013. gada Pasaules čempionāts biatlonā	Biathlon World Championships 2013
Indijas vilks	Indian wolf
Bjala Piska	Biała Piska
Bjalobžegi	Białobrzegi
CyanogenMod	CyanogenMod
Slavuta	Slavuta
Bjali Bora	Biały Bór
Bībeles kodi	Bible code
CD Leganes	CD Leganés
Magnuss Henriksons	Magnus II of Sweden
Sarkanpieres jakāns	Wattled jacana
Hurbanovo	Hurbanovo
Haifisch	Haifisch
PW-Sat	PW-Sat
Sēļi	Selonians
Ūstu pie Orlices apriņķis	Ústí nad Orlicí District
Livingstona sala	Livingston Island
67. Kinoakadēmijas balva	67th Academy Awards
Sojuz TMA-18	Soyuz TMA-18
Sojuz TMA-20	Soyuz TMA-20
Fjordu zirgs	Fjord horse
64. Kinoakadēmijas balva	64th Academy Awards
Pendikas rajons	Pendik
Green Day diskogrāfija	Green Day discography
Ungāru ozols	Quercus frainetto
Sarijeras rajons	Sarıyer
Dienvidu reģions	South Region (Cameroon)
Beidou	BeiDou Navigation Satellite System
Pfrognera rags	Pfrogner Point
Veita rags	Cape Waite
Annas rags	Cape Ann (Enderby Land)
Belava	Bielawa
Lightwave	LightWave 3D
Eirodziesma 2007	Eirodziesma 2007
Eirodziesma 2003	Latvia in the Eurovision Song Contest 2003
Eirodziesma 2001	Latvia in the Eurovision Song Contest 2001
Eirodziesma 2000	Latvia in the Eurovision Song Contest 2000
Eirodziesma 2006	Latvia in the Eurovision Song Contest 2006
Eirodziesma 2005	Latvia in the Eurovision Song Contest 2005
Eirodziesma 2004	Latvia in the Eurovision Song Contest 2004
Eirodziesma 2009	Latvia in the Eurovision Song Contest 2009
Eirodziesma 2002	Latvia in the Eurovision Song Contest 2002
Eirodziesma 2010	Latvia in the Eurovision Song Contest 2010
Anotācija	Annotation
Eirodziesma 2011	Latvia in the Eurovision Song Contest 2011
Eirodziesma 2012	Latvia in the Eurovision Song Contest 2012
Beterbija rags	Cape Batterbee
Rotera rags	Rothera Point
Latvijas eiro monētas	Latvian euro coins
Can't Be Tamed (dziesma)	Can't Be Tamed (song)
Berutova	Bierutów
Capri	Capri (disambiguation)
Bežuņa	Bieżuń
Pieslēgvieta	Port (computer networking)
Serial Experiments Lain	Serial Experiments Lain
Preiļi	Preiļi
Dalāmības pazīmes	Divisibility rule
Mario Kart DS	Mario Kart DS
Kontinentālā Zemes garoza	Continental crust
Bigbīts	Big beat
Eirodziesma 2008	Latvia in the Eurovision Song Contest 2008
Austrumu milzu vāveres	Oriental giant squirrel
Red (Teiloras Sviftas albums)	Red (Taylor Swift album)
Ventspils rajons	Ventspils District
Rēzeknes rajons	Rēzekne District
Cascada	Cascada
Ragi (žests)	Sign of the horns
Katartas	Cathartes
Lielās mammas māja 2	Big Momma's House 2
Kavaljēri	Cavalieri
Jūrascūciņveidīgie	Caviomorpha
Vikipēdija:Vikipēdiju uzskaitījums	List of Wikipedias
Karaļa Džordža sala	King George Island (South Shetland Islands)
Pasta serveris	Message transfer agent
Ganna diode	Gunn diode
Warcraft Adventures: Lord of the Clans	Warcraft Adventures: Lord of the Clans
Sirsniņgliemeņu dzimta	Cockle (bivalve)
Hermanis Saltups	Hermanis Saltups
Daloa	Daloa
MOA-2007-BLG-192Lb	MOA-2007-BLG-192Lb
Alekss Petrandželo	Alex Pietrangelo
Sacensību spēle	Racing video game
Mets Elisons	Matt Ellison
Kels O'Rīlijs	Cal O'Reilly
Sovetska	Sovetsk
Raiens O'Rīlijs	Ryan O'Reilly (ice hockey)
Britu filmu klasifikācijas padome	British Board of Film Classification
Biļaļetdinovs	Bilyaletdinov
Diēta	Dieting
Iekšzemes impērija	Inland Empire (film)
Indieši	Indian people
Žirafes	Giraffa
Kwangmyŏngsŏng 3-2	Kwangmyŏngsŏng-3 Unit 2
Ramana spektroskopija	Raman spectroscopy
Mali valsts vadītāji	List of heads of state of Mali
Čehijas Ekstralīga	Czech Extraliga
Moronijs	Angel Moroni
Nacionālā kopējā laime	Gross National Happiness
Karaļa Filipa karš	King Philip's War
Ķīnas basketbola izlase	China men's national basketball team
Minskas "Dinamo"	HC Dinamo Minsk
TeliaSonera	TeliaSonera
Bils Rebane	Bill Rebane
Marteno viļņi	Ondes Martenot
ASV Tiesību bils	United States Bill of Rights
Beiganas starptautiskais mūzikas festivāls	Beigang International Music Festival
Aizkuņģa dziedzera sula	Pancreatic juice
Minskas Arēna	Minsk-Arena
Klistrons	Klystron
Edvīns Bietags	Edvīns Bietags
Billijs Smits	Billy Smith (ice hockey)
Trampa tornis	Trump Tower
Sloņima	Slonim
Freescale Semiconductor	Freescale Semiconductor
Cjiņlins	Qin Mountains
Lietuvas PSR ģerbonis	Emblem of the Lithuanian Soviet Socialist Republic
Bingemtonas "Senators"	Binghamton Senators
Does This Look Infected?	Does This Look Infected?
Iekšējā tirgus informāciju sistēma	Internal Market Information System
Valstu uzskaitījums pēc dzimstības koeficienta	List of sovereign states and dependent territories by birth rate
Sudan Airways	Sudan Airways
Biovara	Biopower
Biodaudzveidības karstie punkti	Biodiversity hotspot
Haloo Helsinki!	Haloo Helsinki!
Kaijveidīgie	Lari
Bioloģijas muzejs	Biological museum (Stockholm)
Calligra	Calligra Suite
Drosele (elektronika)	Choke (electronics)
Ziemeļvidzemes biosfēras rezervāts	North Vidzeme Biosphere Reserve
Hluhiva	Hlukhiv
Žovkva	Zhovkva
Sid Meier's Colonization	Sid Meier's Colonization
Čadas prezidenti	List of heads of state of Chad
Birete (galvassega)	Biretta
Birgers Nermans	Birger Nerman
Birjukovs	Biryukov
Parastais vilnītis	Lactarius torminosus
Bērza darva	Birch tar
Pļaviņu novads	Pļaviņas Municipality
Aknīstes novads	Aknīste Municipality
Aizkraukles novads	Aizkraukle Municipality
Kokneses novads	Koknese Municipality
Brocēnu novads	Brocēni Municipality
Diglims	Diglyme
Misters Smits brauc uz Vašingtonu	Mr. Smith Goes to Washington
Zobu ammi	Ammi visnaga
Bisko salas	Biscoe Islands
Ekoloģiskā kapacitāte	Carrying capacity
PPPoE	Point-to-point protocol over Ethernet
Need for Speed: Hot Pursuit 2	Need for Speed: Hot Pursuit 2
Austrumantarktīda	East Antarctica
Ill Niño	Ill Niño
Battlefield Heroes	Battlefield Heroes
Riteņbraukšanas lielās tūres	Grand Tour (cycling)
Pentaprizma	Pentaprism
Koronāls līdzskanis	Coronal consonant
Togo prezidenti	List of heads of state of Togo
Olešice	Oleszyce
Sokolova Malopolska	Sokołów Małopolski
Čērčils	Churchill (disambiguation)
Lamu cilts	Lamini
Konstantinova Ludzka	Konstantynów Łódzki
Glovno	Głowno
Radomislvelki	Radomyśl Wielki
Ulanova	Ulanów
Čūskērgļi	Circaetus
Seņdzišova Malopolska	Sędziszów Małopolski
Čačerska	Čačersk
AdBlock	AdBlock
"Netīrā" bumba	Dirty bomb
Klēra Deinsa	Claire Danes
Dižknābji	Coccothraustes
Come Away with Me	Come Away with Me
Trampa tornis (Ņujorka)	Trump Tower (New York City)
Kamerūnas reģioni	Regions of Cameroon
Kosumelas degunlācītis	Cozumel Island coati
Dieva kalps	Servant of God
Jelgavas diecēze	Roman Catholic Diocese of Jelgava
Crushcrushcrush	Crushcrushcrush
CryoSat-2	CryoSat-2
Rovio Entertainment	Rovio Entertainment
Dancing Queen	Dancing Queen
Slam dunk	Slam dunk
Kurzemes bīskapija	Bishopric of Courland
2018. gada Vasaras Jaunatnes Olimpiskās spēles	2018 Summer Youth Olympics
Fitch Group	Fitch Ratings
Vindobona	Vindobona
Grieķija (Osmaņu impērija)	Ottoman Greece
Lībijas valsts vadītāji	List of heads of state of Libya
Hlidskjalvs	Hlidskjalf
Skautu kustība	Scouting
Klitors	Clitoris
Bronzas medaļa	Bronze medal
Ētika uzņēmējdarbībā	Business ethics
Sīktēls	Thumbnail
Karls Kurcs	Karl Kurz
Grupu teorija	Group theory
Armēnijas PSR ģerbonis	Emblem of the Armenian Soviet Socialist Republic
Igaunijas PSR ģerbonis	Emblem of the Estonian Soviet Socialist Republic
Tallinas bīskapi	Bishopric of Reval
Nenoapaļots augsta mēles pacēluma pakaļējās rindas patskanis	Close back unrounded vowel
Zīriņu dzimta	Tern
The Village Voice	The Village Voice
Mirinas lagūna	Lagoon Mirim
Kamerūnas prezidenti	List of heads of state of Cameroon
Zirga krāsa	Equine coat color
Niues futbola izlase	Niue national football team
Indeterminisms	Indeterminism
Čības	Slipper
Kvarca rezonators	Crystal oscillator
Netiešas vēlēšanas	Indirect election
Kases ieņēmumi	Box office
UEFA jubilejas apbalvojumi	UEFA Jubilee Awards
DIMM	DIMM
Latvijas PSR ģerbonis	Emblem of the Latvian Soviet Socialist Republic
Visu zemju proletārieši, savienojieties!	Workers of the world, unite!
Kodoskops	Overhead projector
Vuvei	Wu wei
Santomes un Prinsipi valsts vadītāji	List of heads of state of São Tomé and Príncipe
Beninas valsts vadītāji	List of heads of state of Benin
Luksemburgas valdnieki	List of monarchs of Luxembourg
Kubas prezidenti	List of Presidents of Cuba
Ugandas prezidenti	List of heads of state of Uganda
Kotdivuāras valsts vadītāji	List of heads of state of Ivory Coast
Augstiene	Highland
Lesoto karaļi	List of Kings of Lesotho
Kongo valsts vadītāji	List of heads of state of the Republic of the Congo
Baumas	Rumor
Giboni	Hylobates
Bitjuga	Bityug River
Modernisms	Modernism
Bitu nobīde	Bitwise operation
Konfesija	Christian denomination
Bjaroza	Byaroza
Bjērns Melīns	Björn Melin
Bleiks	Blake (disambiguation)
Zilais ledus	Blue ice (glacial)
Zilā Nīla	Blue Nile
Pelēkā tabaka	Nicotiana glauca
Gaisa spēku izpalīgi	Luftwaffenhelfer
Gemedža rags	Gamage Point
Hartfordas "Wolf Pack"	Hartford Wolf Pack
Svina cirkonāts-titanāts	Lead zirconate titanate
Tiflopedagoģija	Blindness and education
Blohs	Bloch
Ēriks Koņeckis	Ēriks Koņeckis
TET-1	TET-1
Blood	Blood (video game)
Asiņainā Strauta kauja	Battle of Bloody Brook
Dzimuši policisti	Blue Bloods (TV series)
Blue Tattoo	Blue Tattoo (album)
Asinssārtā dzegužpirkstīte	Dactylorhiza cruenta
Panamas prezidenti	List of heads of state of Panama
Ganas prezidenti	List of heads of state of Ghana
Čeļabinskas "Traktor"	Traktor Chelyabinsk
Jiri Uluots	Jüri Uluots
Jaroslavs Halāks	Jaroslav Halák
D-AMPS	Digital AMPS
Igors Vihrovs	Igors Vihrovs
BO	Bo
Bo Gīrcs	Bo Giertz
Jaunatnes hokeja līga	Junior Hockey League (Russia)
Bo Džeksons	Bo Jackson
Mercury Capri	Mercury Capri
Jevgēņijs Saproņenko	Jevgēņijs Saproņenko
Oksfordas—Kembridžas airēšanas sacensības	The Boat Race
2008.—2009. gada Pasaules kauss bobslejā	2008–09 Bobsleigh World Cup
2009.—2010. gada Pasaules kauss bobslejā	2009–10 Bobsleigh World Cup
Ants Pīps	Ants Piip
2013. gada FIBT pasaules čempionāts	FIBT World Championships 2013
2012. gada FIBT pasaules čempionāts	FIBT World Championships 2012
2015. gada FIBT pasaules čempionāts	FIBT World Championships 2015
Valstu vadītāji 1900. gadā	List of state leaders in 1900
Valstu vadītāji 1. gadā	List of state leaders in 1
Valstu vadītāji 1955. gadā	List of state leaders in 1955
Frodi	Frotho I
Symbian (uzņēmums)	Symbian Ltd.
Bobijs Batlers	Bobby Butler (ice hockey)
Bobijs Klārks	Bobby Clarke
Halogenēšana	Halogenation
Dzelzceļa viadukts Boleslavecā	Bolesławiec rail viaduct
Hanibāls (seriāls)	Hannibal (TV series)
Bobrova divīzija	Bobrov Division
Kluazonisms	Cloisonnism
Iļļičivska	Illichivsk
Ļubotina	Liubotyn
Kupjanska	Kupiansk
Teplodara	Teplodar
Pervomajska (Harkovas apgabals)	Pervomaiskyi
Kotovska (Ukraina)	Kotovsk, Ukraine
Čuhujiva	Chuhuiv
Lozova	Lozova
Pusleģendārie Zviedrijas karaļi	List of legendary kings of Sweden
Sjerraleones valsts vadītāji	President of Sierra Leone
Zimbabves Rodēzija	Zimbabwe-Rhodesia
Bodzentina	Bodzentyn
Boeing Model 40	Boeing Model 40
Boeing 80	Boeing 80
Bogdanovs	Bogdanov
Kallavesi	Kallavesi
Keitele	Lake Keitele
Bogorijas ezers	Lake Bogoria
Boguhvala	Boguchwała
Bogušova-Gorce	Boguszów-Gorce
Bohumīna	Bohumín
Bodžera scinks	Bojer's skink
Bojkovice	Bojkovice
Izdzīvošana	Survival skills
Bolmens	Bolmen
Lapajervi	Lake Lappajärvi
Rebelle	War Witch
Bombardier CRJ200	Bombardier CRJ200
Avianca Ecuador	Avianca Ecuador
Bonaparti.lv	Bonaparti.lv
Zane Tamane	Zane Tamane
Lielais Getsbijs (filma)	The Great Gatsby (2013 film)
Igors Cigirlašs	Igor Țîgîrlaș
Bordetella parapertussis	Bordetella parapertussis
Daugavpils Borisa un Gļeba pareizticīgo katedrāle	Ss. Boris and Gleb Cathedral, Daugavpils
Boriss Cilevičs	Boriss Cilevičs
Asspalvainās zemes vāveres	Xerini
Boston Garden	Boston Garden
2014. gada Tour de France	2014 Tour de France
51 (skaitlis)	51 (number)
Kristāliskā struktūra	Crystal structure
Krievijas valdnieku uzskaitījums	List of Russian rulers
Bračāno ezers	Lake Bracciano
2007.—2010. gada globālā finanšu krīze	Financial crisis of 2007–08
Vecsēlpils	Sēlpils
Team RadioShack	Team RadioShack
1994. gada Tour de France	1994 Tour de France
Audi 100	Audi 100
Brendons Bočenskis	Brandon Bochenski
Brandīsa pie Orlices	Brandýs nad Orlicí
Singonija	Crystal system
Jodskaitlis	Iodine value
Dredi	Dreadlocks
Brensfīlda šaurums	Bransfield Strait
Sintētiskā marihuāna	Synthetic cannabis
Floroglucīns	Phloroglucinol
Poisk (SKS)	Poisk (ISS module)
Korķskābe	Suberic acid
Ķīmiskā nobīde	Chemical shift
Šaurlapu araukārija	Araucaria angustifolia
Beku dzimta	Boletaceae
Tecēšanas robeža	Yield (engineering)
Brazīliešu integrālistu partija	Brazilian Integralism
Suicidal Tendencies	Suicidal Tendencies
1976. gada Tour de France	1976 Tour de France
ETSI	ETSI
Halkons	Chalcone
Priežu dižkoksngrauzis	Prionus coriarius
Palu staipeknītis	Lycopodiella inundata
Izotoniskais koeficients	Van 't Hoff factor
Izoksazols	Isoxazole
Pirolīns	Pyrroline
Ostruda	Ostróda
Kabeļtauva	Cable length
Kontracepcijas spirāle	Intrauterine device
Distorsijas efekts	Distortion (music)
