ஆப்பிரிக்கா	Africa
இந்திய நிதிசார் முறைமைக் குறியீடு	Indian Financial System Code
இந்திய மேலாண்மை கழகம் திருச்சிராப்பள்ளி	Indian Institute of Management Tiruchirappalli
இந்திய தொழில்நுட்பக் கழகம் இந்தூர்	Indian Institute of Technology Indore
இந்தியக் கடல்சார் பல்கலைக்கழகம்	Indian Maritime University
இந்தியத் தொலைத்தொடர்புப் பணி	Indian Telecommunication Service
இந்தியப் பஞ்சம், 1899–1900	Indian famine of 1899–1900
இந்தியப் பஞ்சம், 1896–97	Indian famine of 1896–97
சென்னை மாநிலத்தில் இந்திய நாடாளுமன்றத் தேர்தல், 1952	Indian general election, 1951 (Madras)
சென்னை மாநிலத்தில் இந்திய நாடாளுமன்றத் தேர்தல், 1957	Indian general election, 1957 (Madras)
சென்னை மாநிலத்தில் இந்திய நாடாளுமன்றத் தேர்தல், 1967	Indian general election, 1967 (Madras)
தமிழ்நாட்டில் இந்திய நாடாளுமன்றத் தேர்தல், 1971	Indian general election, 1971 (Tamil Nadu)
தமிழ்நாட்டில் இந்திய நாடாளுமன்றத் தேர்தல், 1977	Indian general election, 1977 (Tamil Nadu)
தமிழ்நாட்டில் இந்திய நாடாளுமன்றத் தேர்தல், 1980	Indian general election, 1980 (Tamil Nadu)
தமிழ்நாட்டில் இந்திய நாடாளுமன்றத் தேர்தல், 1984	Indian general election, 1984 (Tamil Nadu)
தமிழ்நாட்டில் இந்திய நாடாளுமன்றத் தேர்தல், 1991	Indian general election, 1991 (Tamil Nadu)
தமிழ்நாட்டில் இந்திய நாடாளுமன்றத் தேர்தல், 1998	Indian general election, 1998 (Tamil Nadu)
தமிழ்நாட்டில் இந்திய நாடாளுமன்றத் தேர்தல், 1999	Indian general election, 1999 (Tamil Nadu)
தமிழ்நாட்டில் இந்திய நாடாளுமன்றத் தேர்தல், 2009	Indian general election, 2009 (Tamil Nadu)
ஈழப்போரில் இந்தியாவின் பங்கு	Indian intervention in the Sri Lankan Civil War
இந்திய விடுதலைப் போராட்டத்தில் தமிழர்கள்	Indian independence movement in Tamil Nadu
இந்தியக் குடியரசுத் தலைவர் தேர்தல், 1952	Indian presidential election, 1952
இந்தியக் குடியரசுத் தலைவர் தேர்தல், 1957	Indian presidential election, 1957
இந்தியக் குடியரசுத் தலைவர் தேர்தல், 1967	Indian presidential election, 1967
இந்தியக் குடியரசுத் தலைவர் தேர்தல், 1969	Indian presidential election, 1969
இந்தியக் குடியரசுத் தலைவர் தேர்தல், 1974	Indian presidential election, 1974
இந்தியக் குடியரசுத் தலைவர் தேர்தல், 1982	Indian presidential election, 1982
இந்தியக் குடியரசுத் தலைவர் தேர்தல், 1992	Indian presidential election, 1992
இந்தியக் குடியரசுத் தலைவர் தேர்தல், 1997	Indian presidential election, 1997
இந்தியக் குடியரசுத் தலைவர் தேர்தல், 2007	Indian presidential election, 2007
வார்ப்புரு:Anontools	Template:Anontools
சீனாவில் இந்தியர்கள்	Indians in China
சிங்கப்பூர் இந்தியர்	Singapore Indians
வியட்நாமில் இந்தியர்	Indians in Vietnam
இந்திய இலங்கை உறவுகள்	India–Sri Lanka relations
இந்திக பண்டாரநாயக்க	Indika Bandaranayake
இந்திக பஸ்நாயக்க	Indika Basnayake
இந்திக ருவன்புர	Indika Ruwanpura
இந்திக டி சேரம்	Indika de Saram
இந்திரா (தமிழ்த் திரைப்படம்)	Indira (film)
இந்திரானகரம்	Indira Nagar
இந்திரா நகர் சட்டமன்றத் தொகுதி	Indira Nagar (Union Territory Assembly constituency)
இந்திரா பார்த்தசாரதி	Indira Parthasarathy
இந்திரலோகத்தில் நா. அழகப்பன்	Indiralohathil Na Azhagappan
இந்திய இலங்கை ஒப்பந்தம், 1987	Indo-Sri Lanka Accord
இந்துமதி கோர்டியால்	Indomatie Goordial
நான்காம் இந்திரன்	Indra IV
இந்திரன் அமிர்தநாயகம்	Indran Amirthanayagam
இந்திரபிரஸ்தா மின் உற்பத்தி கூட்டுறவு லிமிடெட்	Indraprastha Power Generation
இந்திரயாணி எக்ஸ்பிரஸ்	Indrayani Express
இன்று போய் நாளை வா	Indru Poi Naalai Vaa
வார்ப்புரு:Tag	Template:Tag
வார்ப்புரு:Allcaps	Template:Allcaps
வார்ப்புரு:Pp-meta	Template:Pp-meta
இனிமே நாங்கதான்	Inimey Nangathan
இனியா (நடிகை)	Iniya
உள் மணிப்பூர் மக்களவைத் தொகுதி	Inner Manipur (Lok Sabha constituency)
இன்னொசென்ட்	Innocent (actor)
வார்ப்புரு:Infobox Former Country	Template:Infobox former country
இராம் விலாசு பாசுவான்	Ram Vilas Paswan
வார்ப்புரு:ஐரோப்பா - குறுங்கட்டுரைகள்	Template:Europe-stub
வார்ப்புரு:IPA-en	Template:IPA-en
வார்ப்புரு:JPN	Template:JPN
இலங்கைப் பட்டயக் கணக்கறிஞர் கழகம்	Institute of Chartered Accountants of Sri Lanka
இந்திய உற்பத்திச் செலவு மற்றும் மேலாண்மைக் கணக்கியல் நிறுவனம்	Institute of Cost Accountants of India
வார்ப்புரு:Mergefrom	Template:Merge from
வார்ப்புரு:Cmbox	Template:Cmbox
விக்கிப்பீடியா:வரிசைப் பட்டியல்	Help:Table
இடைச்செருகிய ஒலிம்பிக் விளையாட்டுக்கள்	Intercalated Games
வார்ப்புரு:Gbmappingsmall	Template:Gbmappingsmall
இடைக்காலத் தன்னாட்சி அதிகாரசபை	Interim Self Governing Authority
வார்ப்புரு:SOM	Template:SOM
வார்ப்புரு:Infobox international football competition	Template:Infobox international football competition
வார்ப்புரு:Designation	Template:Designation
வார்ப்புரு:VAT	Template:VAT
கால்நடை மருத்துவக் கல்லூரி	Veterinary education
வார்ப்புரு:தகவற்சட்டம் விண்கலம்	Template:Infobox spacecraft
வார்ப்புரு:PAK	Template:PAK
பகுப்பு:கிறித்தவ நம்பிக்கை அறிக்கைகள்	Category:Christian statements of faith
மருத்துவ இயற்பியலுக்கான பன்னாட்டு அமைப்பு	International Organization for Medical Physics
பன்னாட்டு நடுவர்கள் மற்றும் முறையீடு நடுவர்கள் குழாம்	International Panel of Umpires and Referees
அசென்டாசு	International Tech Park, Chennai
வார்ப்புரு:Infobox park	Template:Infobox park
பகுப்பு:பெனடிக்டன் சபையினர்	Category:Benedictines
இந்திய இணையதளம் மற்றும் அலைபேசி கழகம்	Internet and Mobile Association of India
வார்ப்புரு:Infobox Political post	Template:Infobox official post
இந்தியாவில் இணையத் தணிக்கை	Internet censorship in India
வார்ப்புரு:குலம் (கணிதம்)	Template:Group theory sidebar
வார்ப்புரு:Infobox Bone	Template:Infobox bone
பகுப்பு:1982 நிறுவனங்கள்	Category:Companies established in 1982
இன்திகாப் அலாம்	Intikhab Alam
வார்ப்புரு:La icon	Template:La icon
வார்ப்புரு:Cc-by-sa-2.0	Template:Cc-by-sa-2.0
தலைகீழ் விளைவுகள்	Inverse consequences
பகுப்பு:இந்திய குடியரசுத் தலைவர்கள்	Category:Presidents of India
வார்ப்புரு:FIAV	Template:FIAV
பகுப்பு:கருவிகள்	Category:Equipment
ஜீவன் (நடிகர்)	Jeevan (Tamil actor)
வார்ப்புரு:Mbox	Template:Mbox
இக்பால் ஒசைன்	Iqbal Hossain
இக்பால் சிக்கந்தர்	Iqbal Sikander
இரகவரம்	Iragavaram
இறைவன் கொடுத்த வரம்	Iraivan Kodutha Varam
இரணமடு	Iranamadu
இரண்டாம் உலகம் (திரைப்படம்)	Irandaam Ulagam
வார்ப்புரு:S-par	Template:S-par
பவன் கல்யாண்	Pawan Kalyan
இரட்டைப்புலவர்	Irattaipulavar
வார்ப்புரு:Coord/link	Template:Coord/link
இர்பான் பாசில்	Irfan Fazil
வார்ப்புரு:Lt icon	Template:Lt icon
வார்ப்புரு:Planetmath reference	Template:PlanetMath reference
இரிஞ்ஞாலக்குடா சட்டமன்றத் தொகுதி	Irinjalakuda Assembly Constituency
வார்ப்புரு:COL	Template:COL
வார்ப்புரு:CCK	Template:CCK
வார்ப்புரு:GNB	Template:GNB
வார்ப்புரு:ERI	Template:ERI
வார்ப்புரு:பக்கவகை	Template:Pagetype
வார்ப்புரு:IRN	Template:IRN
வார்ப்புரு:MLI	Template:MLI
வார்ப்புரு:IOT	Template:IOT
வார்ப்புரு:SDN	Template:SDN
வார்ப்புரு:NIU	Template:NIU
வார்ப்புரு:விவிலிய வசனம்	Template:Bibleverse
வார்ப்புரு:PRI	Template:PRI
வார்ப்புரு:DOM	Template:DOM
காடை	Quail
வார்ப்புரு:LKA	Template:LKA
வார்ப்புரு:TZA	Template:TZA
வார்ப்புரு:KAZ	Template:KAZ
வார்ப்புரு:COG	Template:COG
வார்ப்புரு:MOZ	Template:MOZ
கனடாவில் சமயமின்மை	Irreligion in Canada
வார்ப்புரு:TTO	Template:TTO
வார்ப்புரு:ETH	Template:ETH
இந்தியாவில் நீர்ப்பாசனம்	Irrigation in India
வார்ப்புரு:HKG	Template:HKG
இர்சாத் (நடிகர்)	Irshad (actor)
வார்ப்புரு:NGA	Template:NGA
இரு கோடுகள்	Iru Kodugal
இரு மலர்கள்	Iru Malargal
இரு துருவம்	Iru Thuruvam
வார்ப்புரு:PRK	Template:PRK
இரும்புக் கோட்டை முரட்டு சிங்கம்	Irumbukkottai Murattu Singam
பகுப்பு:பிலிப்பீன்சின் புவியியல்	Category:Geography of the Philippines
இர்வின் டியர்னேலி	Irvine Dearnaley
பகுப்பு:பிலிப்பீன்சின் உட்பிரிவுகள்	Category:Subdivisions of the Philippines
வார்ப்புரு:TKM	Template:TKM
வார்ப்புரு:NRU	Template:NRU
வார்ப்புரு:Rugbybox	Template:Rugbybox
வார்ப்புரு:SpringerEOM	Template:SpringerEOM
வார்ப்புரு:SLB	Template:SLB
வார்ப்புரு:GRL	Template:GRL
வார்ப்புரு:LBY	Template:LBY
வார்ப்புரு:THA	Template:THA
வார்ப்புரு:BFA	Template:BFA
வார்ப்புரு:PRY	Template:PRY
வார்ப்புரு:BTN	Template:BTN
இசை (திரைப்படம்)	Isai
இசை வேளாளர்	Isai Velalar
வார்ப்புரு:VUT	Template:VUT
ஐசரி வேலன்	Isari Velan
வார்ப்புரு:LTU	Template:LTU
ஐசரி கே. கணேஷ்	Ishari K Ganesh
வார்ப்புரு:IND	Template:IND
இஷ்டம் (திரைப்படம்)	Ishtam (2012 film)
இசுலமிக் வாய்ஸ் (இதழ்)	Islamic Voice (magazine)
ஊர்காவற்றுறை பிரதேசச் செயலாளர் பிரிவு	Island North Divisional Secretariat
இஸ்மாயில் தாவூத்	Ismail Dawood
இஸ்ரேல் லெங்கானி	Israel Hlengani
இசார் அலி	Israr Ali
இது காதலா?	Iss Pyaar Ko Kya Naam Doon?
வார்ப்புரு:வார நாட்கள்	Template:Days of the week
வார்ப்புரு:Todo	Template:To do
முப்தி முகமது சயீத்	Mufti Mohammad Sayeed
இவன் (திரைப்படம்)	Ivan (2002 film)
இவான் சேப்மன்	Ivan Chapman
ஐவன் டி ஒலிவேரா	Ivan D'Oliveira
பகுப்பு:பனிப்போர்	Category:Cold War
இவன் வேற மாதிரி	Ivan Veramathiri
ஜே. ஹாப்பர்	James Hopper (cricketer)
பகுப்பு:வட கரொலைனா	Category:North Carolina
இயற்கை (திரைப்படம்)	Iyarkai
வார்ப்புரு:Parent category	Template:Container category
பெயர்வாரியாக தனிமங்களின் பட்டியல்	List of elements
இசி வெஸ்ட்புரி	Izzy Westbury
இனியவை நாற்பது	Iṉiyavai Nāṟpatu
ஜே. எச். டவுன்	J.H. Down
ஜே. ஏ. பெய்லி	J. A. Bailey
ஜே. அபொன்சோ	J. Aponso
ஜே. பந்துஜீவ	J. Bandujeewa
டுரூ (கென்ட் துடுப்பாட்டக்காரர்)	J. Drew (Kent cricketer)
ஜே. ஈ. கிரீன்	J. E. Green
ஜே. ஈவர்ஸ் (எம்எம்சி துடுப்பாட்டக்காரர்)	J. Eavers (English cricketer)
ஜே. எப். பைர்ன்	J. F. Byrne
ஜே. ஜீ. கிரேக்	J. G. Greig
ஜெ. கூல்ட்ஸ்டோன் (எசெக்ஸ் துடுப்பாட்டக்காரர்)	John Gouldstone
வார்ப்புரு:Non-free poster	Template:Non-free poster
ஜே. ஹாம்டன் (சூரி துடுப்பாட்டக்காரர்)	J. Hampton (Surrey cricketer)
ஜே. ஜேம்ஸ் (1814 ஆண்டின் துடுப்பாட்டக்காரர் )	J. James (1814 cricketer)
ஜே. ஜேம்ஸ் (நோதம்டன்செயர் துடுப்பாட்டக்காரர்)	J. James (Northamptonshire cricketer)
ஜே. எல். பி. ரோச் விக்டோரியா	J. L. P. Roche Victoria
மகேந்திரன்	J. Mahendran
ஜே. ஆர். ரங்கராஜு	J. R. Rangaraju
ஜேகே எனும் நண்பனின் கதை	JK Enum Nanbanin Vaazhkai
ஜெ. ஒய். பிள்ளை	J. Y. Pillay
ஜே ஆர்ச்டேல்	J Archdale
டேனியல் செல்லப்பா	J Daniel Chellappa
ஜேக் பேனிஸ்டர்	Jack Bannister
ஜாக் பார்லி	Jack Barley
பகுப்பு:புவேர்ட்டோ ரிக்கோ	Category:Puerto Rico
ஜாக் பான்ட்	Jack Bond
ஜக் பொல்ஸ்	Jack Bowles
ஜாக் புரூக்ஸ்	Jack Brooks (cricketer)
ஜேக் பிரம்ஃபிட்	Jack Brumfitt
ஜாக் பிரயன்	Jack Bryan
ஜாக் சேத்தம்	Jack Cheetham
ஜாக் சிஸ்ஹொம்	Jack Chisholm
ஜாக் கிராப்	Jack Crapp
ஜான் கிராஸ்லாண்ட்	Jack Crossland
ஜாக் டேவி	Jack Davey (cricketer)
ஜாக் டேவிஸ்	Jack Davies (cricketer)
ஜாக் ஃபிர்த்	Jack Firth
ஜாக் கெண்ட்ரி	Jack Gentry
ஜாக் ஹப்பிள்	Jack Hubble
ஜாக் மனாக்	Jack Manack
உபநிடதம்	Upanishads
ஜாக் நெல்	Jack Nel
பகுப்பு:User ja-N	Category:User ja-N
ஜாக் பிளிம்சால்	Jack Plimsoll
ஜாக் ராபர்ட்சன்	Jack Robertson (South African cricketer)
பகுப்பு:பயனர் வார்ப்புருக்கள்	Category:User namespace templates
ஜாக் வைட்	Jack White (cricketer)
ஜாக் யங்	Jack Young (cricketer)
பகுப்பு:விக்கிப்பீடியா படிமங்கள்	Category:Image galleries
ஜாக்கி போட்டென்	Jackie Botten
ஜாக்கி ஹாக்கர்	Jackie Hawker
ஜாக்கி மெக்லூ	Jackie McGlew
வார்ப்புரு:ColBreak	Template:Multicol-break
ஜேக்சன் தாம்சன்	Jackson Thompson
பகுப்பு:வேதிப் பொருட்கள்	Category:Chemical substances
பகுப்பு:இசுலாமியச் சட்டம்	Category:Sharia
சிங்கப்பூரின் நிதியமைச்சர்	Minister for Finance (Singapore)
ஜேக்கப் சகாயகுமார் அருணி	Jacob Sahaya Kumar Aruni
யாக்கூப் வொன் கிட்டன்சுடேன்	Jacob van Kittensteyn
ஜேகப்ஸ் டுமினி	Jacobus Duminy
ஜெக்குலின் எலெட்ஜ்	Jacqueline Elledge
ஜாக்குலின் ராபின்சன்	Jacqueline Robinson
ஜாக்குலின் வைன்ரைட்	Jacqueline Wainwright
ஜாக்குலின் விட்னி	Jacqueline Whitney
ஜக்யூஸ் டு டொய்ட்	Jacques Du Toit
பகுப்பு:மறையீட்டியல்	Category:Cryptography
வார்ப்புரு:Pie chart	Template:Pie chart
ஜாஃபர்கான் பேட்டை	Jafferkhanpet
யாழ்ப்பாணக் கல்லூரி	Jaffna College
யாழ்ப்பாணம் மத்திய கல்லூரி	Jaffna Central College
யாழ்ப்பாணம் பிரதேசச் செயலாளர் பிரிவு	Jaffna Divisional Secretariat
யாழ்ப்பாணம் இந்து மகளிர் கல்லூரி	Jaffna Hindu Ladies' College
யாழ்ப்பாணம் தேர்தல் தொகுதி	Jaffna Electoral District (1947–1989)
யாழ்ப்பாணம் இந்துக் கல்லூரி	Jaffna Hindu College
யாழ்ப்பாண மாநகரசபை	Jaffna Municipal Council
யாழ்ப்பாணப் பல்கலைக்கழக உலங்கு வானூர்தி இறக்கம்	Jaffna University Helidrop
யாழ்ப்பாணம் இளைஞர் காங்கிரஸ்	Jaffna Youth Congress
யாழ்ப்பாண மருத்துவமனைப் படுகொலைகள்	Jaffna hospital massacre
யாழ்ப்பாணக் கடல் நீரேரிப் படுகொலை	Jaffna lagoon massacre
ஜெகன்	Jagan
ஜகன்னாத்பூர் சட்டமன்றத் தொகுதி	Jaganathpur (Vidhan Sabha constituency)
அரண்மனை அருங்காட்சியகம், மைசூர்	Jaganmohan Palace
பகுப்பு:மொழி வாரியாக திரைப்படங்கள்	Category:Films by language
ஜகதலப் பிரதாபன் (திரைப்படம்)	Jagathalaprathapan (1944 film)
ஜக்கேஷ்	Jaggesh
ஜக்குபாய் (திரைப்படம்)	Jaggubhai
மாவோரி	Māori people
ஜக்மோகன் டால்மியா	Jagmohan Dalmiya
ஜாக்ருதி யாத்ரா	Jagriti Yatra
ஜஹாங்கீர் ஆலம்	Jahangir Alam
ஜகாங்கீர் கான்	Jahangir Khan (cricketer)
ஜஹாங்கீர் சா	Jahangir Shah
ஜகிதுர் ரக்மான்	Jahidur Rahman
ஜகருல் இசுலாம்	Jahurul Islam
ஜெய் ஆகாஷ்	Jai Akash
செய் விலாசு மகால் (குவாலியர்)	Jai Vilas Mahal
செயசந்திரன்	Jaichand of Kannauj
வலைவாசல்:இஸ்லாம்	Portal:Islam
ஜெய்பூர் மெட்ரோ	Jaipur Metro
ஜெய்சங்கர்	Jaishankar
திருக்கூடலூர்	Jakath Rakshaka Perumal Temple, Thirukkoodaloor
ஜக்கம்மா	Jakkamma
பகுப்பு:கடற்படை	Category:Navies
ஜக்வான் அகமது	Jakwan Ahmed
ஜலதங்கி	Jaladanki
சலாளி	Jalahalli
ஜாலான் ஈப்போ	Jalan Sultan Azlan Shah, Kuala Lumpur
பகுப்பு:விக்கிபீடியா சிறப்புக் கட்டுரை நியமனங்கள்	Category:Wikipedia featured article candidates
துன் சம்பந்தன் சாலை	Jalan Tun Sambanthan
ஜள்காவ் மக்களவைத் தொகுதி	Jalgaon (Lok Sabha constituency)
ஜல்லிக்கட்டுக்காளை	Jallikattu Kaalai
ஜால்னா மக்களவைத் தொகுதி	Jalna (Lok Sabha constituency)
ஜாமா சட்டமன்றத் தொகுதி	Jama (Vidhan Sabha constituency)
ஜமாத் அல் தவா அல் குரான்	Jamaat al Dawa al Quran
பகுப்பு:அமெரிக்க நகரங்கள்	Category:Cities in the United States
ஜமால் பைசர்	Jamal Faisal
ஜமால் முகமது கல்லூரி	Jamal Mohamed College
ஜாம்பவான் (திரைப்படம்)	Jambhavan
ஜேம்ஸ் அக்டன்	James Acton
ஜேம்ஸ் ஆடம்ஸ்	James Adams (cricketer)
ஜேம்ஸ் ஐரே	James Airey
வார்ப்புரு:PDFlink	Template:PDFlink
ஜேம்ஸ் ஆன்டர்சன்	James Anderson (cricketer, born 1931)
ஜேம்ஸ் அர்னால்ட்	James Arnold (cricketer)
ஜேம்ஸ் அவெரிஸ்	James Averis
ஜேம்ஸ் அய்ல்வார்ட்	James Aylward (cricketer)
ஜேம்ஸ் பேக்கர்	James Baker (cricketer)
ஜேம்ஸ் பாரோ	James Barrow
ஜேம்ஸ் பெய்லி	James Bayley (cricketer)
ஜேம்ஸ் பீட்சன்	James Beeston
ஜேம்ஸ் பென்னெட்	James Bennett (cricketer)
ஜேம்ஸ் பென்னிங்	James Benning (cricketer)
ஜேம்ஸ் பில்யீல்ட்	James Billyeald
ஜேம்ஸ் பாய்லிங்	James Boiling
ஜாம்ஸ் பொவில்	James Bovill
ஜேம்ஸ் பிராட்டக்	James Braddock (cricketer)
ஜேம்ஸ் பிராட்சா	James Bradshaw (cricketer, born 1906)
ஜேம்ஸ் புரோட்	James Broad (cricketer)
ஜேம்ஸ் புரூக்	James Brook
ஜேம்ஸ் புரூஸ்	James Bruce (cricketer)
ஜேம்ஸ் பட்டென்	James Budden
ஜேம்ஸ் பர்கோய்ன்	James Burgoyne
ஜேம்ஸ் பர்ட்	James Burt (cricketer)
ஜேம்ஸ் கேமரன் (துடுப்பாட்டக்காரர்)	James Cameron (Zimbabwean cricketer)
ஜேம்ஸ் கேமரூன் (துடுப்பாட்டக்காரர்)	James Cameron (South African cricketer)
ஜேம்ஸ் காமிஷ்	James Cammish
ஜேம்ஸ் காம்பெல்-பெர்குசன் (துடுப்பாட்டக்காரர், பிறப்பு 1940)	James Campbell-Ferguson
ஜேம்ஸ் காம்பெல் (துடுப்பாட்டக்காரர், பிறப்பு 1988)	James Campbell (cricketer)
ஜேம்ஸ் கிளார்க்	James Clarke (cricketer)
ஜேம்ஸ் கிளட்டர்பக்	James Clutterbuck
ஜேம்ஸ் கோபட்	James Cobbett
ஜாம்ஸ் கிரெஸ்வல் (துடுப்பாட்டக்காரர், பிறப்பு 1903)	James Cresswell
ஜேம்ஸ் கிராஸ்	James Cross (cricketer)
ஜேம்ஸ் குரொடி	James Crowdy (cricketer)
வார்ப்புரு:நாட்டுத் தகவல் West Germany	Template:Country data West Germany
வார்ப்புரு:Region history	Template:Region history sidebar title
ஜேம்ஸ் டேல்	James Dale (cricketer)
ஜேம்ஸ் டார்பி	James Darby
ஜேம்ஸ் டார்க்	James Dark
ஜாம்ஸ் டியர்மன்	James Dearman
வார்ப்புரு:Lang-ru	Template:Lang-ru
ஜேம்ஸ் டிஸ்னி	James Disney
ஜேம்ஸ் டோனால்ட்சன்	James Donaldson (cricketer)
ஜேம்ஸ் எடி	James Ede
ஜேம்ஸ் எலியட்-ஸ்கொயர்	James Elliot-Square
ஜேம்ஸ் ஈவான்ஸ்	James Evans (cricketer)
ஜேம்ஸ் ஃபெலோஸ்	James Fellowes (cricketer)
ஜேம்ஸ் ஃபியூவிங்ஸ்	James Fewings
பகுப்பு:இசை வகைகள்	Category:Music genres
ஜேம்ஸ் ஃபாக்லஸ்	James Fuggles
சேம்சு கேயர்	James Gair
ஜேம்ல் கோல்டிங்	James Golding
ஜேம்ஸ் கொவான்ஸ்	James Gowans (rugby union)
ஜேம்ஸ் கிரகாம் - பிரவுன்	James Graham-Brown
ஜேம்ஸ் கிரீன்வூட்	James Greenwood (cricketer)
பகுப்பு:1903 பிறப்புகள்	Category:1903 births
ஜேம்ஸ் கிரின்ஹம்	James Grinham
பகுப்பு:1925 பிறப்புகள்	Category:1925 births
பகுப்பு:1936 பிறப்புகள்	Category:1936 births
ஜேம்ஸ் ஹாலோஸ்	James Hallows
ஜேம்ஸ் ஹாம்ப்லின்	James Hamblin
ஜேம்ஸ் ஹாமில்டன் டொக்கர்ட்	James Hamilton Doggart
ஜேம்ஸ் ஹான்ஸ்	James Hands
ஜேம்ஸ் ஹார்கிரிவ்ஸ்	James Hargreaves (cricketer)
பகுப்பு:1916 பிறப்புகள்	Category:1916 births
பகுப்பு:1910 பிறப்புகள்	Category:1910 births
பகுப்பு:1939 பிறப்புகள்	Category:1939 births
ஜாம்ஸ் ஹிக்கின்சன்	James Higginson
ஜேம்ஸ் ஹிக்ஸ்-வாகர்	James Higgs-Walker
ஜேம்ஸ் ஹின்ட்சன்	James Hindson
ஜேம்ஸ் ஹொக்லி	James Hockley
ஜேம்ஸ் ஹவ்கெகோ	James Howgego
ஜாம்ஸ் ஹர்ன்	James Hurn
ஜேம்ஸ் இலெஸ்	James Iles
ஜேம்ஸ் ஜோன்ஸ் (துடுப்பாட்டக்காரர், பிறப்பு 1878)	James Jones (cricketer, born 1878)
ஜேம்ஸ் ஜோர்டான்	James Jordan (cricketer)
ஜேம்ஸ் கிங்	James King (cricketer, born 1855)
ஜேம்ஸ் கிங் (குளொசஸ்டர்சயர் துடுப்பாட்டக்காரர்)	James King (Gloucestershire cricketer)
ஜேம்ஸ் நாட்	James Knott (cricketer)
பகுப்பு:நிறுவனங்கள்	Category:Industries
ஜேம்ஸ் லாட்புரோக்	James Ladbroke
வார்ப்புரு:CHE	Template:CHE
வார்ப்புரு:Infobox Aircraft Begin	Template:Infobox aircraft begin
வார்ப்புரு:Browsebarcountry	Template:Portals browsebar
ஜேம்ஸ் பாண்டு (2000 திரைப்படம்)	James Pandu
வார்ப்புரு:Roman	Template:Roman
ஜேம்ஸ் ராம்ஸ்போதம்	James Ramsbotham, 2nd Viscount Soulbury
பகுப்பு:தொழிற்துறை வாரியாக வணிக நிறுவனங்கள்	Category:Service industries
ஜேம்ஸ் டெய்லர்	James Taylor (cricketer, born 1990)
வார்ப்புரு:தகவற்சட்டம் புனிதர்	Template:Infobox saint
ஜேம்ஸ் வசந்தன்	James Vasanthan
பகுப்பு:செவிலியர்	Category:Nurses
ஜேம்ஸ் விடேகர்	James Whitaker (cricketer)
ஜேம்ஸ் வுட்	James Wood (cricketer, born 1985)
வார்ப்புரு:Familytree/start	Template:Family tree/start
ஜேமி பென்ஸ்டெட்	Jamie Benstead
வார்ப்புரு:URL	Template:URL
ஜேமி கிளாசான்	Jamie Glasson
ஜேமி ஹால்	Jamie Hall (cricketer)
ஜேமி ஹார்ட்	Jamie Hart (cricketer)
ஜேமி ஹெவிட்	Jamie Hewitt (cricketer)
ஜேமி ஜெர்விஸ்	Jamie Jervis
ஜமிஉல் ஆலம்	Jamiul Alam
ஜம்மு காஷ்மீர் சட்டமன்றம்	Jammu and Kashmir Legislative Assembly
வார்ப்புரு:Description missing	Template:Description missing
ஜம்ஷேத்பூர் கிழக்கு சட்டமன்றத் தொகுதி	Jamshedpur East (Vidhan Sabha constituency)
ஜம்ஷேத்பூர் மக்களவைத் தொகுதி	Jamshedpur (Lok Sabha constituency)
ஜம்ஷேத்பூர் மேற்கு சட்டமன்றத் தொகுதி	Jamshedpur West (Vidhan Sabha constituency)
ஜாம்தாடா சட்டமன்றத் தொகுதி	Jamtara (Vidhan Sabha constituency)
ஜமுவா சட்டமன்றத் தொகுதி	Jamua (Vidhan Sabha constituency)
சமுனாமரத்தூர்	Jamunamarathoor
ஜேன் பிரிட்டின்	Jan Brittin
ஜான் ட்ரேயர்	Jan Dreyer
வார்ப்புரு:பக்கவழி நெறிப்படுத்தல்	Template:Disambiguation
ஜனனி ஜனநாயகம்	Jan Jananayagam
ஜான் லம்ஸ்டன்	Jan Lumsden
பகுப்பு:உணவு தொடர்பான பட்டியல்கள்	Category:Food-related lists
பகுப்பு:1962	Category:1962
ஜேன் சவுத்கேட்	Jan Southgate
யான் தைசோன் பேயார்ட்	Jan Thyszoon Payart
ஜன நீல்	Jana Nell
சனகராஜ்	Janagaraj (actor)
ஜனக் கமகே	Janak Gamage
ஜனக்புரி சட்டமன்றத் தொகுதி	Janakpuri (Delhi Assembly constituency)
ஜானகி ஆதி நாகப்பன்	Janaky Athi Nahappan
ஜனார்த்தன் ராம்தாஸ்	Janardhanan Ramdas
பகுப்பு:பாகிஸ்தானிய ஏவுகணைகள்	Category:Guided missiles of Pakistan
வார்ப்புரு:BS-table1	Template:BS-table1
ஜான்ட்ரே கோட்சி	Jandre Coetzee
வார்ப்புரு:World Heritage Sites in Azerbaijan	Template:World Heritage Sites in Azerbaijan
வார்ப்புரு:World Heritage Sites in Sri Lanka	Template:World Heritage Sites in Sri Lanka
வார்ப்புரு:Year by category	Template:Year by category
டிரான்ஸ்போர்மர்ஸ்: ஏஜ் ஆஃப் எக்ஸ்டிங்சன்	Transformers: Age of Extinction
பகுப்பு:வேதியியல் செயல்முறைகள்	Category:Chemical processes
பகுப்பு:விவிலிய இடங்கள்	Category:Biblical places
ஜேன் பவல்	Jane Powell (cricketer)
ஜேன் சிமித்	Jane Smit
பகுப்பு:அணுக்கருத் தொழில்நுட்பம்	Category:Nuclear technology
வார்ப்புரு:Country data Hong Kong	Template:Country data Hong Kong
வார்ப்புரு:EUR	Template:EUR
