អាហ្វ្រិក	Africa
របាំឆៃយ៉ាំ	Chhayam
ឃុំឈើទាល (ស្រុកបាណន់)	Chheu Teal
ឃុំឈ្នួរមានជ័យ	Chhnuor Mean Chey
ឃុំឆ្នាល់មាន់	Chhnal Moan
ឃុំជប់វារី	Chob Veari
ឃុំជ្រៃ (ស្រុក មោងឫស្សី)	Chrey, Moung Ruessei
ឃុំជ្រៃ(ស្រុក ថ្មគោល)	Chrey, Thma Koul
ឃុំជ្រៃសីមា	Chrey Sema
ឃុំជ្រោយស្តៅ	Chrouy Sdau
ជួន ណាត	Chuon Nath
ទំព័រគំរូ:Coat of arms	Template:Coat of arms
ឈុត វុទ្ធី	Chut Wutty
ទូរទស្សន៍រាជធានីភ្នំពេញ ប៉ុស្ដិ៍លេ៣	Channel 3 (Cambodia)
ស្រុកដំបែ	Dambae District
ស្រុកដងទង់ខេត្ដកំពត	Dang Tong District
ខណ្ឌដង្កោ	Dangkao District
ខណ្ឌដូនពេញ	Daun Penh District
ដេវិឌ ឆាណ្ឌល័រ	David P. Chandler
ជំនួយ:តំណភ្ជាប់	Help:Link
សាលាដុនបូស្កូនៅប្រទេសកម្ពុជា	Don Bosco Cambodia
ឃុំដូនបា	Doun Ba
ទំព័រគំរូ:Citation needed	Template:Citation needed
ឌី សាវ៉េត	Dy Saveth
តំបន់ពាណិជ្ជកម្មសេរី	Free trade area
វិស័យអប់រំនៅកម្ពុជា	Education in Cambodia
អាជ្ញាធរអគ្គិសនីកម្ពុជា	Electricity Authority of Cambodia
បំពង់អេឡិចត្រុង	Electron tube
សាលាបឋមសិក្សានៅប្រទេសជប៉ុន	Elementary schools in Japan
ទំព័រគំរូ:Error	Template:Error
ចំណាត់ថ្នាក់ក្រុម:Flag templates	Category:Flag templates
ទំព័រគំរូ:((	Template:((
ទំព័រគំរូ:))	Template:))
ទំព័រគំរូ:=	Template:=
ទំព័រគំរូ:Navbar	Template:Navbar
ទំព័រគំរូ:Loop	Template:Loop
ទំព័រគំរូ:Void	Template:Void
ទំព័រគំរូ:Key press	Template:Key press
ទំព័រគំរូ:Okina	Template:Okina
ទំព័រគំរូ:Transclude	Template:Transclude
ទំព័រគំរូ:Sc	Template:Smallcaps
ទំព័រគំរូ:Small	Template:Small
ទំព័រគំរូ:Clear	Template:Clear
ទំព័រគំរូ:Col-break	Template:Col-break
ទំព័រគំរូ:Col-begin	Template:Col-begin
ទំព័រគំរូ:Col-end	Template:Col-end
ទំព័រគំរូ:Trim	Template:Trim
ទំព័រគំរូ:Color	Template:Color
ទំព័រគំរូ:Nowrap	Template:Nowrap
ទំព័រគំរូ:Bots	Template:Bots
ទំព័រគំរូ:Abbr	Template:Abbr
វិគីភីឌា:វិគីគម្រោង ទំព័រគំរូ	Wikipedia:WikiProject Templates
ទ្រឹស្តីបទមុំក្រៅ	Exterior angle theorem
ត្រីកោណប៉ះក្រៅ	Extouch triangle
ចំណាត់ថ្នាក់ក្រុម:ខ្សែកោង	Category:Curves
ទំព័រគំរូ:Babel	Template:Babel
ទំព័រគំរូ:Commons	Template:Commons
ទំព័រគំរូ:Reflist	Template:Reflist
ទំព័រគំរូ:NavPeriodicTable	Template:Periodic table (32 columns, micro)
វិគីភីឌា:Citing sources	Wikipedia:Citing sources
ទំព័រគំរូ:អត្ថបទខ្លីមិនពេញលេញ	Template:Stub
ទំព័រគំរូ:User af-1	Template:User af-1
ទំព័រគំរូ:User als-1	Template:User als-1
ទំព័រគំរូ:User az	Template:User az
ទំព័រគំរូ:User bar-1	Template:User bar-1
ទំព័រគំរូ:See also	Template:See also
ទំព័រគំរូ:User de	Template:User de
ទំព័រគំរូ:User de-1	Template:User de-1
ទំព័រគំរូ:User et-1	Template:User et-1
ទំព័រគំរូ:User el	Template:User el
ទំព័រគំរូ:User es	Template:User es
ទំព័រគំរូ:User de-3	Template:User de-3
ទំព័រគំរូ:User en-3	Template:User en-3
ទំព័រគំរូ:User en-1	Template:User en-1
ទំព័រគំរូ:User en-2	Template:User en-2
ទំព័រគំរូ:User en-4	Template:User en-4
ទំព័រគំរូ:User fi	Template:User fi
ទំព័រគំរូ:User en-0	Template:User en-0
ទំព័រគំរូ:User es-4	Template:User es-4
ទំព័រគំរូ:User en	Template:User en
ទំព័រគំរូ:User de-2	Template:User de-2
ទំព័រគំរូ:User es-1	Template:User es-1
ទំព័រគំរូ:User fa	Template:User fa
ទំព័រគំរូ:User fr-1	Template:User fr-1
ខណ្ឌសាលារៀនសាមគ្គីឡងប៊ិច	Long Beach Unified School District
ទំព័រគំរូ:User id-3	Template:User id-3
ទំព័រគំរូ:User it-3	Template:User it-3
ទំព័រគំរូ:User tr-2	Template:User tr-2
ទំព័រគំរូ:User fr-2	Template:User fr-2
ទំព័រគំរូ:User tr	Template:User tr
ទំព័រគំរូ:User ja	Template:User ja
ទំព័រគំរូ:User ja-1	Template:User ja-1
ទំព័រគំរូ:User it-1	Template:User it-1
ទំព័រគំរូ:User fr	Template:User fr
ទំព័រគំរូ:User gsw-1	Template:User gsw-1
ទំព័រគំរូ:Location map/Info	Template:Location map/Info
ចំណាត់ថ្នាក់ក្រុម:Navigational boxes	Category:Navigational boxes
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសតាជីគីស្ថាន	Template:Country data Tajikistan
ចំណាត់ថ្នាក់ក្រុម:អាស៊ី	Category:Asia
ចំណាត់ថ្នាក់ក្រុម:User uk-N	Category:User uk-N
ទំព័រគំរូ:Intricate template	Template:Intricate template
ទំព័រគំរូ:Lang-ja	Template:Lang-ja
ទំព័រគំរូ:Football squad player	Template:Football squad player
ទំព័រគំរូ:ទិន្នន័យប្រទេស គុយវ៉ែត	Template:Country data Kuwait
ទំព័រគំរូ:Mod	Template:Mod
ទំព័រគំរូ:Now Commons	Template:Now Commons
ទំព័រគំរូ:User it	Template:User it
ទំព័រគំរូ:User uk	Template:User uk
ទំព័រគំរូ:User es-2	Template:User es-2
ទំព័រគំរូ:ស្វាគមន៍	Template:Welcome
ទំព័រគំរូ:គម្រោងវិគីជាបងប្អូន	Template:Wikipedia's sister projects
ចំណាត់ថ្នាក់ក្រុម:External link templates	Category:External link templates
ទំព័រគំរូ:Month header	Template:Month header
ទំព័រគំរូ:ទិន្នន័យប្រទេស ស្លូវ៉ាគី	Template:Country data Slovakia
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូសំរាប់កូអរដោនេ	Category:Coordinates templates
ទំព័រគំរូ:Country flagnavy	Template:Navy/core
ទំព័រគំរូ:USA	Template:USA
ទំព័រគំរូ:ទិន្នន័យប្រទេស អេត្យូពី	Template:Country data Ethiopia
ទំព័រគំរូ:ទិន្នន័យប្រទេស ឆេក	Template:Country data Czech Republic
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសថៃ	Template:Country data Thailand
ទំព័រគំរូ:Scinote	Template:Scinote
ទំព័រគំរូ:ទិន្នន័យប្រទេស គុយបា	Template:Country data Cuba
ទំព័រគំរូ:Lang-km	Template:Lang-km
ទំព័រគំរូ:ទិន្នន័យប្រទេស អាល់បានី	Template:Country data Albania
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសប៉េរូ	Template:Country data Peru
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសម៉ាកាវ	Template:Country data Macau
ទំព័រគំរូ:User wikipedia	Template:User wikipedia
ទំព័រគំរូ:ទិន្នន័យប្រទេស សាធារណរដ្ឋចិន	Template:Country data Republic of China
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអ៊ូបេគីស្ថាន	Template:Country data Uzbekistan
ចំណាត់ថ្នាក់ក្រុម:User ms	Category:User ms
ទំព័រគំរូ:Continent-based templates	Template:Continent-based templates
ទំព័រគំរូ:Months	Template:Months
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសឡាតវី	Template:Country data Latvia
ទំព័រគំរូ:Football kit	Template:Football kit
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសម៉ាល់តា	Template:Country data Malta
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសម៉ូណាកូ	Template:Country data Monaco
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសដាណឺម៉ាក	Template:Country data Denmark
ទំព័រគំរូ:Wikiatlas	Template:Wikiatlas
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសប៉ូឡូញ	Template:Country data Poland
ទំព័រគំរូ:Wikipedia policies and guidelines	Template:Wikipedia policies and guidelines
ចំណាត់ថ្នាក់ក្រុម:User fr-1	Category:User fr-1
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសណ័រវ៉េ	Template:Country data Norway
ទំព័រគំរូ:ទិន្នន័យប្រទេស ហ្សកហ៊្សី	Template:Country data Georgia
ទំព័រគំរូ:Navbox suite	Template:Navbox suite
ទំព័រគំរូ:Wikiquote	Template:Wikiquote
ទំព័រគំរូ:Country showdata	Template:Country showdata
ទំព័រគំរូ:Image label	Template:Image label
ទំព័រគំរូ:Cat handler	Template:Category handler
ទំព័រគំរូ:ទិន្នន័យប្រទេស ស្រីលង្កា	Template:Country data Sri Lanka
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសមិចសិច	Template:Country data Mexico
ទំព័រគំរូ:ទិន្នន័យប្រទេស ក្រិច	Template:Country data Greece
ទំព័រគំរូ:Infobox dot-com company	Template:Infobox dot-com company
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអារ៉ាប៊ីសាអូឌីត	Template:Country data Saudi Arabia
ទំព័រគំរូ:Category tree	Template:Category tree
ទំព័រគំរូ:ទិន្នន័យប្រទេស ក្រូអាត	Template:Country data Croatia
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន អ្នកនិពន្ធ	Template:Infobox writer
ទំព័រគំរូ:Stub category	Template:Stub category
ទំព័រគំរូ:Ja icon	Template:Ja icon
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសសហភាពអារ៉ាប់អេមីរ៉េត	Template:Country data United Arab Emirates
ទំព័រគំរូ:Infobox television	Template:Infobox television
ទំព័រគំរូ:Geographic location	Template:Geographic location
ទំព័រគំរូ:Prose	Template:Prose
ទំព័រគំរូ:Infobox musical artist	Template:Infobox musical artist
ទំព័រគំរូ:Finance	Template:Finance sidebar
ទំព័រគំរូ:ទិន្នន័យប្រទេស Serbia	Template:Country data Serbia
ទំព័រគំរូ:Collapsible list	Template:Collapsible list
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអូស្រ្តាលី	Template:Country data Australia
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសប៉ាឡេស្ទីន	Template:PSE
ទំព័រគំរូ:Subatomic particle	Template:Subatomic particle
ទំព័រគំរូ:Sidebar	Template:Sidebar
ទំព័រគំរូ:In use	Template:In use
ទំព័រគំរូ:Es icon	Template:Es icon
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសបារាំង	Template:Country data France
ទំព័រគំរូ:Ambox	Template:Ambox
ទំព័រគំរូ:Multiple issues/message	Template:Multiple issues/message
ទំព័រគំរូ:Update	Template:Update
ទំព័រគំរូ:CalendarCustom	Template:Calendar/month/link on
នគរគូមៀ	Gumie
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន មន្ទីរពេទ្យ	Template:Infobox hospital
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ទស្សនាវដ្ដី	Template:Infobox magazine
ទំព័រគំរូ:Image requested	Template:Image requested
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ភ្លេងជាតិ	Template:Infobox anthem
ទំព័រគំរូ:Navigation templates	Template:Navigation templates
ទំព័រគំរូ:Very long	Template:Very long
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសគាហ្គីស្ថាន	Template:KGZ
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន សាលារៀន	Template:Infobox school
ទំព័រគំរូ:Fossil range/bar	Template:Fossil range/bar
ទំព័រគំរូ:Userboxbottom	Template:Userboxbottom
ទំព័រគំរូ:Copy to Wikimedia Commons	Template:Copy to Wikimedia Commons
ទំព័រគំរូ:Rnd	Template:Rnd
ទំព័រគំរូ:ចំណាត់ថ្នាក់ក្រុមនៃទំព័រគំរូ	Template:Template category
ទំព័រគំរូ:Font color	Template:Font color
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ប្រទេស	Template:Infobox country
ទំព័រគំរូ:Max	Template:Max
ទំព័រគំរូ:Infobox software	Template:Infobox software
ទំព័រគំរូ:Column-count	Template:Column-count
ទំព័រគំរូ:Commons&cat	Template:Commons and category
ទំព័រគំរូ:ទិន្នន័យប្រទេស ឡាវ	Template:Country data Laos
ទំព័រគំរូ:Infobox airline	Template:Infobox airline
ទំព័រគំរូ:Wide image	Template:Wide image
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអូទ្រីស	Template:Country data Austria
ទំព័រគំរូ:Collapsible option	Template:Collapsible option
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ជម្លោះយោធា	Template:Infobox military conflict
វិគីភីឌា:សំណួរ	Wikipedia:Questions
ទំព័រគំរូ:Redirect4	Template:Str left
ទំព័រគំរូ:Cat more	Template:Cat more
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសនេប៉ាល់	Template:Country data Nepal
ទំព័រគំរូ:Pagelist	Template:Pagelist
ទំព័រគំរូ:Px	Template:Px
ទំព័រគំរូ:Resolved	Template:Done
ទំព័រគំរូ:Str sub long	Template:Str sub old
ទំព័រគំរូ:Documentation/docname	Template:Documentation/docname
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហ្វាំងឡង់	Template:Country data Finland
ទំព័រគំរូ:Selfref	Template:Selfref
ទំព័រគំរូ:Flatlist	Template:Flatlist
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសហ្វីលីពីន	Template:PHL
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអេស៊ីប	Template:Country data Egypt
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសលីថូនី	Template:Country data Lithuania
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន គណបក្សនយោបាយ	Template:Infobox political party
ទំព័រគំរូ:Used in system	Template:Used in system
ទំព័រគំរូ:ទិន្នន័យប្រទេស ជប៉ុន	Template:Country data Japan
ទំព័រគំរូ:Endflatlist	Template:Endflatlist
ទំព័រគំរូ:Expand section	Template:Expand section
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហូឡង់	Template:Country data Netherlands
ទំព័រគំរូ:Tmbox	Template:Tmbox
ទំព័រគំរូ:Navbox with columns	Template:Navbox with columns
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ល្បែងវីដេអូ	Template:Infobox video game
ទំព័រគំរូ:S-start	Template:S-start
ទំព័រគំរូ:IsLeapYear	Template:IsLeapYear
ទំព័រគំរូ:Age in years and days	Template:Age in years and days
ទំព័រគំរូ:Nom	Template:Nom
ទំព័រគំរូ:Facebook	Template:Facebook
ទំព័រគំរូ:Cleanup	Template:Cleanup
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន សាកលវិទ្យាល័យ	Template:Infobox university
ទំព័រគំរូ:Cite journal	Template:Cite journal
ទំព័រគំរូ:ទិន្នន័យប្រទេស អាស៊ែបៃហ្សង់	Template:Country data Azerbaijan
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសប្រ៊ុយណេ	Template:BRN
ទំព័រគំរូ:វិគីសៀវភៅ	Template:Wikibooks
ទំព័រគំរូ:Hatnote	Template:Hatnote
ទំព័រគំរូ:Image	Template:Image
ទំព័រគំរូ:User browser:Firefox	Template:User fox
ទំព័រគំរូ:Xpd	Template:Xpd
ទំព័រគំរូ:User es-0	Template:User es-0
ទំព័រគំរូ:Time ago	Template:Time ago
ទំព័រគំរូ:Familytree	Template:Family tree
ទំព័រគំរូ:ទិន្នន័យប្រទេស វៀតណាម	Template:Country data Vietnam
ទំព័រគំរូ:Redirect3	Template:Redirect3
ទំព័រគំរូ:S-aft	Template:S-aft
ទំព័រគំរូ:Featured article	Template:Featured article
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសរុស្ស៊ី	Template:Country data Russia
ទំព័រគំរូ:Decdeg	Template:Decdeg
ចំណាត់ថ្នាក់ក្រុម:User en-4	Category:User en-4
ចំណាត់ថ្នាក់ក្រុម:User en	Category:User en
ទំព័រគំរូ:Ordinal	Template:Ordinal
ចំណាត់ថ្នាក់ក្រុម:User zh	Category:User zh
ចំណាត់ថ្នាក់ក្រុម:User zh-N	Category:User zh-N
ចំណាត់ថ្នាក់ក្រុម:User en-2	Category:User en-2
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន	Template:Infobox
ទំព័រគំរូ:Infobox instrument	Template:Infobox instrument
ទំព័រគំរូ:TOC right	Template:TOC right
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ប្រាសាទ	Template:Infobox Hindu temple
ទំព័រគំរូ:Main other	Template:Main other
ទំព័រគំរូ:RankedMedalTable	Template:RankedMedalTable
ទំព័រគំរូ:User zh	Template:User zh
ទំព័រគំរូ:Lang-kk	Template:Lang-kk
ទំព័រគំរូ:Documentation/start box	Template:Documentation/start box
ទំព័រគំរូ:Documentation/end box2	Template:Documentation/end box2
ទំព័រគំរូ:Documentation/start box2	Template:Documentation/start box2
ទំព័រគំរូ:Template other	Template:Template other
ទំព័រគំរូ:Legend	Template:Legend
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន បណ្ណាល័យ	Template:Infobox library
ឃុំហប់	Hab
ទំព័រគំរូ:Cite web	Template:Cite web
ទំព័រគំរូ:YouTube	Template:YouTube
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអ៊ីតាលី	Template:Country data Italy
ទំព័រគំរូ:Current	Template:Current
ទំព័រគំរូ:Ombox	Template:Ombox
ទំព័រគំរូ:ទិន្នន័យប្រទេស	Template:Country data
ទំព័រគំរូ:Wikipedia-screenshot	Template:Wikipedia-screenshot
ទំព័រគំរូ:Won	Template:Won
ទំព័រគំរូ:Tnavbar-collapsible	Template:Navbar-collapsible
ទំព័រគំរូ:Coor URL	Template:Coor URL
ទំព័រគំរូ:Pp-template	Template:Pp-template
ទំព័រគំរូ:Min	Template:Min
ទំព័រគំរូ:Wiktionary	Template:Wiktionary
ទំព័រគំរូ:Mbox templates	Template:Mbox templates (small)
ទំព័រគំរូ:Multi-listen start	Template:Multi-listen start
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសស៊ុយអែត	Template:Country data Sweden
ទំព័រគំរូ:Bar box	Template:Bar box
ទំព័រគំរូ:Chem	Template:Chem
ទំព័រគំរូ:Language icon	Template:Link language
ទំព័រគំរូ:Lang-sr	Template:Lang-sr
ហត្ថាកសិករ លីមីតធីត	Hattha Kaksekar
ទំព័រគំរូ:Infobox settlement	Template:Infobox settlement
មធ្យមហែងស៍	Heinz mean
ហែម ចៀវ	Hem Chieu
ទំព័រគំរូ:User ru	Template:User ru
ទំព័រគំរូ:Admin	Template:Admin
ទំព័រគំរូ:IPA	Template:IPA
ទំព័រគំរូ:អត្ថន័យដទៃទៀត	Template:Other uses
ហ៊ឹម ស៊ីវន	Him Sivorn
ទំព័រគំរូ:ទិន្នន័យប្រទេស សហភាពសូវៀត	Template:Country data Soviet Union
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសឥណ្ឌា	Template:Country data India
ទំព័រគំរូ:Language with name	Template:Language with name
ទំព័រគំរូ:Imbox	Template:Imbox
ទំព័រគំរូ:Rellink	Template:Rellink
ទំព័រគំរូ:Navbox subgroup	Template:Navbox subgroup
ទំព័រគំរូ:Non-free use rationale	Template:Non-free use rationale
ទំព័រគំរូ:Birth year and age	Template:Birth date and age
ទំព័រគំរូ:List of African capitals	Template:List of African capitals
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ក្រុមជនជាតិ	Template:Infobox ethnic group
ទំព័រគំរូ:Archive box	Template:Archive box
ទំព័រគំរូ:MONTHNAME	Template:MONTHNAME
ទំព័រគំរូ:Calendar/MonthStartSat	Template:Calendar/isoMonthStartSat
វិគីភីឌា:Text of GNU Free Documentation License	Wikipedia:Text of the GNU Free Documentation License
ទំព័រគំរូ:Commons category-inline	Template:Commons category-inline
ទំព័រគំរូ:រង្វាន់ណូបែល	Template:Nobel Prizes
ទំព័រគំរូ:Sisterlinks	Template:Sister project links
ទំព័រគំរូ:ទិន្នន័យប្រទេស អង់ដូរ៉ា	Template:Country data Andorra
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន តំបន់ការពារ	Template:Infobox protected area
ទំព័រគំរូ:Border	Template:Border
ទំព័រគំរូ:ទិន្នន័យប្រទេស ព័រទុយហ្គាល់	Template:Country data Portugal
ទំព័រគំរូ:Death date and age	Template:Death date and age
ទំព័រគំរូ:MONTHNUMBER	Template:MONTHNUMBER
ចំណាត់ថ្នាក់ក្រុម:People stubs	Category:People stubs
ទំព័រគំរូ:ទិន្នន័យប្រទេស បុរីវ៉ាទីកង់	Template:Country data Vatican City
ទំព័រគំរូ:Top icon	Template:Top icon
ទំព័រគំរូ:Icon	Template:Icon
ចំណាត់ថ្នាក់ក្រុម:Template:Country data templates	Category:Country data templates
ទំព័រគំរូ:Birth category header	Template:Birth category header
ទំព័រគំរូ:Namespace detect	Template:Namespace detect
ចំណាត់ថ្នាក់ក្រុម:ជ័យលាភីរង្វាន់ណូបែល ផ្នែករូបវិទ្យា	Category:Nobel laureates in Physics
ចំណាត់ថ្នាក់ក្រុម:ជ័យលាភីរង្វាន់ណូបែល ផ្នែកគីមីវិទ្យា	Category:Nobel laureates in Chemistry
ទំព័រគំរូ:Fmbox	Template:Fmbox
ទំព័រគំរូ:Navbox with collapsible groups	Template:Navbox with collapsible groups
ទំព័រគំរូ:GeoGroup	Template:GeoGroup
ទំព័រគំរូ:ទិន្នន័យប្រទេស ចិន	Template:Country data China
ទំព័រគំរូ:Wikify	Template:Wikify
ទំព័រគំរូ:ទិន្នន័យ នៃ ប្រទេស អង់គ្លេស	Template:Country data England
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអៀរឡង់	Template:Country data Republic of Ireland
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសទួរគី	Template:Country data Turkey
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសស្វីស	Template:Country data Switzerland
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហ្វីលីពីន	Template:Country data Philippines
ទំព័រគំរូ:Hidden begin	Template:Hidden begin
ទំព័រគំរូ:ParmPart	Template:ParmPart
ទំព័រគំរូ:Army	Template:Army
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសម៉ាឡេស៊ី	Template:Country data Malaysia
ទំព័រគំរូ:ទិន្នន័យប្រទេស អាមេនី	Template:Country data Armenia
ទំព័រគំរូ:Infobox OS	Template:Infobox OS
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសតៃវ៉ាន់	Template:Country data Taiwan
ទំព័រគំរូ:ទិន្នន័យប្រទេស វៀតណាមខាងត្បូង	Template:Country data South Vietnam
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសភូមា	Template:Country data Myanmar
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសឈីលី	Template:Country data Chile
ទំព័រគំរូ:The Original Barnstar	Template:The Original Barnstar
ទំព័រគំរូ:ទិន្នន័យប្រទេស លីបង់	Template:Country data Lebanon
ទំព័រគំរូ:ទិន្នន័យប្រទេស ចិនតៃប៉ិ	Template:Country data Chinese Taipei
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន សៀវភៅ	Template:Infobox book
ទំព័រគំរូ:Tlc	Template:Tlc
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ភព	Template:Infobox planet
ទំព័រគំរូ:Compact periodic table	Template:Periodic table (32 columns, compact)
ទំព័រគំរូ:Lang-fa	Template:Lang-fa
ទំព័រគំរូ:ICD10	Template:ICD10
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសម៉ាឡេស៊ី	Template:MYS
ទំព័រគំរូ:Infobox website	Template:Infobox website
ទំព័រគំរូ:Globalize	Template:Globalize
ទំព័រគំរូ:Image label end	Template:Image label end
ទំព័រគំរូ:មិនស្គាល់អជ្ញាបណ្ណ	Template:Don't know
ទំព័រគំរូ:Navboxes	Template:Navboxes
ទំព័រគំរូ:Documentation subpage	Template:Documentation subpage
ទំព័រគំរូ:Uncategorized	Template:Uncategorized
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសឥណ្ឌូនេស៊ី	Template:IDN
ទំព័រគំរូ:Talk header for guidelines	Template:Talk header
ទំព័រគំរូ:Quote box	Template:Quote box
ទំព័រគំរូ:CcTLD	Template:CcTLD
ទំព័រគំរូ:Cc-by-2.0	Template:Cc-by-2.0
ទំព័រគំរូ:Lang-my-fonts	Template:Script/Mymr
ទំព័រគំរូ:Oldid	Template:Oldid
ទំព័រគំរូ:Rtl-lang	Template:Rtl-lang
ទំព័រគំរូ:List of Asian capitals by region	Template:List of Asian capitals by region
ទំព័រគំរូ:Bquote	Template:Block quote
ទំព័រគំរូ:ប្រអប់ព័ត៌មានទីកន្លែងកេរដំណែលពិភពលោក	Template:Infobox World Heritage Site
ទំព័រគំរូ:Str len	Template:Str len
ទំព័រគំរូ:Purge	Template:Purge
ទំព័រគំរូ:Lang-de	Template:Lang-de
ទំព័រគំរូ:Empty category	Template:Empty category
ទំព័រគំរូ:Ifempty	Template:If empty
ទំព័រគំរូ:Pre2	Template:Pre2
ទំព័រគំរូ:Lang-la	Template:Lang-la
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន អាគារ	Template:Infobox building
ទំព័រគំរូ:'	Template:'
ទំព័រគំរូ:Lang-el	Template:Lang-el
ទំព័រគំរូ:Chessgames player	Template:Chessgames player
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសអារ៉ាប៊ីសាអូឌីត	Template:SAU
ទំព័រគំរូ:User page	Template:User page
ទំព័រគំរូ:DE	Template:DEU
ទំព័រគំរូ:Lang-my	Template:Lang-my
ទំព័រគំរូ:Stack	Template:Stack
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ព្រះវិហារគ្រិស្ដសាសនា	Template:Infobox church
ទំព័រគំរូ:ផ្នែក និងទឹកដីនាយសមុទ្ររបស់បារាំង	Template:French overseas departments and territories
ទំព័រគំរូ:Infobox Christian leader	Template:Infobox Christian leader
ទំព័រគំរូ:User	Template:User
ទំព័រគំរូ:Spoken Wikipedia	Template:Spoken Wikipedia
ទំព័រគំរូ:University-stub	Template:University-stub
ទំព័រគំរូ:វិគីភីឌាភាសា	Template:Wikipedias
ទំព័រគំរូ:Clarify	Template:Clarify
ទំព័រគំរូ:Refimprove	Template:Unreferenced
ទំព័រគំរូ:Lorem ipsum	Template:Lorem ipsum
ទំព័រគំរូ:ស្នើសុំប្ដូរឈ្មោះ	Template:Renameuser
ទំព័រគំរូ:CIA World Factbook link	Template:CIA World Factbook link
ទំព័រគំរូ:Image label small	Template:Image label small
ទំព័រគំរូ:Featured article candidates	Template:FAC
ទំព័រគំរូ:អឺរ៉ុប និង សមុទ្រ	Template:Europe and seas labelled map
ទំព័រគំរូ:AddNewSection	Template:AddNewSection
ទំព័រគំរូ:Nihongo	Template:Nihongo
ទំព័រគំរូ:User fr-3	Template:User fr-3
ទំព័រគំរូ:PD-because	Template:PD-because
ទំព័រគំរូ:Th icon	Template:Th icon
ទំព័រគំរូ:Cc-by	Template:Cc-by-1.0
ទំព័រគំរូ:Failed verification	Template:Failed verification
ទំព័រគំរូ:Tag	Template:Tag
ទំព័រគំរូ:Sec link auto	Template:Sec link auto
ទំព័រគំរូ:Pp-meta	Template:Pp-meta
ទំព័រគំរូ:Notelist	Template:Notelist
