ਅਫ਼ਰੀਕਾ	Africa
ਇਹ ਫ਼ਿਲਮ ਨਹੀਂ ਹੈ	This Is Not a Film
ਪਾਰਲੀ ਵਾਰਵਾਰਤਾ	Ultra high frequency
ਰੱਖ (ਸਦਾਚਾਰ)	Conservation (ethic)
ਲੇਬਰ ਕੈਂਪ	Labor camp
ਸੁਨੇਹਾ	Message
ਗੁਰੂ ਹਰਿਰਾਇ ਜੀ	Guru Har Rai
ਕੇ.ਸੀ. ਸਟੇਡੀਅਮ	KC Stadium
ਸਾਬਰਮਤੀ ਦਰਿਆ	Sabarmati River
ਗੌਤਮ ਘੋਸ਼	Goutam Ghose
ਸਾਂਚੋ ਪਾਂਜਾ	Sancho Panza
ਕਾਮਰੇਡ	Comrade
ਭੁੱਖੀ ਪੀੜ੍ਹੀ	Hungry generation
ਬਾਂਸਵਾੜਾ	Banswara
ਕਣਕ ਦੇ ਖੇਤ ਅਤੇ ਕਾਂ	Wheatfield with Crows
ਪਿਗਮੇਲੀਅਨ (ਨਾਟਕ)	Pygmalion (play)
ਦ ਕਾਈਟ ਰਨਰ	The Kite Runner
ਅਰਦਾਸ	Ardās
ਕਰਾਸਲਾਵਾ	Krāslava
ਅਰਧ ਸੱਤਿਆ	Ardh Satya
ਹੀਰਾਕ ਰਾਜਾਰ ਦੇਸ਼ੇ	Goopy Gyne Bagha Byne
ਚਾਰੂਲਤਾ	Charulata
ਭਾਰਤ ਵਿੱਚ ਔਰਤਾਂ	Women in India
ਦੇਵੀ (ਫ਼ਿਲਮ, 1960)	Devi (1960 film)
ਨਾਦਿਰ ਦੀ ਸੀਮੀਨ ਤੋਂ ਜੁਦਾਈ	A Separation
ਸ਼ਖ਼ਸੀਅਤ	Personality
ਕੂਕਾ ਲਹਿਰ	Namdhari
ਭਾਰਤ ਦਾ ਗਵਰਨਰ ਜਰਨਲ	Governor-General of India
ਇਸਲਾਮ ਦਾ ਇਤਿਹਾਸ	History of Islam
ਹਿਲਸਬਰੋ ਸਟੇਡੀਅਮ	Hillsborough Stadium
ਪਾਗਲ ਦੀ ਡਾਇਰੀ (ਕਹਾਣੀ)	Diary of a Madman (short story)
ਡਫ਼ਰਿਨ-ਪੀਲ ਕੈਥੋਲਿਕ ਜ਼ਿਲ੍ਹਾ ਸਕੂਲ ਬੋਰਡ	Dufferin-Peel Catholic District School Board
ਨੈਸ਼ਨਲ ਹਾਈਵੇ 1 (ਭਾਰਤ)	National Highway 1 (India)(old numbering)
ਨੈਸ਼ਨਲ ਹਾਈਵੇ 1A (ਭਾਰਤ)	National Highway 1A (India)(old numbering)
ਨੈਸ਼ਨਲ ਹਾਈਵੇ 3 (ਭਾਰਤ)	National Highway 3 (India)(old numbering)
ਨੈਸ਼ਨਲ ਹਾਈਵੇ 4 (ਭਾਰਤ)	National Highway 4 (India)(old numbering)
ਨੈਸ਼ਨਲ ਹਾਈਵੇ 2 (ਭਾਰਤ)	National Highway 2 (India)(old numbering)
ਸ਼ਹੀਦ	Shahid
ਸਿਆਲਕੋਟ	Sialkot
ਕਾਰਸ਼ੀ	Qarshi
ਦ ਲੀਜੰਡ ਆਫ ਭਗਤ ਸਿੰਘ	The Legend of Bhagat Singh
ਪੋਬਲੈੱਤ ਮੱਠ	Poblet Monastery
ਮੁਰਦਾ ਰੂਹਾਂ	Dead Souls
ਏਲਿਫੇਂਟਾ ਗੁਫਾਵਾਂ	Elephanta Caves
ਟੈੱਸ	Tess of the d'Urbervilles
ਸੁਧੀਰ ਕੱਕੜ	Sudhir Kakar
ਕਾਦਿਜ਼ ਗਿਰਜ਼ਾਘਰ	Cádiz Cathedral
ਸਮੁੰਦਰੀ ਮੁਰਗਾਬੀ	The Seagull
ਬਹੀਰਾ ਸਮੁੰਦਰ	Archipelago Sea
ਗੁਇਆਨੀ ਮੁਲਕ	The Guianas
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਮਹਿਲਾਵਾਂ ਦੀ ਫ੍ਰੀਸਟਾਇਲ ੭੨ ਕਿਲੋਗਰਾਮ	Wrestling at the 2008 Summer Olympics – Women's freestyle 72 kg
ਆਲ ਇੰਡੀਆ ਅੰਨਾ ਦ੍ਰਾਵਿੜ ਮੁਨੇਤਰ ਕੜਗਮ	All India Anna Dravida Munnetra Kazhagam
ਸ਼ੁੰਗ ਰਾਜਵੰਸ਼	Sunga Empire
ਫ਼ਿਰੋਜ਼ਪੁਰ	Firozpur
ਦਾ ਟਵਾਈਲਾਈਟ ਸਾਗਾ (ਫ਼ਿਲਮ ਲੜੀ)	The Twilight Saga (film series)
ਕਾਇਆਹ ਰਾਜ	Kayah State
ਸਪੇਨੀ ਅਮਰੀਕਾ	Hispanic America
ਸ਼੍ਰੀਰੰਗਾਪਟਨਮ	Srirangapatna
ਖੰਭਾਤ ਦੀ ਖਾੜੀ	Gulf of Khambhat
ਰੰਗ ਦ੍ਰਿਸ਼	Spectrum
ਸਿਰਮੌਰ ਜ਼ਿਲਾ	Sirmaur district
ਵਿਜੇ ਕੁਮਾਰ	Vijay Kumar (sport shooter)
ਸਾਧ-ਸੰਤ	Sadhu
ਰੁਜ਼ਗਾਰ	Employment
ਬਾਬਰੀ ਮਸਜਿਦ	Babri Masjid
ਬਾਬਰੀ ਮਸਜਿਦ ਦੀ ਢਹਾਈ	Demolition of the Babri Masjid
ਤਾਲਸਤਾਏਵਾਦੀ ਲਹਿਰ	Tolstoyan movement
ਫ਼ਨਾ (ਫਿਲਮ)	Fanaa (film)
ਆਈ. ਸੇਰੇਬਰੀਆਕੋਵ	I. D. Serebryakov
ਦਾ ਫਾਲਟ ਇਨ ਆਵਰ ਸਟਾਰਸ (ਨਾਵਲ)	The Fault in Our Stars
ਸਾਮਬਾਸਾ-ਮੁਨਦੀਆਲੈਕਤ	Sambahsa
ਆਰਿਫ਼ ਲੁਹਾਰ	Arif Lohar
ਹਿਜੜਾ	Hijra (South Asia)
ਕਾਂਗੜਾ	Kangra, Himachal Pradesh
ਭਰੂਣ ਹੱਤਿਆ	Feticide
ਕੈਰੀਬੀਆ	Caribbean
ਦਿੱਲੀ ਯੂਨੀਵਰਸਿਟੀ	University of Delhi
ਸਾਂਤਾ ਕ੍ਰਿਸਤੀਨਾ ਦੇ ਲੇਨਾ	Santa Cristina de Lena
ਮਾਇਕਲ ਮਧੁਸੂਦਨ ਦੱਤ	Michael Madhusudan Dutt
ਇਰਾਨੀ ਰਾਜਮਾਰਗਾਂ ਦੀ ਸੂਚੀ	List of highways in Iran
ਹੂਗਜ਼ ਐੱਚ-੪	Hughes H-4 Hercules
ਯਥਾਰਥਵਾਦ (ਸਾਹਿਤ)	Literary realism
ਮਸੂਰੀ	Mussoorie
ਥੀਏਟਰ ਆਫ ਕਰੂਅਲਟੀ	Theatre of Cruelty
ਜਾਤਕ	Jataka tales
ਵੈਸਟ ਇੰਡੀਜ਼	West Indies
ਦੱਖਿਨੀ	Dakhini
ਪਟਿਆਲਾ ਅਤੇ ਪੂਰਬੀ ਪੰਜਾਬ ਸਟੇਟਸ ਯੂਨੀਅਨ (ਪੈਪਸੂ)	Patiala and East Punjab States Union
ਗੁੱਡੀ ਦਾ ਘਰ	A Doll's House
ਨੋ ਐਗਜਿਟ	No Exit
ਅਰਜੁਨ ਇਨਾਮ	Arjuna Award
ਪਦਮ ਵਿਭੂਸ਼ਨ	Padma Vibhushan
ਲੈਲਾ ਮਜਨੂੰ	Layla and Majnun
ਗੁਰੂਤਾ-ਪ੍ਰਵੇਗ	Gravity of Earth
ਰੋਮੀਓ	Romeo
ਮਾਈਮ ਕਲਾਕਾਰ	Mime artist
ਨੌਸ਼ਾਦ	Naushad
ਨਾਈਟ ਕੈਫ਼ੇ	The Night Café
ਹਾਇਲ	Ha'il
ਸਿਸਟਮ ਸਾਫ਼ਟਵੇਅਰ	System software
ਮਾਚੂ ਪਿਕਚੂ	Machu Picchu
ਤੇਲੰਗਾਨਾ	Telangana
ਕੁਲਭੂਸ਼ਨ ਖਰਬੰਦਾ	Kulbhushan Kharbanda
ਮਾਰਕ ਬਾਉਚਰ	Mark Boucher
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਫ੍ਰੀਸਟਾਇਲ ੬੬ ਕਿਲੋਗਰਾਮ	Wrestling at the 2008 Summer Olympics – Men's freestyle 66 kg
ਸਤਿਅਮੇਵ ਜਯਤੇ	Satyameva Jayate
ਸੋਬਰਾਦੋ ਮੱਠ	Sobrado Abbey
ਓਡੇਸਾ ਦਾ ਘੇਰਾ	Siege of Odessa (1941)
ਟ੍ਰਾਂਸਪੋਰਟ ਫ਼ਾਰ ਲੰਡਨ	Transport for London
ਟਰਫ਼ ਮੂਰ	Turf Moor
ਮਹਿੰਦਰਗੜ੍ਹ ਜ਼ਿਲਾ	Mahendragarh district
ਭੰਗ	Bhang
ਲੌਂਗ	Long pepper
ਵਖਰੇਵਾਂ	Secession
ਸਰੋਦ	Sarod
ਅਮਰਪਾਲੀ	Amrapali
ਹੈਤੀ ਇਨਕ਼ਲਾਬ	Haitian Revolution
ਗੁਰਮੁਖੀ ਲਿਪੀ	Gurmukhī alphabet
ਭਾਰਦਵਾਜ	Bharadwaja
ਰਾਹਤ ਫ਼ਤਹਿ ਅਲੀ ਖ਼ਾਨ	Rahat Fateh Ali Khan
ਅਵਨਿੰਦਰਨਾਥ ਟੈਗੋਰ	Abanindranath Tagore
ਮਾਊਂਟ ਆਬੂ	Mount Abu
ਰਾਸ਼ਟਰਮੰਡਲ ਖੇਡਾਂ 2010	2010 Commonwealth Games
ਭਾਰਤੀ ਸੰਸਦ	Indian Parliament
ਸ਼ੇਖ਼ ਜ਼ਾਇਦ ਮਸਜਿਦ	Sheikh Zayed Mosque
ਗੀਗਾਬਾਈਟ ਟੈਕਨਾਲਜੀ	Gigabyte Technology
ਮਿਖ਼ਾਇਲ ਪ੍ਰਿਸ਼ਵਿਨ	Mikhail Prishvin
ਯੂਰੀ ਬੋਂਦਾਰੇਵ	Yuri Bondarev
ਪੀਟਰ ਰੀਡਿੰਗ	Peter Reading
ਵਗਾਰ	Unfree labour
ਭੌਤਿਕਵਾਦ ਅਤੇ ਅਨੁਭਵਸਿੱਧ-ਆਲੋਚਨਾ	Materialism and Empirio-criticism
ਆਰਤਤਮ 2	Artatama II
ਹਰੀਹਰ ਦੂਜਾ	Harihara II
ਸ਼ਰੀਰੰਗ ਦੂਜਾ	Sriranga II
ਵੈਂਕਟ ਦੂਜਾ	Venkatapati Deva Raya
ਕੀਰਤੀਵਰਮਨ ਦੂਜਾ	Kirtivarman II
ਜੇਮਜ਼ ਰੈਡਫ਼ੀਲਡ	James Redfield
ਨੰਦੀਵਰਮਨ ਦੂਜਾ	Nandivarman II
ਨਰਸਿੰਹਵਰਮਨ ਦੂਜਾ	Narasimhavarman II
ਦ ਰਾਈਮ ਆਫ਼ ਦੀ ਏਨਸੀਐਂਟ ਮੇਰੀਨਰ	The Rime of the Ancient Mariner
ਪੁਲੀਕਾਤ ਝੀਲ	Pulicat Lake
ਪੁਲਕੇਸੀ ਦੂਜਾ	Pulakesi II
ਬਸੀ ਪਠਾਣਾਂ	Bassi Pathana
ਬਟਾਲਾ	Batala
ਕੁਲੋਤੁੰਗ ਚੋਲ ਦੂਜਾ	Kulothunga Chola II
ਬਠਿੰਡਾ	Bathinda
ਮੈਲਵਿਲ ਜੇ ਹਰਸਕੋਵਿਤਸ	Melville J. Herskovits
ਅੰਗ (ਸਰੀਰੀ ਬਣਤਰ)	Organ (anatomy)
ਅਮੀਰਾ ਅਹਿਮਦ	Umera Ahmad
ਦੁਨੀਆਂ ਦੇ ਨਵੇਂ ਸੱਤ ਅਜੂਬੇ	New7Wonders of the World
ਇਲਿਆਸ ਖੌਰੀ	Elias Khoury
ਤੇਈਦੇ ਕੌਮੀ ਪਾਰਕ	Teide National Park
ਪਾਲ ਸਵੀਜੀ	Paul Sweezy
ਵਿਸ਼ਵ ਮਹਾਂਸਾਗਰ	World Ocean
ਏਸ਼ੀਆ ਦੇ ਦੇਸ਼ਾਂ ਦੀ ਸੂਚੀ	List of sovereign states and dependent territories in Asia
ਵਾਲਮੀਕ	Valmiki
ਫ਼ੌਜੀ ਕਨੂੰਨ	Martial law
ਬੇਗਾਡਾਨ	Bégadan
ਸ਼ਿਕਰਾ	Shikra
ਨੋਰਮਨ ਪ੍ਰਿਚਰਡ	Norman Pritchard
ਕਾਬਲੀਵਾਲਾ (1957 ਫ਼ਿਲਮ)	Kabuliwala (1957 film)
ਸ਼ਾਖਾ ਪ੍ਰਸ਼ਾਖਾ	Shakha Proshakha
ਸਦਗਤੀ	Sadgati
ਆਰੀਆ ਸਮਾਜ	Arya Samaj
ਬੇਗਮ ਹਜ਼ਰਤ ਮਹਲ	Begum Hazrat Mahal
ਕਾਬੀਲ ਅਤੇ ਹਾਬੀਲ	Cain and Abel
ਨੰਦਿਤਾ ਦਾਸ	Nandita Das
ਆਈ ਏ ਰਿਚਰਡਸ	I. A. Richards
ਕਲਾਸੀਕਲ ਗਿਟਾਰ	Classical guitar
ਏਸ਼ੀਆ ਦੇ ਝੰਡੇ	Flags of Asia
ਵਿਲੀਅਮ ਰੋਜੇੱਟੀ	William Michael Rossetti
ਦ ਹੌਬਿਟ: ਦ ਡੈਸੋਲੇਸ਼ਨ ਆਫ਼ ਸਮੌਗ	The Hobbit: The Desolation of Smaug
ਚੇਤਨ ਆਨੰਦ	Chetan Anand (director)
ਲੰਕਾ	Lanka
ਹਿੰਦੀ ਵਿਕੀਪੀਡੀਆ	Hindi Wikipedia
ਯੂ ਆਰ ਅਨੰਤਮੂਰਤੀ	U. R. Ananthamurthy
ਅਸ਼ਵਮੇਧ	Ashvamedha
ਜੇਟ ਏਅਰਵੇਜ਼	Jet Airways
ਕੋਲਾਰ	Kolar
ਕਾਂਗੜਾ ਜ਼ਿਲਾ	Kangra district
ਡੀ ਗ੍ਰੋਲਸਛ ਵੇਸਤੇ	De Grolsch Veste
ਲਾਰਡ ਜਿਮ	Lord Jim
ਰਿਗਵੇਦ	Rigveda
ਕਮਿਊਨਿਟੀ	Community (TV series)
ਹਾਇਬਨ	Haibun
ਪੀਟਰ ਟੀ. ਡੈਨੀਅਲਜ਼	Peter T. Daniels
ਸ਼ੁਜੀ ਨਾਕਾਮੁਰਾ	Shuji Nakamura
ਫੁਮਲਹੌਤ ਬੀ	Fomalhaut b
ਕਿਊਬਾਈ ਵਟਾਂਦਰਾਯੋਗ ਪੇਸੋ	Cuban convertible peso
ਗੰਗੂਬਾਈ ਹੰਗਲ	Gangubai Hangal
ਓਗਰੇ, ਲਾਤਵੀਆ	Ogre, Latvia
ਹਕੀਮਉੱਲਾ ਮਹਿਸੂਦ	Hakimullah Mehsud
ਮੁਹੰਮਦ ਤਾਹਿਰ ਉਲ-ਕਾਦਰੀ	Muhammad Tahir-ul-Qadri
ਮੁਲਕ ਰਾਜ ਆਨੰਦ	Mulk Raj Anand
ਸਚਲ ਸਰਮਸਤ	Sachal Sarmast
ਦੇਵਦਾਸ ਗਾਂਧੀ	Devdas Gandhi
ਰਸਾਇਣਕ ਵਰਗੀਕਰਨ	Chemical classification
ਡੈਵਿਡ ਲੈਕ	David Lack
ਯੋਚਾਨਾਨ ਆਫੇਕ	Yochanan Afek
ਰੈਨੇ ਵੈਲਕ	René Wellek
ਇਸਤਵਾਨ ਆਬੋਨੀ	István Abonyi
ਇਲੈਕਟਰਾ (ਸੋਫੋਕਲੀਜ)	Electra (Sophocles)
ਜੈਪ੍ਰਕਾਸ਼ ਨਰਾਇਣ	Jayaprakash Narayan
ਰਾਜਮੋਹਨ ਗਾਂਧੀ	Rajmohan Gandhi
ਅਲੈਗਜ਼ੈਂਡਰ ਸਰਾਫ਼ੀਮੋਵਿਚ	Alexander Serafimovich
ਉਖਰੁਲ ਜ਼ਿਲਾ	Ukhrul district
ਸ਼ੁਕੁਮਾਰ ਰਾਏ	Sukumar Ray
ਮਿਊਰੀਅਲ ਰੂਕਾਇਜ਼ਰ	Muriel Rukeyser
ਦ ਫ਼ੋਰਸਾਈਟ ਸਾਗਾ	The Forsyte Saga
ਦਾਰਸ਼ਨਕ ਯਥਾਰਥਵਾਦ	Philosophical realism
ਜੁਨੈਦ ਬਗਦਾਦੀ	Junayd of Baghdad
ਲੰਡਨ ਕਲੱਬ	London Club
ਲਸ਼ਕਰ-ਏ-ਤਈਬਾ	Lashkar-e-Taiba
ਸੰਧੂਰ	Vermilion
ਵਿਨੋਦ ਖੋਸਲਾ	Vinod Khosla
ਲਾਲ ਸ਼ਾਹਬਾਜ਼ ਕਲੰਦਰ	Lal Shahbaz Qalandar
ਪੀਟਰ ਆਕਸ	Péter Ács
ਚੰਦਰ ਸ਼ੇਖਰ ਆਜ਼ਾਦ	Chandra Shekhar Azad
ਦਿੱਲੀ ਡੇਅਰਡੈਵਿਲਜ਼	Delhi Daredevils
ਕਸ਼ੁਦਰ ਗ੍ਰਹਿ	Astroid
ਜੇਮਸ ਪ੍ਰਿੰਸੇਪ	James Prinsep
ਯੂਨੀਸੈਫ਼	UNICEF
ਨੈਸ਼ਨਲ ਪਾਰਟੀ (ਦੱਖਣੀ ਅਫ਼ਰੀਕਾ)	National Party (South Africa)
ਖਲੀਲੁੱਲਾਹ ਖਲੀਲੀ	Khalilullah Khalili
ਇਸਤਾਦੀਓ ਐੱਲ ਮਾਦਰੀਗਾਲ	Estadio El Madrigal
ਮੋਇਨੁੱਦੀਨ ਚਿਸ਼ਤੀ	Moinuddin Chishti
ਸਜਾਤੀ ਲੜੀ	Homologous series
ਨਵੀਨ ਆਲੋਚਨਾ	New Criticism
ਰੂਸੀ ਰੂਪਵਾਦ	Russian formalism
ਰੂਟਸ (ਨਾਵਲ)	Roots: The Saga of an American Family
ਤਾਕਾਹਾਮਾ ਕਿਓਸ਼ੀ	Kyoshi Takahama
ਫ਼ਾਰਸੀ ਲਿਪੀ	Persian alphabet
ਸਾਲਦੁਸ	Saldus
ਬੁਰਗੋਸ ਵੱਡਾ ਗਿਰਜਾਘਰ	Burgos Cathedral
ਲੋਂਜਾਈਨਸ	Longinus (literature)
ਪਾਰ (ਫ਼ਿਲਮ)	Paar (film)
ਸ੍ਰੀਲੰਕਾ ਮਾਤਾ	Sri Lanka Matha
ਕਾਸਾ ਵਿਸੇਂਸ	Casa Vicens
ਆਇਤ ਅਲ-ਕੁਰਸੀ	Al-Baqara 255
ਬ੍ਰਹਮ	Brahman
ਕਿਰਤਾ	Kirta
ਸਾਰਾਂਦੇ ਜ਼ਿਲਾ	Sarandë District
ਗਲੋਕਲੀਕਰਨ	Glocalization
ਧੱਮਪਦ	Dhammapada
ਛਿਲਾ	Postpartum period
ਯਾਸਨਾਇਆ ਪੋਲੀਆਨਾ	Yasnaya Polyana
ਸ਼ਰਧਾਂਜਲੀ	Mourning
ਮਮਿਤ ਜ਼ਿਲਾ	Mamit district
ਗੀਤਕਾਰ	Songwriter
ਅੰਕਲ ਵਾਨਿਆ	Uncle Vanya
ਚਾਰ ਮਹਾਨ ਕਲਾਸੀਕਲ ਨਾਵਲ	Four Great Classical Novels
ਲੁਸਿਸਤਰਾਤੇ	Lysistrata
ਆਤਿਫ ਅਸਲਮ	Atif Aslam
ਰਿਸ਼ੀ	Rishi
ਬੰਗਾਲੀ ਲਿਪੀ	Bengali alphabet
ਉੱਤਰੀ ਅਮਰੀਕਾ ਦੇ ਝੰਡੇ	Flags of North America
ਵਿਸ਼ਵ ਸ਼ਰਨਾਰਥੀ ਦਿਵਸ	World Refugee Day
ਕੁੱਕਰੇ	Keratitis
ਟਾਕਰੀ ਲਿੱਪੀ	Takri alphabet
ਢੇਊ	Artocarpus lacucha
ਸ਼ਿਕਾਰੀ ਦੇ ਸ਼ਬਦ ਚਿੱਤਰ	A Sportsman's Sketches
ਆਇਸ਼ਾ ਖਾਨ	Ayesha Khan (junior)
ਗੜੀਮਾਈ ਤਿਉਹਾਰ	Gadhimai festival
ਨਵੋਈ	Navoiy
ਓਮੁਸਾਟੀ	Omusati Region
ਹਾਰ ਸਿੰਗਾਰ	Nyctanthes arbor-tristis
ਅਜੀਬ ਫ਼ਲ	Strange Fruit
ਅਲੀਗੜ ਜ਼ਿਲ੍ਹਾ	Aligarh district
ਮਹਿੰਦੀ	Mehndi
ਕੂਕਾ, ਪੰਜਾਬ	Kuka, Punjab
ਦੇਸੀ	Desi
ਫਾਦਰ ਸਰਗੇਈ	Father Sergius
ਦੱਖਣੀ ਏਸ਼ੀਆ	South Asia
ਦੇਵਦਾਸ (1955 ਫ਼ਿਲਮ)	Devdas (1955 film)
ਕਲਾ ਕਲਾ ਲਈ	Art for art's sake
ਸੰਸਾਰਪੁਰ	Sansarpur
ਮਹਾਂਦੇਵ ਦੇਸਾਈ	Mahadev Desai
ਅੱਲਾਮਾ ਸ਼ਿਬਲੀ ਨਾਮਾਨੀ	Shibli Nomani
ਛਾਂਦੋਗਯ ਉਪਨਿਸ਼ਦ	Chandogya Upanishad
ਅੰਨ੍ਹੇ ਘੋੜੇ ਦਾ ਦਾਨ	Anhe Ghore Da Daan
ਚਾਹਤ	Desire
ਰਮੋਨ ਮੈਗਸੇਸੇ ਇਨਾਮ	Ramon Magsaysay Award
ਟੇਨੇਦੈਸ ਪਾਰਕ	Tannadice Park
ਅਸੀਰ ਰਿਆਸਤ	'Asir Region
ਅਸ਼ੋਕ ਦੇ ਫ਼ਰਮਾਨ	Edicts of Ashoka
ਅਲੀਬਾਬਾ ਔਰ 40 ਚੋਰ	Alibaba Aur 40 Chor
ਹੱਕ	Rights
ਮੁਹੰਮਦ ਜ਼ਫਰਉੱਲਾ ਖਾਨ	Muhammad Zafarullah Khan
ਨੋ ਲੋਗੋ	No Logo
ਬੁਢਲਾਡਾ	Budhlada
ਨੱਕ (ਗੋਗੋਲ)	The Nose (Gogol)
ਇਕਪਾਸੜਵਾਦ	Unilateralism
ਉਦੈ ਪ੍ਰਕਾਸ਼	Uday Prakash
ਨਿਊਜ਼ੀਲੈਂਡ ਦੇ ਤੋਤੇ	New Zealand parrot
ਆਜ਼ਮਗੜ੍ਹ ਜ਼ਿਲਾ	Azamgarh district
ਜੱਗੀ ਵਾਸੂਦੇਵ	Jaggi Vasudev
ਭੰਡ	Bhand
ਵਿਅਕਤੀ	Individual
ਬਹੁ-ਖੇਤਰੀ ਤਕਨੀਕੀ ਅਤੇ ਆਰਥਿਕ ਸਹਿਯੋਗ ਲਈ ਬੰਗਾਲ ਦੀ ਖਾੜੀ ਪਹਿਲ	Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation
ਸ਼ਮਸ ਤਬਰੇਜ਼ੀ	Shams Tabrizi
ਅਹਿੱਲਿਆ	Ahalya
ਬਾਬਰ	Babur
ਏਸ਼ੀਆਈ ਕੋਇਲ	Asian koel
ਘੱਗਰ ਹਕਰਾ ਦਰਿਆ	Ghaggar-Hakra River
ਪਾਕਿਸਤਾਨ ਮੁਸਲਿਮ ਲੀਗ	Pakistan Muslim League (N)
ਬਾਇਲੋ ਕਲਾਊਦੀਆ	Baelo Claudia
ਬਹਰਾਮ ਬੇਜ਼ਾਈ	Bahram Beyzai
ਬਹੁਜਨ ਸਮਾਜ ਪਾਰਟੀ	Bahujan Samaj Party
ਬੀ ਆਰ ਚੋਪੜਾ	Baldev Raj Chopra
ਬਲੇਸਕੁਈਦਾ ਗਿਰਜਾਘਰ	Capilla de la Balesquida
ਬਲਰਾਜ ਸਾਹਨੀ	Balraj Sahni
ਬਾਲਤਿਸਤਾਨ	Baltistan
ਬਾਂਸਵਾੜਾ ਜ਼ਿਲ੍ਹਾ	Banswara district
ਬਾਰਟੈਂਡਰ	Bartender
ਸੁਨਹਿਰੀ ਤਿਕੋਣ (ਦੱਖਣ-ਪੂਰਬੀ ਏਸ਼ੀਆ)	Golden Triangle (Southeast Asia)
ਫਾਈਲੇਰੀਆ	Filariasis
ਤਰੀਕਤ	Tariqa
ਬੈਨਜ਼ਾਈਲ	Benzyl
ਗੰਗੋਤਰੀ	Gangotri
ਜ਼ੋਰਬਾ ਦ ਗਰੀਕ (ਫ਼ਿਲਮ)	Zorba the Greek (film)
ਓਪੇਰਾ ਮਿਨੀ	Opera Mini
ਸੇਂਟ ਐਂਡਰਿਊਜ਼ ਸਟੇਡੀਅਮ	St Andrew's (stadium)
ਭਾਰਤੀ ਰੇਲ	Indian Railways
ਇੱਕ ਸੇਲਜਮੈਨ ਦੀ ਮੌਤ	Death of a Salesman
ਪ੍ਰਗਤੀਵਾਦ	Progressivism
ਬਰਨਾਰਡ ਦੱਜ਼ੀ	Bernard Binlin Dadié
ਪੈਟ੍ਰਿਕ ਥਿਸਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	Partick Thistle F.C.
ਹੁਕਮੀ ਦੀ ਹਵੇਲੀ	The House of Bernarda Alba
ਰਿਵਰਸਾਈਡ ਸਟੇਡੀਅਮ	Riverside Stadium
ਸਲਵਾਰ ਕਮੀਜ਼	Shalwar kameez
ਫੱਗਣ	Phagun
ਜੰਮੂ ਕਸ਼ਮੀਰ ਦੇ ਮੁੱਖ ਮੰਤਰੀ	List of Chief Ministers of Jammu and Kashmir
ਹਰਿਆਣਾ ਦੇ ਮੁੱਖ ਮੰਤਰੀ	List of Chief Ministers of Haryana
ਅਰੁਨਾਚਲ ਪ੍ਰਦੇਸ਼ ਦੇ ਮੁੱਖ ਮੰਤਰੀ	List of Chief Ministers of Arunachal Pradesh
ਪਰਸ਼ੂਰਾਮ	Parashurama
ਐਗਜ਼ਿੱਟ ਪੋਲਜ਼	Exit poll
ਲੱਸੀ	Lassi
ਤਕਨੀਕੀ ਸਿੱਖਿਆ	Vocational education
ਆਤਮ (ਦਰਸ਼ਨ)	Subject (philosophy)
ਹੱਵਾ	Eve
ਗਲਪ ਲਈ ਪੁਲਿਤਜ਼ਰ ਪੁਰਸਕਾਰ	Pulitzer Prize for Fiction
ਬੋਮਨ ਈਰਾਨੀ	Boman Irani
ਕਾਵਿ ਸ਼ਾਸਤਰ	Poetics
ਖਰਖਰੀ	Croup
ਹਵਾ ਮਹਿਲ	Hawa Mahal
ਸਮਾਜਕ ਯਥਾਰਥਵਾਦ	Social realism
ਭਾਰਤੀ ਕਮਿਊਨਿਸਟ ਪਾਰਟੀ	Communist Party of India
ਲਾਹੌਲ ਅਤੇ ਸਪੀਤੀ ਜ਼ਿਲ੍ਹਾ	Lahaul and Spiti district
ਸ਼ੇਰਵਾਨੀ	Sherwani
ਵਿਨੋਦ ਧਾਮ	Vinod Dham
ਸਟ੍ਰੈਪਟੋਕੋਕਲ ਫੇਰਿਨਜਾਈਟਿਸ	Streptococcal pharyngitis
ਕਚਨਾਰ	Phanera variegata
ਏਪੇ	Épée
ਸਾਹਿਬ ਬੀਵੀ ਔਰ ਗ਼ੁਲਾਮ	Sahib Bibi Aur Ghulam
ਓਬਲੋਮੋਵ	Oblomov
ਨੋਕੀਆ 5800 ਐਕਸਪ੍ਰੇਸ ਮਿਊਜਿਕ	Nokia 5800 XpressMusic
ਪੱਛਮੀ ਦਰਸ਼ਨ	Western philosophy
ਨਿੰਜਾਤੋ	Ninjatō
ਅਬਾਦੀ ਪੱਖੋਂ ਢੁਕਵੇਂ ਸ਼ਹਿਰਾਂ ਦੀ ਸੂਚੀ	List of cities proper by population
ਸਾਇਆਨੇਟ	Cyanate
ਤਨੀਂਥਾਰਾਈ ਮੰਡਲ	Tanintharyi Region
ਏਸ਼ੀਆਈ ਓਲੰਪਿਕ ਪਰਿਸ਼ਦ	Olympic Council of Asia
