Aafrika	Africa
Valgevene NSV vapp	Emblem of the Byelorussian Soviet Socialist Republic
Usbeki NSV vapp	Emblem of the Uzbek Soviet Socialist Republic
Diomedese hobused	Mares of Diomedes
Abaka	Abaka
Ripskeha	Ciliary body
Koperniku printsiip	Copernican principle
Kâmpóng Chhnăng	Kampong Chhnang (city)
Floreana	Floreana Island
Waikato jõgi	Waikato River
Islami Da‘wa Partei	Islamic Dawa Party
Ferenc Kocsis	Ferenc Kocsis
Ronon Dex	Ronon Dex
Läänetuuled	Westerlies
Sinikilt	Blueschist
1975. aasta ujumise maailmameistrivõistlused	1975 World Aquatics Championships
Rahvusvahelised Kristuse Kogudused	International Churches of Christ
Jens Salumäe	Jens Salumäe
1982. aasta ujumise maailmameistrivõistlused	1982 World Aquatics Championships
Lendav Ülikool	Flying University
Morod	Moro people
NAMBLA	North American Man/Boy Love Association
Tihedusfunktsionaali teooria	Density functional theory
Autonoomne oblast	Autonomous oblast
Veebruar 2003	February 2003
Latium	Latium
Skeletilihased	Skeletal striated muscle
Venemaa Riiklik Raamatukogu	Russian State Library
NLKP KK peasekretär	General Secretary of the Communist Party of the Soviet Union
Töölaud (arvutid)	Desktop metaphor
Kõigi hirmude summa	The Sum of All Fears (film)
Kodori jõgi	Kodori River
La Barcala maakond	A Barcala
Pneuma	Pneuma
Gruusia NSV lipp	Flag of the Georgian Soviet Socialist Republic
Kirgiisi NSV lipp	Flag of the Kirghiz Soviet Socialist Republic
Ökoloogiline ökonoomika	Ecological economics
Raudteesuurtükk	Railway gun
Paul Gonzales	Paul Gonzales
Tri Repetae	Tri Repetae
Zubova Poljana rajoon	Zubovo-Polyansky District
Karuse lahing	Battle of Karuse
Insari rajoon	Insarsky District
Suursaar	Gogland
Windsor Park	Windsor Park
Izalco vulkaan	Izalco (volcano)
Polaarinertsimoment	Polar moment of inertia
Piton de la Fournaise	Piton de la Fournaise
Zooantroponoosid	Anthroponotic disease
Matchbox	Matchbox (band)
Just Say Ozzy	Just Say Ozzy
Imitatsioon (muusika)	Imitation (music)
Veeressursid	Water resources
Protsendipunkt	Percentage point
Demökoloogia	Population ecology
Coase'i teoreem	Coase theorem
Kasside agility	Cat agility
Skimboarding	Skimboarding
Ultra Bra	Ultra Bra
Narač (Kabylnik)	Narach (village)
Catargiu	Catargiu
Scincomorpha	Scincomorpha
Läänepiirkond (Sierra Leone)	Western Area
Madsen (kuulipilduja)	Madsen machine gun
Habomai saared	Habomai Islands
Raal-tehnoanalüüs	Computer-aided engineering
Meregeoloogia	Marine geology
Lendava Nafta	NK Nafta Lendava
Benedictus XVI teadustööd	Pope Benedict XVI bibliography
Cathal Ó Searcaigh	Cathal Ó Searcaigh
Halloween H20: 20 aastat hiljem	Halloween H20: 20 Years Later
Emesene	Emesene
Väikepütt (perekond)	Tachybaptus
Imeni Sverdlova	Imeni Sverdlova, Russia
Cato Instituut	Cato Institute
Üldistav programmeerimine	Generic programming
Hobukaan	Haemopis sanguisuga
Nyíregyháza Spartacus	Nyíregyháza Spartacus FC
Vöötnokk-pütt (perekond)	Podilymbus
Hiirelõks (näidend)	The Mousetrap
Ekvatoriaal-Guinea riigipeade loend	List of heads of state of Equatorial Guinea
Viievürtsisegu	Five-spice powder
Dougie Poynter	Dougie Poynter
Danny Jones	Danny Jones
Meeter sekundi ruudu kohta	Metre per second squared
Kordofonid	Chordophone
Lamborghini Urraco	Lamborghini Urraco
Joma	Joma
Protogalaktikad	Protogalaxy
Albaania kirjandus	Albanian literature
Olümpiaembleem	Olympic emblem
Tööjõus osalemise määr	Economic activity rate
Keskööpäike	Midnight Sun (novel)
DesktopBSD	DesktopBSD
Mezzano järv	Lake Mezzano
Baire'i teoreem	Baire category theorem
Pärilik motoorne ja sensoorne neuropaatia	Charcot–Marie–Tooth disease
Filter (matemaatika)	Filter (mathematics)
Cei järv	Lago di Cei
Karjala-Soome NSV vapp	Emblem of the Karelo-Finnish Soviet Socialist Republic
Tadžiki NSV lipp	Flag of the Tajik Soviet Socialist Republic
Nagaoka-kyō	Nagaoka-kyō
Aatman	Ātman (Hinduism)
Kaksvarvaslaisik	Hoffmann's two-toed sloth
Öökajakas	Swallow-tailed gull
Celebrity Eclipse	Celebrity Eclipse
Celebrity Cruises	Celebrity Cruises
Celebrity Equinox	Celebrity Equinox
Majoritaarne valimissüsteem	Single-member district
Troofiline tase	Trophic level
Tšellosonaat nr 3 (Beethoven)	Cello Sonata No. 3 (Beethoven)
Celso Amorim	Celso Amorim
Tragöödia sünd muusika vaimust	The Birth of Tragedy
Misantroop	The Misanthrope
Ökomärgis	Ecolabel
Karangetang	Karangetang
Katmai	Mount Katmai
Soomusjalavägi	Mechanized infantry
Solenoidkahur	Coilgun
Kesk-Bedfordshire	Central Bedfordshire
Nõutav jahutusvõimsus	Thermal design power
Leinalipp	Half-mast
Rahvusvaheline Vaalapüügikomisjon	International Whaling Commission
Peach-Pit	Peach-Pit
Siena Ampugnano lennujaam	Siena-Ampugnano Airport
Kesktasandik	Central Plain
Keskprovints	Central Province
Ungari veinipiirkondade loend	Hungarian wine
Juhtumianalüüs (õppemeetod)	Case method
Andkhvoy	Andkhoy
Falkonett	Falconet (cannon)
Megameeter	Megametre
Oristano Fenosu lennujaam	Oristano-Fenosu Airport
Halobakterid	Haloarchaea
Albenga lennujaam	Albenga Airport
Grosseto lennujaam	Grosseto Airport
Informalism	Informalism
Auruauto	Steam car
Riigi õigusjärglus	Succession of states
Ülem-Angara	Upper Angara River
Kõdukärblased	Drosophilidae
Saint Clairi jõgi	St. Clair River
INTERCAL	INTERCAL
Kodanlasest aadlimees	Le Bourgeois gentilhomme
Abashiri allprefektuur	Okhotsk Subprefecture
Seladon	Celadon
Mango (laulja)	Mango (singer)
Romantiline film	Romance film
Vene NFSV vapp	Coat of Arms of the Russian Soviet Federative Socialist Republic
Müügileping	Contract of sale
Singapuri saar	Pulau Ujong
Préveza merelahing	Battle of Preveza
Potenza jõgi	Potenza (river)
Meskheti türklased	Meskhetian Turks
Cerro Azul (Galápagose saared)	Cerro Azul (Ecuador volcano)
Como-Brunate köisraudtee	Como–Brunate funicular
Rahvaesindaja	Deputy (legislator)
Lembit Öpik	Lembit Öpik
Antonovi lennujaam	Gostomel Airport
Valguspüstol	Light gun
Aripo mägi	El Cerro del Aripo
Taimerakk	Plant cell
Diferentsvõimendi	Differential amplifier
I ja II tüüpi viga	Type I and type II errors
Otsustusvõime kriitika	Critique of Judgment
Avatud dokumendivormingud	Open format
Tartu rahu	Treaty of Tartu (Russian–Estonian)
Taranto Grottaglie lennujaam	Taranto-Grottaglie Airport
Ces-duur	C-flat major
Rüütellikkus	Chivalry
Morgenstern	Morning star (weapon)
Don't Believe the Truth	Don't Believe the Truth
Patendikoostööleping	Patent Cooperation Treaty
Heliopora coerulea	Blue coral
The Rev	The Rev
Kolmekeelne vioola	Kontra
Mercedes-Benz W140	Mercedes-Benz W140
Maamaks	Land value tax
Küünekivi	Hornblende
Heebrea kirjandus	Hebrew literature
Cessna Citation Mustang	Cessna Citation Mustang
720 eKr	720 BC
Ühinenud Rahvuslik Liikumine	United National Movement
Koerte loend	List of individual dogs
Kõrv (film 1970)	Ucho
René Strickler	René Strickler
Conway	Conway Reef
Merereostus	Marine pollution
Miilits	Militsiya
Viraat	INS Viraat (R22)
Charles I (täpsustus)	Charles I
Svjatoslav I	Sviatoslav I of Kiev
Primaarne skleroseeriv kolangiit	Primary sclerosing cholangitis
Diferentsiaaloperaator	Differential operator
Juukselakk	Hair spray
Leon Best	Leon Best
Veepuhastus	Water treatment
Kehavedelik	Body fluid
Skylake	Skylake (microarchitecture)
Fourpeaked	Fourpeaked Mountain
Erdenedzuu hijd	Erdene Zuu Monastery
Adenomeer	Adenomere
Tšingisiidid	Borjigin
September 2004	September 2004
Rawaki	Rawaki Island
Gettieri probleem	Gettier problem
Tšakrasamvara	Cakrasaṃvara Tantra
Tšakravaartin	Chakravartin
Rothesay hertsog	Duke of Rothesay
Rollo May	Rollo May
Alleni reegel	Allen's rule
Primaarenergia	Primary energy
Pronksiaja kollaps	Late Bronze Age collapse
Istarid	Wizard (Middle-earth)
Jason Bourne	Jason Bourne
Khalīfah bin Zāyid Āl Nahayān	Khalifa bin Zayed Al Nahyan
Yading	Yading
Lõunapiirkond (Brasiilia)	South Region, Brazil
Viva Las Vegas	Viva Las Vegas
Nartsissistlik isiksushäire	Narcissistic personality disorder
TU2	TU2 diesel locomotive
Simeon II	Simeon Saxe-Coburg-Gotha
Cham	Cham
Tähnilise lindi mõistatus	The Adventure of the Speckled Band
Kõrbepall	Tumbleweed
Charles III (täpsustus)	Charles III
Latgalid	Latgalians
Aserbaidžaani NSV hümn	Anthem of the Azerbaijan Soviet Socialist Republic
Chambal	Chambal River
Daniel Handler	Daniel Handler
I Can	I Can (Blue song)
Südamekahin	Heart murmur
Kosmosesüstiku välispaak	Space Shuttle external tank
Onegini stroof	Onegin stanza
Sony Ericsson Xperia X1	Sony Ericsson Xperia X1
California Ülikool San Franciscos	University of California, San Francisco
Veevarustus	Water supply
Liivkann	Arenaria (plant)
Massachusettsi Ülikool	University of Massachusetts
Teatriajalugu	History of theatre
Santa Catalina saar (Colombia)	Santa Catalina Island, Colombia
Mäemassiiv	Massif
Nvidia Tegra	Tegra
Sulu saared	Sulu Archipelago
112 (hädaabinumber)	112 (emergency telephone number)
Bacteroidetes	Bacteroidetes
Palawan	Palawan (island)
KLM Cityhopper	KLM Cityhopper
Positsioneerimine	Positioning (marketing)
Hearts of Iron II	Hearts of Iron II
Karjala-Soome NSV lipp	Flag of the Karelo-Finnish Soviet Socialist Republic
MRAM	Magnetoresistive random-access memory
Polydoros (Teeba)	Polydorus (son of Cadmus)
Laktobatsill	Lactobacillus
Kingdom of Loathing	Kingdom of Loathing
Alexia	Princess Alexia of the Netherlands
Lõbus teadus	The Gay Science
Café au lait	Café con leche
Mai 2004	May 2004
Loviisa tuumaelektrijaam	Loviisa Nuclear Power Plant
Tehnosiire	Technology transfer
Changge	Changge
2007. aasta suveuniversiaad	2007 Summer Universiade
Süsinikkondriidid	Carbonaceous chondrite
István Majoros	István Majoros
Pont d'Arc	Pont d'Arc
Sthenelos	Sthenelus (son of Andromeda and Perseus)
Torino Aeritalia lennujaam	Turin-Aeritalia Airport
La Salvetat-sur-Agout	La Salvetat-sur-Agout
Española	Española Island
San Migueli vulkaan	San Miguel (volcano)
Foorum	Forum (Roman)
Lissaboni öö	The Night in Lisbon
Kurja probleem	Problem of evil
Charálampos Papadiás	Haralabos Papadias
Kolmas sektor	Voluntary sector
Tiaara	Papal tiara
Michelle Vieth	Michelle Vieth
Oslo toomkirik	Oslo Cathedral
Harimkotan	Kharimkotan
Karismaatiline võim	Charismatic authority
Charlemagne: By the Sword and the Cross	Charlemagne: By the Sword and the Cross
Putuktolmlemine	Entomophily
Kolpino saar	Kolpina Island
Usbeki NSV lipp	Flag of the Uzbek Soviet Socialist Republic
Charles-Augustin Sainte-Beuve	Charles Augustin Sainte-Beuve
Oslo-Filharmonien	Oslo Philharmonic
Joonia Saarte Ühendriik	United States of the Ionian Islands
Hääleliik	Voice type
Ileía piirkonnaüksus	Elis (regional unit)
Prussian Blue	Prussian Blue
Tura (Ungari)	Tura, Hungary
Uus-Lõuna-Walesi lipp	Flag of New South Wales
Pinta	Pinta Island
Hillingdon	Hillingdon
Ubavoj nam Crnoj Gori	Ubavoj nam Crnoj Gori
Avahi (perekond)	Woolly lemur
Charles Frazier	Charles Frazier
Nordkinni poolsaar	Nordkinnhalvøya
Serbia ja Montenegro vapp	Coat of arms of Serbia and Montenegro
Taronga loomaaed	Taronga Zoo
Charlesi saar	Charles Island (Nunavut)
Charles Anthony Johnson Brooke	Charles Brooke, Rajah of Sarawak
Genova laht	Gulf of Genoa
Võõrliik	Introduced species
Vastupanuliikumine okupeeritud Eestis 1941–1944	Estonian anti-German resistance movement 1941–44
Tarmo Oja	Tarmo Oja
Vaimulik muusika	Religious music
ÜRO Humanitaarasjade Koordinatsioonibüroo	United Nations Office for the Coordination of Humanitarian Affairs
X.509	X.509
Ordoviitsiumi lõpu väljasuremine	Ordovician–Silurian extinction events
Kápolnásnyék	Kápolnásnyék
Vasakpoolne kommunism	Left communism
Kujuke	Figurine
Charles Vyner Brooke	Charles Vyner Brooke
Selhurst Park	Selhurst Park
Ekarma	Ekarma
Brian George	Brian George
Casarea	Round Island boa
Integreeritud paisuga suletav türistor	Integrated gate-commutated thyristor
Mürkpeoleo	Pitohui
Fotokunst	Fine-art photography
Avatud ühiskond ja selle vaenlased	The Open Society and Its Enemies
Ameerika Ühendriikide agentuurid	List of federal agencies in the United States
Charlottenlundi loss	Charlottenlund Palace
Harmonices mundi	Harmonices Mundi
Jēkabs Peterss	Yakov Peters
Volvocales	Volvocales
Onagawa tuumaelektrijaam	Onagawa Nuclear Power Plant
Veneetsia harta	Venice Charter
Briti Arhitektide Kuninglik Instituut	Royal Institute of British Architects
Õunapirukas	Apple pie
Delaware'i ülikool	University of Delaware
Helirõhk	Sound pressure
Mary tuba	Knowledge argument
Jakšur-Bodja rajoon	Yakshur-Bodyinsky District
Rahvausund	Folk religion
Martini	Martini (vermouth)
Meistriliiga 1995/96	1995–96 Meistriliiga
Ott Tänak	Ott Tänak
Meistriliiga 1996/97	1996–97 Meistriliiga
Cheek	Cheek (rapper)
Rahvusvaheline Ühistute Liit	International Co-operative Alliance
Kelaatravi	Chelation therapy
New Yorgi Teaduste Akadeemia	New York Academy of Sciences
Eesti köök	Estonian cuisine
Shōji	Shōji
Puhkpillikvintett	Wind quintet
Fusuma	Fusuma
Trikāya	Trikaya
Omikuji	O-mikuji
Ventimiglia (suguvõsa)	House of Ventimiglia
Kingaliist	Last
Ookeanibassein	Oceanic basin
Prosecco	Prosecco
Lennukite loend	List of aircraft
Kārlis Skalbe	Kārlis Skalbe
Järjestus	Order theory
Sisu Pasi	Patria Pasi
Abe Masahiro	Abe Masahiro
Süvameri	Deep sea
Cher (täpsustus)	Cher (disambiguation)
Himeka	Himeka
Peter Hessler	Peter Hessler
Georgi rist	Cross of St. George
Sõjavangilaager	Prisoner-of-war camp
Rahad	Rahad River
Raekoja plats (Tallinn)	Raekoja plats, Tallinn
Premier League'i hooaegade loend	List of Premier League seasons
O-shima	Izu Ōshima
Chesil Beach	Chesil Beach
Momoiro Clover Z	Momoiro Clover Z
Digitaalne pilditöötlus	Digital image processing
Chesterfieldi saared	Chesterfield Islands
Armukolmnurk	Love triangle
Cheviot	Cheviot, New Zealand
Maakonna õigustega linn	County-level city
Rahvuslind	List of national birds
Kodanikunimi	Personal name
Haisupuulised	Sterculiaceae
Džavahhethi	Javakheti
HSPA+	Evolved HSPA
Njandžad	Chewa people
Meduuspuu	Medusagyne
Komma	Comma (music)
Õlisalvei	Salvia hispanica
DVD Forum	DVD Forum
Nägemisristmik	Optic chiasm
Keskeuroopa majaämblik	Tegenaria atrica
Aurutank	Steam tank
Árva komitaat	Árva County
Chicago (täpsustus)	Chicago (disambiguation)
T-19	T-19
Veesoon	Water vein
Sant'Erasmo	Sant'Erasmo
Chichagofi saar	Chichagof Island
Castelnau-de-Guers	Castelnau-de-Guers
Ruumiõhu sündroom	Sick building syndrome
Taixuanjing	Taixuanjing
Lõunapassaathoovus	South Equatorial Current
2007. aasta taliuniversiaad	2007 Winter Universiade
Nikroom	Nichrome
Karaat (puhtus)	Carat (purity)
Paine	Bending
Helikoid	Helicoid
Picea chihuahuana	Picea chihuahuana
Cazouls-lès-Béziers	Cazouls-lès-Béziers
Mageveekalad	Freshwater fish
Doktor Martin	Doc Martin
Tšiili kuisma	Eucryphia cordifolia
Orashein	Elymus (genus)
Mitmekanaliline mälu arhitektuur	Multi-channel memory architecture
Eesti tähestik	Estonian orthography
Papandayan	Mount Papandayan
Olenjoki rahvusuluss	Olenyoksky District
Ust-Aldanski uluss	Ust-Aldansky District
Miškino rajoon	Mishkinsky District, Republic of Bashkortostan
Rootsi-Novgorodi sõjad	Swedish–Novgorodian Wars
Kvantsurematus	Quantum suicide and immortality
Hiina Sotsiaalteaduste Akadeemia	Chinese Academy of Social Sciences
Mark B	Medium Mark B
Väikeselehine jalakas	Ulmus parvifolia
Renmini Ülikool	Renmin University of China
Eesti haldusüksuste lippude loend	Flags of Estonian counties
Demilitariseeritud tsoon (informaatika)	DMZ (computing)
Vampiiride tants	Dance of the Vampires
Tasmaania lipp	Flag of Tasmania
Rafaḩi kubernerkond	Rafah Governorate
Chinsali	Chinsali
Kiropraktika	Chiropractic
Südamekoda	Atrium (heart)
Nunavik	Nunavik
Bunge mänd	Pinus bungeana
Stolbovoi saar	Stolbovoy Island
Njuja	Nyuya River
Utšur	Uchur River
Zhuangzi (raamat)	Zhuangzi (book)
Agitatsioon	Agitator
Ubinas	Ubinas
Hallvesi	Greywater
Chloe	Chloe (film)
Vee kloorimine	Water chlorination
Detsember 2003	December 2003
Egiptuse relvajõud	Egyptian Armed Forces
Klahvpillimängija	Keyboardist
Võõrkakar	Galinsoga
Carlos Alazraqui	Carlos Alazraqui
Impressum	Impressum
Elektromagnetvälja tensor	Electromagnetic tensor
Evolutsionism	Evolutionism
Ariane (Hollandi printsess)	Princess Ariane of the Netherlands
Kooliraamatukogu	School library
Svisłač	Svislach
Herilane	Vespinae
Prints Albert (peeniseehe)	Prince Albert (genital piercing)
Hüpertsütokineemia	Cytokine storm
Reaktsioonikoordinaat	Reaction coordinate
Riia rahu	Peace of Riga
Kõldkest	Chorion
Horoloogia	Chorology
Kooriruum	Chancel
Protoonne lahusti	Protic solvent
Koor	Chorus
Matronüüm	Matronymic
Hreštšatõk	Khreshchatyk
Chris Hadfield	Chris Hadfield
Keermesliide	Bolted joint
Kiiruspiirang	Speed limit
Jaanuar 2003	January 2003
Frankensteini poeg	Son of Frankenstein
Fernand Meyssonnier	Fernand Meyssonnier
Montiferru	Montiferru
Seitsme Saare Vabariik	Septinsular Republic
Mikrokanooniline ansambel	Microcanonical ensemble
Alternatiivkütus	Alternative fuel
Tonomeetria	Ocular tonometry
Store Skagastølstind	Store Skagastølstind
Rocky (filmisari)	Rocky (film series)
Ādigranth	Adi Granth
Negev (kuulipilduja)	IMI Negev
Meistriliiga 2011	2011 Meistriliiga
Christer Pettersson	Christer Pettersson
Loomus	Nature (philosophy)
Suhteline kõrgustähistus	Tonic sol-fa
Põhjala Maja Fääri saartel	Nordic House in the Faroe Islands
Indiana Ülikool (Bloomington)	Indiana University Bloomington
Tuulehauglased	Needlefish
Käsk (informaatika)	Command (computing)
Karussõstar	Jostaberry
Džiig	Jig
Moma rahvusuluss	Momsky District
Tulemaa provints	Tierra del Fuego Province
Temperatsioon	Musical temperament
Kastoriá piirkonnaüksus	Kastoria (regional unit)
Valgelaup-paradiisilind	Western parotia
Ajupoolkerade asümmeetria	Lateralization of brain function
Liputamine	Indecent exposure in the United States
Riigikool	State school
Armastuse aeg	Cuando Me Enamoro (telenovela)
Ghirla järv	Lago di Ghirla
Suured häbememokad	Labia majora
Rūdolfs Blaumanis	Rūdolfs Blaumanis
Rauni Mollberg	Rauni Mollberg
Tõri	Ochrea
Biff Byford	Biff Byford
Punamullad	Oxisol
Semovente da 75/18	Semovente 75/18
Tanu-paradiisilind	Queen Carola's parotia
Konfabulatsioon	Confabulation
Love is Dead	Love Is Dead (Kerli album)
Madisepäeva lahing	Battle of St. Matthew's Day
Starokadomski saar	Starokadomsky Island
Rauabakterid	Iron bacteria
Pikklaine	Longwave
Ruffian	Ruffian (horse)
Jaume Duch	Jaume Duch Guillot
Kiirgliblikas	Apatura
Ida Aalberg	Ida Aalberg
Christmas in My Heart	Christmas in My Heart (Sarah Connor album)
Christoffer Valkendorf	Christoffer Valkendorff
Mauri Kunnas	Mauri Kunnas
Sarno jõgi	Sarno (river)
Seltskonnatants	Ballroom dance
Soome tähestik	Finnish orthography
Cesare Segre	Cesare Segre
Kõlapulk	Sound post
Tasseomantia	Tasseography
Taksidermia (film)	Taxidermia
Düslaalia	Dyslalia
Kristus peatus Ebolis (film)	Christ Stopped at Eboli (film)
Kristus peatus Ebolis	Christ Stopped at Eboli
Sami Wolking	Magnum (rock musician)
Esiliiga	Esiliiga
Kromaatiline aberratsioon	Chromatic aberration
Lumelind	McKay's bunting
Mark C Hornet	Medium Mark C
2001. aasta Kuldgloobuse auhinnad	58th Golden Globe Awards
LK II	LK II
Veoh	Veoh
Meenäitur	Indicator (genus)
Aeglane valss	Waltz (International Standard)
Silvia	Saint Silvia
Kondratjevi lained	Kondratiev wave
Kronofiilia	Chronophilia
Kronotoop	Chronotope
Hruštšovka	Khrushchyovka
Rómulo Gallegose auhind	Rómulo Gallegos Prize
50S	50S
Viirpea-pütt (perekond)	Poliocephalus (grebe)
Lakewood	Lakewood Township, New Jersey
Kagupiirkond	Southeast Region, Brazil
Detonaator	Detonator
Stauntonmalendid	Staunton chess set
Ancipa järv	Lago dell'Ancipa
Barliman Butterbur	Barliman Butterbur
Riia Vagunitehas	Rīgas Vagonbūves Rūpnīca
Hulo	Khulo
Ganna järv	Lago di Ganna
Chupiquiña	Chupikiña
Révfülöp	Révfülöp
Krâvanhi mäed	Cardamom Mountains
Sõssola rajoon	Sysolsky District
Ust-Tsilma rajoon	Ust-Tsilemsky District
Knjažpogosti rajoon	Knyazhpogostsky District
Priluzski rajoon	Priluzsky District
Koigorodoki rajoon	Koygorodsky District
Kortkerossi rajoon	Kortkerossky District
See on 40	This Is 40
Antitaurus	Anti-Taurus Mountains
NATO osalus Bosnia sõjas	NATO intervention in Bosnia and Herzegovina
Folkungid	Folkung
Iđoš	Iđoš
David Armstrong-Jones	David Armstrong-Jones, Viscount Linley
Meistriliiga 1992/93	1992–93 Meistriliiga
Välismaa fotograafide loend	List of photographers
Meistriliiga 1998	1998 Meistriliiga
Lääne-Austraalia lipp	Flag of Western Australia
Žygimantas Kęstutaitis	Sigismund Kęstutaitis
Marganus II	Marganus II
Gorbonianuse poeg	Son of Gorbonianus
Catellus	Catellus
Idvallo	Idvallo
Gerennus	Gerennus
Malagassi muusika	Music of Madagascar
Meistriliiga 2000	2000 Meistriliiga
Tüüp 75 MLRS	Type 75 130 mm Multiple Rocket Launcher
Meistriliiga 2006	2006 Meistriliiga
Meistriliiga 2005	2005 Meistriliiga
Fakultatiivanaeroob	Facultative anaerobic organism
Õrnpäeviklased	Leptophlebiidae
Meistriliiga 2001	2001 Meistriliiga
Meistriliiga 1999	1999 Meistriliiga
Eeslinnastumine	Suburbanization
2010. aasta Filipiinide presidendivalimised	Philippine presidential election, 2010
Cimitero degli Inglesi	English Cemetery, Florence
Ubrique	Ubrique
Fel d 1	Fel d 1
Tordoki-Jani mägi	Tordoki Yani
SNi reaktsioon	SNi
Ukko usk	Finnish neopaganism
Kizneri rajoon	Kiznersky District
Sjumsi rajoon	Syumsinsky District
Melanie South	Melanie South
It Snows In Hell	It Snows in Hell
L'Amour de loin	L'Amour de loin
Cirque de Gavarnie	Cirque de Gavarnie
Cis-duur	C-sharp major
Ajalooline institutsionalism	Path dependence
Mihhail Pogodin	Mikhail Pogodin
Vicki Viidikas	Vicki Viidikas
Aníbal Acevedo	Aníbal Santiago Acevedo
Kõrbesäälik	Lucy's warbler
Uva rajoon	Uvinsky District
Karakulino rajoon	Karakulinsky District
Šarkani rajoon	Sharkansky District
Prehistorik 2	Prehistorik 2
Július Torma	Július Torma
Jari rajoon	Yarsky District
Ust-Maja uluss	Ust-Maysky District
Možga rajoon	Mozhginsky District
Verhnekolõmski uluss	Verkhnekolymsky District
Krasnogorskoje rajoon	Krasnogorsky District, Udmurt Republic
Ultši rajoon	Ulchsky District
Tompo uluss	Tomponsky District
Jukamenskoje rajoon	Yukamensky District
Namtsõ uluss	Namsky District
Londoni Linnaülikool	City University London
Seltõ rajoon	Seltinsky District
Rentsel	Street gutter
Rodeesia kaelkirjak	Rhodesian giraffe
Verhojanski uluss	Verkhoyansky District
Srednekolõmski uluss	Srednekolymsky District
Kesknurk	Central angle
Nézignan-l'Évêque	Nézignan-l'Évêque
Harilik saagrai	Common sawfish
Comabbio järv	Lago di Comabbio
Clairaut' võrrand	Clairaut's equation
Megino-Kangalassõ uluss	Megino-Kangalassky District
Mirnõi uluss	Mirninsky District
Mari-Tureki rajoon	Mari-Tureksky District
Klaköör	Claque
Puntlandi lipp	Flag of Puntland
Platsdarm	Lodgement
Sonetipärg	Crown of sonnets
Czarna Hańcza	Czarna Hańcza
Clarki Ülikool	Clark University
XForms	XForms (toolkit)
Neodarvinism	Neo-Darwinism
Metateooria	Metatheory
Elektrivõrk	Electrical grid
Väike-Taimõr	Maly Taymyr Island
Tartu JK Merkuur	FC Merkuur Tartu
Roheline Partei (Põhja-Iirimaa)	Green Party in Northern Ireland
Kiievi suurvürst	Grand Prince of Kiev
Insuberid	Insubres
Angelina	Angelina (given name)
Seisumass	Invariant mass
Kaudtuli	Indirect fire
Mitteparameetriline statistika	Nonparametric statistics
Valulävi	Threshold of pain
Itaalia kuningriik	Kingdom of Italy (disambiguation)
Ülegenoomne assotsiatsiooniuuring	Genome-wide association study
Clavinet	Clavinet
Jahvist	Jahwist
Puhtam tootmine	Cleaner production
Kliiring	Clearing (finance)
Põhja-Sosva	Severnaya Sosva River
Avahi cleesei	Bemaraha woolly lemur
Cleon Skousen	Cleon Skousen
Meremäe	Meremäe
Elton	Lake Elton
Climateprediction.net	Climateprediction.net
Jonne Aaron	Jonne Aaron
Como toomkirik	Como Cathedral
Orba jõgi	Orba (river)
Juha Hakola	Juha Hakola
Juliana (täpsustus)	Juliana
Dracula (hispaaniakeelne film 1931)	Dracula (1931 Spanish-language film)
Uhhaa	Ukha
Morris CS9	Morris CS9
Argo Aadli	Argo Aadli
Terje Aa	Terje Aa
CD (klassifikatsioon)	Cluster of differentiation
Tubala	Tubala
Suuresadama	Suuresadama
Hausma	Hausma
Kamianieci rajoon	Kamenets District
Venta	Venta
Partsi	Partsi
Kanada dollar	Canadian dollar
Kǎrdžali piirkond	Kardzhali Province
Cockfostersi metroojaam	Cockfosters tube station
Al-Qaşīm	Al-Qassim Region
Codename: Panzers	Codename: Panzers
Rover Light Armoured Car	Rover Light Armoured Car
Kelaino	Celaeno
Nanolitograafia	Nanolithography
!!!Fuck You!!!	Fuck You (EP)
Antónis Vardís	Antonis Vardis
Ken Thompson	Ken Thompson
Peloponnesose vaskuss	Peloponnese slow worm
Aed	Garden
Käkisalmi lään	County of Kexholm
Kiievi-Vene	Kievan Rus'
Ordenikett	Collar (Order of Knighthood)
Katanga lavamaa	Katanga Plateau
Aa-hmao keel	A-Hmao language
Euroopa Kolledž	College of Europe
Kiirikmadu	Xenopeltis unicolor
Ljubljana Jože Pučniki lennujaam	Ljubljana Jože Pučnik Airport
Desio lahing	Battle of Desio
Nokia 6125	Nokia 6125
Alserio järv	Lago di Alserio
Lissaboni peapiiskoppide loend	Patriarchate of Lisbon
Ontario vapp	Coat of arms of Ontario
Umm Kulthum	Umm Kulthum
Aedsalvei	Salvia officinalis
Kermit	Kermit (protocol)
Alfaviirus	Alphavirus
Värvid (film)	Colors (film)
Kapšagaj veehoidla	Kapchagay Reservoir
Columbia jääväli	Columbia Icefield
Kitsarööpmeline raudtee	Narrow-gauge railway
Moržovets	Morzhovets Island
Anna Maria Muccioli	Anna Maria Muccioli
Kjustendili piirkond	Kyustendil Province
Orthoretrovirinae	Orthoretrovirinae
ELF	ELF
Institution of Structural Engineers	Institution of Structural Engineers
Another Ticket	Another Ticket
Tortolì Arbataxi lennujaam	Tortolì Airport
Halogeenlamp	Halogen lamp
1954. aasta põhja suusaalade maailmameistrivõistlused	FIS Nordic World Ski Championships 1954
Vana-Rooma armee	Roman army
Bullet	Bullet (software)
Sasu Salin	Sasu Salin
