ʻApelika	Africa
Muelas del Pan	Muelas del Pan
Fuentes de Ropel	Fuentes de Ropel
Videmala	Videmala
Vezdemarbán	Vezdemarbán
Maire de Castroponce	Maire de Castroponce
Cerecinos del Carrizal	Cerecinos del Carrizal
Villanueva de Campeán	Villanueva de Campeán
Brime de Urz	Brime de Urz
Cabañas de Sayago	Cabañas de Sayago
Pozoantiguo	Pozoantiguo
Fresno de la Ribera	Fresno de la Ribera
Bustillo del Oro	Bustillo del Oro
El Piñero	El Piñero
Melgar de Tera	Melgar de Tera
Pinilla de Toro	Pinilla de Toro
Sanzoles	Sanzoles
Madridanos	Madridanos
Monfarracinos	Monfarracinos
Fresno de la Polvorosa	Fresno de la Polvorosa
Entrala	Entrala
Hāna	Hana, Hawaii
Jambrina	Jambrina
Villaseco del Pan	Villaseco del Pan
Castronuevo	Castronuevo
Fuente Encalada	Fuente Encalada
Torres del Carrizal	Torres del Carrizal
Villardondiego	Villardondiego
Calzadilla de Tera	Calzadilla de Tera
Cubo de Benavente	Cubo de Benavente
Molezuelas de la Carballeda	Molezuelas de la Carballeda
Santibáñez de Vidriales	Santibáñez de Vidriales
Fonfría (Zamora)	Fonfría, Zamora
San Cristóbal de Entreviñas	San Cristóbal de Entreviñas
Villar de Fallaves	Villar de Fallaves
Santa María de Valverde	Santa María de Valverde
Riofrío de Aliste	Riofrío de Aliste
Kekaha	Kekaha, Hawaii
Revilla del Campo (Burgos)	Revilla del Campo
Humada (Burgos)	Humada
Pampliega (Burgos)	Pampliega
Padilla de Abajo (Burgos)	Padilla de Abajo
Valle de las Navas (Burgos)	Valle de las Navas
Valle de Santibáñez (Burgos)	Valle de Santibáñez
Santa María Rivarredonda (Burgos)	Santa María Ribarredonda
Valle de Oca (Burgos)	Valle de Oca
Villaquirán de los Infantes (Burgos)	Villaquirán de los Infantes
Valle de Valdelucio (Burgos)	Valle de Valdelucio
Rebolledo de la Torre (Burgos)	Rebolledo de la Torre
Villoruebo (Burgos)	Villoruebo
Cubo de Bureba	Cubo de Bureba
Cubillos	Cubillos
Viñas	Viñas
Frías (Burgos)	Frías, Province of Burgos
Villasur de Herreros (Burgos)	Villasur de Herreros
Jonah Kūhiō Kalanianaʻole	Jonah Kūhiō Kalanianaʻole
Villasandino (Burgos)	Villasandino
Santa Cruz del Valle Urbión (Burgos)	Santa Cruz del Valle Urbión
Revilla Vallejera (Burgos)	Revilla Vallejera
Rábanos (Burgos)	Rábanos
Quintanilla San García (Burgos)	Quintanilla San García
Torregalindo (Burgos)	Torregalindo
Pineda de la Sierra (Burgos)	Pineda de la Sierra
Pedrosa de Río Úrbel (Burgos)	Pedrosa de Río Úrbel
Quintanavides (Burgos)	Quintanavides
Pedrosa del Páramo (Burgos)	Pedrosa del Páramo
Salas de Bureba (Burgos)	Salas de Bureba
Reinoso (Burgos)	Reinoso
Fresno de Río Tirón (Burgos)	Fresno de Río Tirón
Hontoria de la Cantera (Burgos)	Hontoria de la Cantera
Las Hormazas (Burgos)	Las Hormazas
Las Quintanillas (Burgos)	Las Quintanillas
Frandovínez (Burgos)	Frandovínez
Horcajo de Montemayor	Horcajo de Montemayor
Luakini ma Lā‘ie, Hawai‘i	Laie Hawaii Temple
Rosinos de la Requejada	Rosinos de la Requejada
Villalcampo	Villalcampo
Quintanilla del Olmo	Quintanilla del Olmo
Trefacio	Trefacio
Palacios del Pan	Palacios del Pan
Venialbo	Venialbo
Bretó	Bretó
Santa Clara de Avedillo	Santa Clara de Avedillo
Otero de Bodas	Otero de Bodas
Ferreras de Arriba	Ferreras de Arriba
Peleagonzalo	Peleagonzalo
Pías	Pías
Tábara	Tábara
Fuentespreadas	Fuentespreadas
Villanueva del Campo	Villanueva del Campo
Robleda-Cervantes	Robleda-Cervantes
Valcabado	Valcabado
Friera de Valverde	Friera de Valverde
Olmillos de Castro	Olmillos de Castro
Riaño	Riaño, León
Villadecanes	Toral de los Vados
Matilla de Arzón	Matilla de Arzón
La Torre del Valle	La Torre del Valle
Aldehuela de Yeltes	Aldehuela de Yeltes
Mombuey	Mombuey
Fresneña (Burgos)	Fresneña
Monasterio de Rodilla (Burgos)	Monasterio de Rodilla
Cuelgamures	Cuelgamures
Coomonte	Coomonte
Huerta de Arriba	Huerta de Arriba
La Hiniesta	La Hiniesta
Fuentesaúco	Fuentesaúco
Arquillinos	Arquillinos
Alfaraz de Sayago	Alfaraz de Sayago
Almeida de Sayago	Almeida de Sayago
Ayoó de Vidriales	Ayoó de Vidriales
Molacillos	Molacillos
Huérmeces (Burgos)	Huérmeces
Brime de Sog	Brime de Sog
Anaya de Alba	Anaya de Alba
Bretocino	Bretocino
Cubillo del Campo	Cubillo del Campo
Montamarta	Montamarta
Micereces de Tera	Micereces de Tera
Moreruela de los Infanzones	Moreruela de los Infanzones
Casaseca de las Chanas	Casaseca de las Chanas
Luelmo	Luelmo
Santo Domingo de Silos (Burgos)	Santo Domingo de Silos
San Vicente de la Cabeza	San Vicente de la Cabeza
San Miguel de la Ribera	San Miguel de la Ribera
Barcial del Barco	Barcial del Barco
Santa María de la Vega	Santa María de la Vega
Torregamones	Torregamones
San Pedro de la Nave-Almendra	San Pedro de la Nave-Almendra
San Pedro de Ceque	San Pedro de Ceque
Santibáñez de Tera	Santibáñez de Tera
Aspariegos	Aspariegos
Porto (Zamora)	Porto de Sanabria
San Vitero	San Vitero
Quintanilla de Urz	Quintanilla de Urz
Salce	Salce
Quiruelas de Vidriales	Quiruelas de Vidriales
Pueblica de Valverde	Pueblica de Valverde
San Agustín del Pozo	San Agustín del Pozo
Villabuena del Puente	Villabuena del Puente
San Cebrián de Castro	San Cebrián de Castro
Tabera de Abajo	Tabera de Abajo
Samir de los Caños	Samir de los Caños
Tenebrón	Tenebrón
Villamayor de Campos	Villamayor de Campos
Vadillo de la Guareña	Vadillo de la Guareña
Tapioles	Tapioles
Santa Colomba de las Monjas	Santa Colomba de las Monjas
Vega de Tera	Vega de Tera
Valdescorriel	Valdescorriel
Santa Croya de Tera	Santa Croya de Tera
Pobladura del Valle	Pobladura del Valle
Villadepera	Villadepera
Villarrín de Campos	Villarrín de Campos
Zamarra	Zamarra
San Esteban del Molar	San Esteban del Molar
Revellinos	Revellinos
Villárdiga	Villárdiga
Vallesa de la Guareña	Vallesa de la Guareña
San Miguel del Valle	San Miguel del Valle
Robliza de Cojos	Robliza de Cojos
Rucandio (Burgos)	Rucandio
Fresnedoso	Fresnedoso
Nava de Béjar	Nava de Béjar
Narros de Matalayegua	Narros de Matalayegua
Fresno Alhándiga	Fresno Alhándiga
Florida de Liébana	Florida de Liébana
Navales	Navales
Navacarros	Navacarros
La Bastida	La Bastida
La Fregeneda	La Fregeneda
Muga de Sayago	Muga de Sayago
Cobreros	Cobreros
Villar del Buey	Villar del Buey
El Pego	El Pego
Moraleja de Sayago	Moraleja de Sayago
Villageriz	Villageriz
Perilla de Castro	Perilla de Castro
Mahide	Mahide
Moralina	Moralina
Pajares de la Lampreana	Pajares de la Lampreana
Cerecinos de Campos	Cerecinos de Campos
Morales de Valverde	Morales de Valverde
Fresno de Sayago	Fresno de Sayago
Villalba de la Lampreana	Villalba de la Lampreana
Villamor de los Escuderos	Villamor de los Escuderos
Vega de Villalobos	Vega de Villalobos
Moral de Sayago	Moral de Sayago
Rionegro del Puente	Rionegro del Puente
Pereruela	Pereruela
Muelas de los Caballeros	Muelas de los Caballeros
Morales de Rey	Morales de Rey
Fuentelapeña	Fuentelapeña
Piedrahita de Castro	Piedrahita de Castro
Roelos	Roelos de Sayago
Espadañedo	Espadañedo
Villabrázaro	Villabrázaro
Villardeciervos	Villardeciervos
Uña de Quintana	Uña de Quintana
Prado (Zamora)	Prado, Spain
Cotanes del Monte	Cotanes del Monte
Navianos de Valverde	Navianos de Valverde
Palacios de Sanabria	Palacios de Sanabria
Cernadilla	Cernadilla
Santa Cecilia (Burgos)	Santa Cecilia
Larrodrigo	Larrodrigo
La Bóveda de Toro	La Bóveda de Toro
Manganeses de la Lampreana	Manganeses de la Lampreana
Endrinal (Salamanca)	Endrinal
Espeja	Espeja
Rágama	Rágama
El Cerro (Salamanca)	El Cerro
El Cubo del Vino	El Cubo de Tierra del Vino
Truchas	Truchas, León
Villanueva de Azoague	Villanueva de Azoague
La Alameda de Gardón	La Alameda de Gardón
La Alamedilla	La Alamedilla
Galindo y Perahuy	Galindo y Perahuy
La Cabeza de Béjar	La Cabeza de Béjar
Galinduste	Galinduste
Arcos (Burgos)	Arcos de la Llana
Justel	Justel, Zamora
Ledrada	Ledrada
La Hoya (Salamanca)	La Hoya, Salamanca
Guarrate	Guarrate
Gallegos de Argañán	Gallegos de Argañán
La Alberguería de Argañán	La Alberguería de Argañán
Horcajo Medianero	Horcajo Medianero
Arcediano	Arcediano
Candelario	Candelario
Guadramiro	Guadramiro
Boada	Boada, Salamanca
Manzanal de Arriba	Manzanal de Arriba
Gallegos de Solmirón	Gallegos de Solmirón
Juzbado	Juzbado
Golpejas	Golpejas
La Tala	La Tala
Gamones	Gamones
Granja de Moreruela	Granja de Moreruela
Asturianos	Asturianos
Argujillo	Argujillo
Castroverde de Campos	Castroverde de Campos
Castrillo de la Guareña	Castrillo de la Guareña
Carbellino	Carbellino
Los Altos (Burgos)	Los Altos, Province of Burgos
Lehua	Lehua
Hanamāʻulu	Hanamaulu, Hawaii
Pīnanaka	Areca nut
Kapalua	Kapalua, Hawaii
Hauʻula	Hauʻula, Hawaii
Waimanalo	Waimānalo, Hawaii
ʻŌmaʻo	Omao, Hawaii
Kīlauea (Kauaʻi)	Kilauea, Hawaii
Māʻalaea	Maalaea, Hawaii
Retortillo (Salamanca)	Retortillo
El Arco	El Arco, Salamanca
Villalobos	Villalobos (Spain)
Villaveza de Valverde	Villaveza de Valverde
Quintanilla del Monte	Quintanilla del Monte
Rábano de Aliste	Rábano de Aliste
Ferreruela	Ferreruela
Villanueva de las Peras	Villanueva de las Peras
San Justo (Zamora)	San Justo, Zamora
Villaferrueña	Villaferrueña
Fariza	Fariza
Villaescusa (Zamora)	Villaescusa, Zamora
Malva (Zamora)	Malva, Zamora
Cantagallo	Cantagallo, Spain
Kaumakani	Kaumakani, Hawaii
Pukalani	Pukalani, Hawaii
Puhi	Puhi, Hawaii
Páginas da Vida	Páginas da Vida
Māhele:Disambig	Category:Disambiguation pages
Valle de Valdelaguna (Burgos)	Valle de Valdelaguna
San Juan del Monte (Burgos)	San Juan del Monte, Province of Burgos
Haza (Burgos)	Haza, Province of Burgos
Beleña	Beleña
Cavia (Burgos)	Cavia, Province of Burgos
Lagunilla	Lagunilla
Kalaeloa	Kalaeloa, Hawaii
Gajates	Gajates
Rojas (Burgos)	Rojas, Province of Burgos
Fuentes de Béjar	Fuentes de Béjar
Santa Inés (Burgos)	Santa Inés, Province of Burgos
Guijo de Ávila	Guijo de Ávila
Contreras	Contreras, Province of Burgos
Buenavista	Buenavista, Salamanca
Isar (Burgos)	Isar, Province of Burgos
Kualapuʻu	Kualapuu, Hawaii
Kaʻaʻawa	Kaʻaʻawa, Hawaii
Afega	Afega
Huerta (Salamanca)	Huerta, Salamanca
Albert Küchler	Albert Küchler
Wailuku	Wailuku, Hawaii
Waikapū	Waikapu, Hawaii
Wailua	Wailua, Hawaii
ʻĀhuimanu, Hawaiʻi	Ahuimanu, Hawaii
Heʻeia	Heʻeia, Hawaii
Māʻili	Māili, Hawaii
Alanui ʻo Kamehameha	Kamehameha Highway
Maraghar lukua	Maraga massacre
Hāliʻimaile	Haliimaile, Hawaii
Hua mele hapa hanelekūmāiwakāluakūmāwalu	Hundred twenty-eighth note
Hua mele hapa kanaonokūmāhā	Sixty-fourth note
Pāʻia	Paia, Hawaii
Bochotnica	Bochotnica
Sanna Nielsen	Sanna Nielsen
Makawao	Makawao, Hawaii
Hanapēpē	Hanapepe, Hawaii
Kōloa	Koloa, Hawaii
Kalihiwai	Kalihiwai, Hawaii
Mākaha	Mākaha, Hawaii
ʻEleʻele (Kauaʻi)	Eleele, Hawaii
Anahola	Anahola, Hawaii
Maunaloa	Maunaloa, Hawaii
Kahaluʻu	Kahaluu, Hawaii
Lāwaʻi	Lawai, Hawaii
Hanalei	Hanalei, Hawaii
Kalāheo	Kalaheo, Hawaii
Nakayama Miki	Nakayama Miki
Hōkūleʻa	Hokulea
Conrad Bain	Conrad Bain
Kāʻanapali	Kaanapali, Hawaii
Carrossel	Carrossel
Māhele:Nā ‘āinapuni‘ole	Category:Continents
Waimea (Kauaʻi)	Waimea, Kauai County, Hawaii
Corações Feridos	Corações Feridos
Dira Paes	Dira Paes
Gabriel Braga Nunes	Gabriel Braga Nunes
Zoboomafoo	Zoboomafoo
Anakuhi:Nā hōkū hele o ke kahua o nā hōkū	Template:Solar System table
Wimzie's House	Wimzie's House
Úrsula Murayama	Úrsula Murayama
Kula ʻo Punahou	Punahou School
Mānoa	Manoa
Kaʻiulani	Kaʻiulani
Lāʻie	Laie, Hawaii
Likelike	Likelike
Apai	Apai
Karacaoğlan	Karacaoğlan
Bernice Pauahi Bishop	Bernice Pauahi Bishop
Luakini ma Kona, Hawai‘i	Kona Hawaii Temple
Pauoa	Pauoa, Hawaii
Kaimukī	Kaimuki, Hawaii
Nainoa Thompson	Nainoa Thompson
Ua Mau ke Ea o ka ʻĀina i ka Pono	Ua Mau ke Ea o ka ʻĀina i ka Pono
Anakuhi:WikipediaLang	Template:Wikipedia languages
Wikipedia:Nā kahu	Wikipedia:Administrators
Wikipedia:Nā noi e ho‘oki‘eki‘e	Wikipedia:Requests for adminship
Wikipedia:Lopako	Wikipedia:Bots
‘Aikupika	Egypt
La mujer dorada	La mujer dorada
Anakuhi:Lopako	Template:Bot
Kanakā	Canada
Māhele:Hunakalia	Category:Hungary
Māhele:Helene	Category:Greece
Māhele:Solowakia	Category:Slovakia
Māhele:ʻEulopa	Category:Europe
A‘ufaga	A'ufaga
Māhele:Wikipedians by language	Category:Wikipedians by language
Wikipedia:‘Ōmuku	Wikipedia:Stub
Sung Jae-gi	Sung Jae-gi
Afiamalu	Afiamalu
Anakuhi:Softredirect	Template:Soft redirect
Anakuhi:Kāpae	Template:Db
Māhele:‘Ōlelo	Category:Languages
Māhele:Wikipikia	Category:Wikipedia
Wikipedia:Nā a‘o ‘ana laulā	Wikipedia:General disclaimer
Wikipedia:Manuale Kaila	Wikipedia:Manual of Style
Anakuhi:Navbox	Template:Navbox
Don Keefer	Don Keefer
Nina Andrycz	Nina Andrycz
Anakuhi:Tnavbar	Template:Navbar
Anakuhi:Okina	Template:Okina
Māhele:ʻApelika	Category:Africa
Anakuhi:Papela	Template:Babel
Anakuhi:Commons	Template:Commons
Anakuhi:ʻŌmuku	Template:Stub
Anakuhi:User de	Template:User de
George Nāʻope	George Naʻope
Anakuhi:User en	Template:User en
Anakuhi:User fr	Template:User fr
Māhele:ʻĀkia	Category:Asia
Māhele:21st century	Category:21st century
Māhele:Panalāʻau o Soria	Category:Province of Soria
Māhele:Castille a Leon	Category:Castile and León
Anakuhi:Mod	Template:Mod
Anakuhi:Aloha	Template:Welcome
Anakuhi:Wikipediasister	Template:Wikipedia's sister projects
Anakuhi:Wide image	Template:Wide image
Māhele:Palika	Category:Paris
Māhele:User en	Category:User en
Anakuhi:User ru	Template:User ru
Māhele:Nā hōkū hele o ke kahua o nā hōkū	Category:Planets of the Solar System
Anakuhi:User blank	Template:User blank
Anakuhi:Ho‘okele nā makahiki	Template:Year nav
Anakuhi:Pule	Template:Days of the week
Anakuhi:Huaʻōlelo puana like	Template:Disambiguation
Māhele:Aliʻi o Hawai‘i	Category:Hawaiian monarchs
Anakuhi:UsersSpeak	Template:UsersSpeak
Anakuhi:Nā ‘āinapuni‘ole	Template:Continents of the world
Jonathan Nāpela	Jonatana Napela
Māhele:User fr	Category:User fr
Māhele:Mea hoʻohana haw	Category:User haw
Kakaʻako	Kakaako
Kula ʻo Kamehameha	Kamehameha Schools
Haukapila ʻo Kapiʻolani	Kapiolani Medical Center for Women and Children
Kaulana Nā Pua	Kaulana Nā Pua
Māhele:Panalāʻau o Quảng Binh	Category:Quang Binh Province
Māhele:User de	Category:User de
Māhele:User de-N	Category:User de-N
Māhele:User en-N	Category:User en-N
Anakuhi:ʻŌnaehana helu	Template:Number systems
La Atalaya	La Atalaya, Cuelap
Māhele:Huli kanaka	Category:Social sciences
Māhele:Kahawai o Palani	Category:Rivers of France
Māhele:User ru	Category:User ru
Anakuhi:Sepania	Template:Autonomous communities of Spain
Kuʻu Ipo I Ka Heʻe Puʻe One	List of compositions and works by Likelike
Māhele:Kahaki‘i	Category:Painters
Māhele:Hawai‘i	Category:Hawaii
Māhele:Kanaka o Hawaiʻi	Category:People from Hawaii
Māhele:Panalā‘au o Granada	Category:Municipalities in the Province of Granada
Māhele:Kelewikiona	Category:Television
Māhele:Nolewai	Category:Norway
Māhele:Nā moana	Category:Oceans
Māhele:Kapikala	Category:Capitals
Puʻuhonua o Hōnaunau	Puʻuhonua o Hōnaunau National Historical Park
Māhele:Honolulu	Category:Honolulu, Hawaii
Samuel Kamakau	Samuel Kamakau
Māhele:Panalā‘au o Burgos	Category:Municipalities in the Province of Burgos
Māhele:Panalā‘au o Zamora	Category:Municipalities of the Province of Zamora
Trojany	Trojany, Masovian Voivodeship
Māhele:Panalā‘au o Salamanca	Category:Province of Salamanca
Māhele:Haku mele (ho‘okani)	Category:Composers
Anakuhi:Mea hoʻohana haw-0	Template:User haw-0
Māhele:Oʻahu	Category:Oahu
Māhele:ʻĀpana o Hawaiʻi	Category:Census-designated places in Hawaii
Chiquititas	Chiquititas (2013 telenovela)
Szymon Szurmiej	Szymon Szurmiej
Anakuhi:Nā kapikala o nā moku‘āina o ‘Amelika Hui	Template:US state capitals
Anakuhi:Puke o Molemona	Template:Books of the Book of Mormon
He Mele Lāhui Hawaiʻi	He Mele Lahui Hawaii
Module:Citation/CS1/Whitelist	Module:Citation/CS1/Whitelist
Module:Yesno	Module:Yesno
Module:Category handler	Module:Category handler
Yun Hyon-seok	Yun Hyon-seok
Module:Arguments	Module:Arguments
Papa nui:NāLoliHou	Special:RecentChanges
Module:Citation/CS1	Module:Citation/CS1
Module:Citation/CS1/Configuration	Module:Citation/CS1/Configuration
Colégio Brasil	Colégio Brasil
Module:Namespace detect	Module:Namespace detect
Module:HtmlBuilder	Module:HtmlBuilder
Module:Navbar	Module:Navbar
Module:Navbox	Module:Navbox
Module:Userbox	Module:Userbox
Māhele:Mele o Hawaiʻi	Category:Songs about Hawaii
