આફ્રિકા	Africa
ઉન્નાવ જિલ્લો	Unnao district
ઝાંસી જિલ્લો	Jhansi district
ઉધમપુર	Udhampur
હીરાકુડ બંધ	Hirakud Dam
હજારીબાગ જિલ્લો	Hazaribagh district
પિથોરગઢ જિલ્લો	Pithoragarh district
અંજાર	Anjar, India
સંત કબીર નગર જિલ્લો	Sant Kabir Nagar district
શ્રાવસ્તી જિલ્લો	Shravasti district
ચિખલી	Chikhli, Gujarat
સંગરુર જિલ્લો	Sangrur district
વલસાડ જિલ્લો	Valsad district
મોગા જિલ્લો	Moga district
કૌશમ્બી જિલ્લો	Kaushambi district
ગજપતિ જિલ્લો	Gajapati district
ઉધમપુર જિલ્લો	Udhampur district
ઐઝવાલ જિલ્લો	Aizawl district
લલિતપુર જિલ્લો	Lalitpur District, India
કોલાસિબ જિલ્લો	Kolasib district
લુન્ગલેઇ જિલ્લો	Lunglei district
મુક્તસર જિલ્લો	Sri Muktsar Sahib district
રાંચી જિલ્લો	Ranchi district
ઝાજ્જર જિલ્લો	Jhajjar district
લોહરદગ્ગા જિલ્લો	Lohardaga district
લાતૂર જિલ્લો	Latur district
રાજનાંદગાંવ	Rajnandgaon
પંચમઢી	Pachmarhi
મોહાલી	Ajitgarh
કુપવાડા	Kupwara
ઉત્તરકાશી	Uttarkashi
ખરગોન	Khargone
ચંબા	Chamba, Himachal Pradesh
દૌસા	Dausa
રાજૌરી	Rajauri
હાજીપુર	Hajipur
સાસારામ	Sasaram
સહરસા	Saharsa
પશ્ચિમી સિંહભૂમ જિલ્લો	West Singhbhum district
ભગવદ્ દર્શન	Back to Godhead
ગોરખપુર પ્રાંત	Gorakhpur division
આહવા	Ahwa
વ્યારા	Vyara
ચમ્ફાઇ જિલ્લો	Champhai district
રાષ્ટ્રીય ધોરીમાર્ગો (ભારત)	National Highway (India)
ઓણમ	Onam
દામોદર નદી	Damodar River
સ્તોત્ર	Stotra
શાંતનુ	Shantanu
સંજીવ કુમાર	Sanjeev Kumar
ભારતનાં વિશ્વ ધરોહર સ્થળો	List of World Heritage Sites in India
ઇન્દ્રપ્રસ્થ	Indraprastha
ઘટોત્કચ	Ghatotkacha
નકુળ	Nakula
ભરત	Bharata (Ramayana)
ચતરા જિલ્લો	Chatra district
સુભદ્રા	Subhadra
શ્રેણી:સંદિગ્ધ શીર્ષક વાળાં પાનાં	Category:Disambiguation pages
બહેડો (વૃક્ષ)	Terminalia bellirica
શ્રેણી:મનોવિજ્ઞાન	Category:Psychology
છિન્દવાડા જિલ્લો	Chhindwara district
વિચિત્રવિર્ય	Vichitravirya
કુંભકર્ણ	Kumbhakarna
સુગ્રીવ	Sugriva
એકલવ્ય	Ekalavya
ચાડિયો	Scarecrow
શકુની	Shakuni
ભારત છોડો આંદોલન	Quit India Movement
ચિત્રાંગદ	Chitrāngada
અંબાલિકા	Ambalika
દશરથ	Dasharatha
ફાલસા (વનસ્પતિ)	Grewia asiatica
રોહિણી	Rohini Devi
વિદુર	Vidura
ઇન્ડિયન બેંક	Indian Bank
યુનિક આઇડેન્ટિફિકેશન નંબર	Unique Identification Authority of India
ખાલસા	Khalsa
સારન વિભાગ (પ્રમંડલ)	Saran division
વાંકાનેર	Wankaner
કૃષિ યુનિવર્સિટી, સરદારકૃષિનગર દાંતીવાડા	Sardarkrushinagar Dantiwada Agricultural University
કોરબા	Korba, Chhattisgarh
જલાલપોર	Jalalpore
જંબુસર	Jambusar
ઓડિસી નૃત્ય	Odissi
ભાસ	Bhāsa
કોકિલાકાર	Chestnut-breasted malkoha
રાયગડ જિલ્લો	Raigad district
મહેસાણા જિલ્લો	Mehsana district
હમીરપુર જિલ્લો, ઉત્તર પ્રદેશ	Hamirpur district, Uttar Pradesh
ઉત્તર દિનાજપુર જિલ્લો	Uttar Dinajpur district
ભારતીય જ્ઞાનપીઠ	Bharatiya Jnanpith
બાલેશ્વર જિલ્લો	Balasore district
પર્યાવરણીય અવક્રમણ	Environmental degradation
દેવાસ જિલ્લો	Dewas district
દેવધર જિલ્લો	Deoghar district
સીદીસૈયદની જાળી	Sidi Saiyyed Mosque
શિવપુરી	Shivpuri
મોહાલી જિલ્લો	Ajitgarh district
ઇન્દ્રજીત	Indrajit
ગુરુ પૂર્ણિમા	Guru Purnima
ત્યાગરાજ	Tyagaraja
અશ્વત્થામા	Ashwatthama
અંબિકા	Ambika (Mahabharata)
સહદેવ	Sahadeva
દુશાસન	Dushasana
સત્યવતી	Satyavati
ઇરવન	Iravan
કૃપ	Kripa
પંચામૃત	Panchamrita
કૌશલ્યા	Kausalya
પરિક્ષિત	Parikshit
કૈકેયી	Kaikeyi
સુમિત્રા	Sumitra
શંકર મહાદેવન	Shankar Mahadevan
માલદહ જિલ્લો	Malda district
શ્રેયા ઘોષાલ	Shreya Ghoshal
પટેલ	Patel
ભારતમાં પરીવહન	Transport in India
રાધનપુર	Radhanpur
સિહોર, મધ્ય પ્રદેશ	Sehore
કેન્દ્રાપડા	Kendrapara
ગ્વાલિયર જિલ્લો	Gwalior district
નબરંગપુર	Nabarangpur
પહલગામ	Pahalgam
ઝાબુઆ જિલ્લો	Jhabua district
મુંબઈ ઉપનગરી જિલ્લો	Mumbai Suburban district
સાગર જિલ્લો	Sagar district
ખંડવા જિલ્લો	Khandwa district
શાહડોલ જિલ્લો	Shahdol district
પૌડી ગઢવાલ જિલ્લો	Pauri Garhwal district
કોડરમા જિલ્લો	Koderma district
પાનીપત જિલ્લો	Panipat district
ફરીદાબાદ જિલ્લો	Faridabad district
હમીરપુર જિલ્લો	Hamirpur district, Himachal Pradesh
સેરછિપ જિલ્લો	Serchhip district
થૌબલ જિલ્લો	Thoubal district
લોન્ગતલાઇ જિલ્લો	Lawngtlai district
અંબાલા જિલ્લો	Ambala district
ચુંબકીય ટેકરીઓ	Gravity hill
રુદ્રપ્રયાગ	Rudraprayag
નંદરબાર	Nandurbar
હિંગોલી જિલ્લો	Hingoli district
મુક્તસર (પંજાબ)	Sri Muktsar Sahib
મોરબી	Morbi
બેતુલ	Betul, Madhya Pradesh
જાજપુર જિલ્લો	Jajpur district
કારગિલ	Kargil
બીરભૂમ જિલ્લો	Birbhum district
બાંકુડા જિલ્લો	Bankura district
ઝારસુગડા	Jharsuguda
કોલકાતા જિલ્લો	Kolkata district
લખિમપુર	North Lakhimpur
ચિત્રકૂટ જિલ્લો	Chitrakoot district
કાનપુર નગર જિલ્લો	Kanpur district
કોરાપુટ	Koraput
યયાતિ	Yayati
કંસ	Kamsa
ગરુડ	Eagle
સ્વદેશી	Swadeshi movement
ગાજીપુર જિલ્લો	Gazipur District
કાલી નદી (ઉત્તરાંચલ)	Sharda River
કોકમ	Garcinia indica
રાત્રિ સ્ખલન	Nocturnal emission
ખંભાળિયા	Jamkhambhaliya
સરદાર સરોવર બંધ	Sardar Sarovar Dam
ખારાઘોડા	Kharaghoda
બુરહાનપુર જિલ્લો	Burhanpur district
ગુજરાત સમાચાર	Gujarat Samachar
કેન્દુઝર	Kendujhar
નાટ્યશાળા	Drama school
શ્રીનિવાસ વેંકટરાઘવન	Srinivasaraghavan Venkataraghavan
બસ્તી પ્રાંત	Basti division
ઝાંસી પ્રાંત	Jhansi division
હરદા જિલ્લો	Harda district
અવકાશ વિનિયોગ કેન્દ્ર	Space Applications Centre
મોકોક્ચુન્ગ જિલ્લો	Mokokchung district
લુન્ગલેઇ	Lunglei
પોષ	Pausha
ધનુ રાશી	Sagittarius (astrology)
રોટલી	Roti
કૂકડો	Rooster
મેવાત જિલ્લો	Mewat district
સિવની જિલ્લો	Seoni district
મેરઠ પ્રાંત	Meerut division
રામચકલી	Grey tit
કાંટની ફુત્કી	Jungle prinia
પાલેજ	Palej
સિપા	Seppa
સાણંદ	Sanand
થાન	Thangadh
સીવાન	Siwan, Bihar
વલ્લભ વિદ્યાનગર	Vallabh Vidhyanagar
માલપુર	Malpur
મુન્દ્રા	Mundra
વિજાપુર	Vijapur
ખેરાલુ	Kheralu
મહાસમન્દ	Mahasamund
કુતિયાણા	Kutiyana
કોડીનાર	Kodinar
ધનબાદ જિલ્લો	Dhanbad district
લુણાવાડા	Lunawada
ઢાંચો:Lang-ta	Template:Lang-ta
સોનીપત જિલ્લો	Sonipat district
લાતેહાર જિલ્લો	Latehar district
અશોકનગર જિલ્લો	Ashoknagar district
સટાણા	Satana, India
ગ્રામિણ કામરુપ જિલ્લો	Kamrup district
પાદરા	Padra
એપલ (ઉપગ્રહ)	Ariane Passenger Payload Experiment
પૌડી	Pauri
કાલાવડ	Kalavad
શ્રાવણ	Shraavana
ભારતીય રૂપિયા ચિહ્ન	Indian rupee sign
હરદ્વાર જિલ્લો	Haridwar district
ચાંદ વાવડી	Chand Baori
ખરગોન જિલ્લો	Khargone district
શીતળા માતા	Shitala
રાયગઢ જિલ્લો	Raigarh district
મૈનપુરી	Mainpuri
સિવની	Seoni, Madhya Pradesh
ટીકમગઢ	Tikamgarh
શ્યોપુર	Sheopur
કિન્નોર જિલ્લો	Kinnaur district
ગુમલા જિલ્લો	Gumla district
પાલમપુર	Palampur
કરજણ	Karjan
કોરિયા જિલ્લો	Koriya district
રાયપુર જિલ્લો	Raipur district
બોકારો જિલ્લો	Bokaro district
પાકુડ જિલ્લો	Pakur district
ફુલબાણી	Phulbani
સુન્દરગઢ જિલ્લો	Sundergarh district
કુપવાડા જિલ્લો	Kupwara district
ડોડા જિલ્લો	Doda district
વાશીમ	Washim
સિહોર જિલ્લો, મધ્ય પ્રદેશ	Sehore district
શિવપુરી જિલ્લો	Shivpuri district
થૌબલ (મણિપુર)	Thoubal
અનૂપપુર જિલ્લો	Anuppur district
કોરબા જિલ્લો	Korba district
રતલામ જિલ્લો	Ratlam district
સેનાપતિ જિલ્લો	Senapati district
તમેન્ગલોન્ગ જિલ્લો	Tamenglong district
ઉના જિલ્લો	Una district
રેવાડી જિલ્લો	Rewari district
ચંડેલ જિલ્લો	Chandel district
ગિરીડીહ જિલ્લો	Giridih district
ગઢવા જિલ્લો	Garhwa district
ઓબેરોય ટ્રાયડેંટ	Oberoi Trident
રાયગંજ	Raiganj
ઉમેદ ભવન મહેલ	Umaid Bhawan Palace
તિરહુત વિભાગ (પ્રમંડલ)	Tirhut division
મંગલદાઇ	Mangaldoi
મન્ગન	Mangan, India
દક્ષિણ ૨૪ પરગણા જિલ્લો	South 24 Parganas district
મિર્જાપુર પ્રાંત	Mirzapur division
સિંધી	Sindhi
કાંકેર જિલ્લો	Kanker district
કર્ણ પ્રયાગ	Karnaprayag
ઉના, હિમાચલ પ્રદેશ	Una, Himachal Pradesh
યુપીયા	Yupia
મોડાસા	Modasa
બરાન જિલ્લો	Baran district
રુદ્રપુર	Rudrapur
મોન જિલ્લો	Mon district
ફલટણ	Phaltan
સાંગરેડ્ડી	Sangareddi
પદરૌના	Padrauna
કપડવંજ	Kapadvanj
સાહિબગંજ	Sahebganj
સુરગાણા	Surgana
મુરૈના જિલ્લો	Morena district
રોહિણી (ઉપગ્રહ)	Rohini (satellite)
લમ્ફેલ્પેટ	Lamphelpat
મનોજ કુમાર	Manoj Kumar
પન્ના જિલ્લો	Panna district
મુંબઈ શહેરી જિલ્લો	Mumbai City district
મંડલા જિલ્લો	Mandla district
શ્રીખંડ	Shrikhand
ભિંડ જિલ્લો	Bhind district
નીમચ જિલ્લો	Neemuch district
શેખપુરા	Sheikhpura
અલીપોર	Alipore
રાજનાંદગાંવ જિલ્લો	Rajnandgaon district
રુપનગર (પંજાબ)	Rupnagar
સુપૌલ	Supaul
ઇન્દિરા પોઇન્ટ	Indira Point
આઝમગઢ પ્રાંત	Azamgarh division
વલ્લભાચાર્ય	Vallabha Acharya
મહેશ ભટ્ટ	Mahesh Bhatt
અદ્વૈત વેદાંત	Advaita Vedanta
કરમસદ	Karamsad
શાજાપુર	Shajapur
રાયસેન	Raisen
અડાલજ	Adalaj
સુન્દરગઢ	Sundergarh
બરનાલા જિલ્લો	Barnala district
અક્ષૌહિણી	Akshauhini
ગડગ જિલ્લો	Gadag District
ભાદરવો	Bhadra (month)
મત્સ્ય પુરાણ	Matsya Purana
બઘેલી ભાષા	Bagheli language
શિખંડી	Shikhandi
ધૃષ્ટદ્યુમ્ન	Dhrishtadyumna
ગીતાંજલિ	Gitanjali
બક્સા જિલ્લો	Baksa district
સીતામઢી, બિહાર	Sitamarhi
પ્રહલાદ	Prahlada
ધોબી	Dhobi
દુર્વાસા	Durvasa
પાતાળ	Patala
રાવેર	Raver, Maharashtra
સરાઇકેલા ખરસાવાં જિલ્લો	Seraikela Kharsawan district
પરિસ્થિતિ-જળ વિજ્ઞાન (ઈકોહાઈડ્રોલૉજી)	Ecohydrology
વિક્રમ	Vikram (actor)
બૌઢ જિલ્લો	Boudh district
ચૈત્ર	Chaitra
લિંગરાજ મંદિર, ભુવનેશ્વર	Lingaraja Temple
મુજફ્ફરનગર જિલ્લો	Muzaffarnagar district
મલ્કાનગિરિ જિલ્લો	Malkangiri
ચિત્રાંગદા	Chitrāngadā
મુકેશ	Mukesh (singer)
શલ્ય	Shalya
જયદ્રથ	Jayadratha
સાત્યકિ	Satyaki
કિંચક	Kichaka
તૌરાત	Torah in Islam
યશોદા	Yashoda
દ્રુપદ	Drupada
ઉત્તરા	Uttarā (Mahabharata)
સંજય	Sanjaya
યુયુત્સુ	Yuyutsu
જેઠ	Jyeshtha (month)
બાહુબલી	Bahubali
ડિંડોરી જિલ્લો	Dindori district
મોસંબી	Citrus limetta
બેગુની	Beguni
ગોંડા	Gonda, Uttar Pradesh
સાર્વભૌમ દેશોના રાષ્ટ્રધ્વજોની ચિત્રગેલેરી	Gallery of sovereign state flags
રાજસમન્દ	Rajsamand
સંગરુર (પંજાબ)	Sangrur
યેવલા	Yeola
કરાડ	Karad
કુરુંગ કુમે જિલ્લો	Kurung Kumey district
ટીકમગઢ જિલ્લો	Tikamgarh district
સીધી જિલ્લો	Sidhi district
શાજાપુર જિલ્લો	Shajapur district
મહાસમન્દ જિલ્લો	Mahasamund district
કવર્ધા જિલ્લો	Kabirdham district
શિવ સંહિતા	Shiva Samhita
મુનિ કી રેતી	Muni Ki Reti
નંદ પ્રયાગ	Nandaprayag
ગુજરાતના જિલ્લાઓ	List of districts of Gujarat
વિસનગર	Visnagar
વિસાવદર	Visavadar
પૂર્વીય સિંહભૂમ જિલ્લો	East Singhbhum district
પાઘડી	Turban
ઉસ્માનાબાદ	Osmanabad
સંપ્રદાય	Sampradaya
શહેરી કામરુપ જિલ્લો	Kamrup Metropolitan district
ધરમપુર	Dharampur, Sagarmatha
રાજગઢ	Rajgarh, Madhya Pradesh
અધિરથ	Adhiratha
બભ્રુવાહન	Babruvahana
શ્રાવસ્તી	Sravasti
ભક્તિવેદાંત બુક ટ્રસ્ટ	Bhaktivedanta Book Trust
ઓનલાઇન એન્સાયક્લોપીડિયાની યાદી	List of Internet encyclopedias
હરિવંશ	Harivamsa
વારાણસી પ્રાંત	Varanasi division
ખીચડી	Khichdi
દામોહ જિલ્લો	Damoh district
લખનૌ પ્રાંત	Lucknow division
ખલિલાબાદ	Khalilabad, India
રોઇન્ગ	Roing
સીધી	Sidhi
મમિત	Mamit
ઉમરિયા	Umaria
સિમડેગા	Simdega
શિવહર	Sheohar
ડિંડોરી	Dindori, Madhya Pradesh
શાહડોલ	Shahdol
મારિગાંવ	Marigaon
જુન્હેમોટો જિલ્લો	Zunheboto
દ્વિજ	Dvija
આંતરરાષ્ટ્રીય ગુલામ વ્યાપાર અને તેના અંતની યાદગીરીનો દિવસ	International Day for the Remembrance of the Slave Trade and its Abolition
માડવી	Mandavi
કોલાર જિલ્લો	Kolar district
ક્રીપ્સ મિશન	Cripps' mission
અસ્તેય	Asteya
રાજકોટ બીઆરટીએસ	Rajkot BRTS
સ્વાધ્યાય	Svādhyāya
બ્રહ્મપુરી	Brahmapuri, India
હોમાય વ્યારાવાલા	Homai Vyarawalla
દીવ જિલ્લો	Diu district
મરિયમ ઝીણા	Maryam Jinnah
થરાદ	Tharad
કલોલ	Kalol, Gandhinagar
કાણોદર (તા. પાલનપુર)	Kanodar
રાવલા મંડી	Rawla Mandi
મુરાદાબાદ પ્રાંત	Moradabad division
તલોદ	Talod
માંડવી	Mandvi
રાણાવાવ	Ranavav
રાજુરા	Rajura
તળોદા (મહારાષ્ટ્ર)	Talode
વડનગર	Vadnagar
સૂર્યમંદિર, મોઢેરા	Sun Temple, Modhera
મહુવર	Mahuvar
ટ્વેનસાંગ જિલ્લો	Tuensang district
શ્રીનાથજી	Shrinathji
સિદ્ધપુર	Sidhpur
સિહોર	Sihor
અનીની	Anini
માનસા (પંજાબ)	Mansa, Punjab
બાંદા	Banda, Uttar Pradesh
જાંજગીર-ચમ્પા જિલ્લો	Janjgir–Champa district
હમીરપુર	Hamirpur, Himachal Pradesh
ધેંકનાલ	Dhenkanal, India
પડધરી	Paddhari
સરાઈકેલા ખરસાવાં	Saraikela
સઇહા	Saiha
ચુરાચાંદપુર જિલ્લો	Churachandpur district
માંગરોળ (જૂનાગઢ)	Mangrol
જશપુર જિલ્લો	Jashpur district
દુમકા જિલ્લો	Dumka district
સતના જિલ્લો	Satna district
રાયગઢા જિલ્લો	Rayagada district
જાદવપુર યુનિવર્સિટી	Jadavpur University
એકનાથ	Eknath
સિમડેગા જિલ્લો	Simdega district
કઠુઆ	Kathua
કૈફાઇર જિલ્લો	Kiphire district
આંધળી ચાકણ	Eryx johnii
નામદેવ	Namdev
પં. પન્નાલાલ ઘોષ	Pannalal Ghosh
મોહિન્દર અમરનાથ	Mohinder Amarnath
હિન્દુધર્મના ઉત્સવો	List of Hindu festivals
મહુધા	Mahudha
ભક્તિસિદ્ધાંત સરસ્વતી	Bhaktisiddhanta Sarasvati
સુરેન્દ્રનગર	Surendranagar city
સંસ્કૃત વ્યાકરણ	Sanskrit grammar
મહાવીર જયંતી	Mahavir Jayanti
ગાયકવાડ રાજવંશ	Gaekwad dynasty
મહારાજા સયાજીરાવ ગાયકવાડ ત્રીજા	Sayajirao Gaekwad III
સંત રવિદાસ	Ravidas
શ્રી સ્વામિનારાયણ મંદિર, કરાચી	Shri Swaminarayan Mandir, Karachi
ચૈતન્ય ચરિતામૃત	Chaitanya Charitamrita
વીર ચક્ર (પુરસ્કાર)	Vir Chakra
આયોજન પંચ	Planning Commission (India)
અમાસ	Amavasya
અભંગ	Abhang
ગુલબર્ગ જિલ્લો	Gulbarga district
હનુમાન ચાલીસા	Hanuman Chalisa
અલીરાજપુર જિલ્લો	Alirajpur district
સુરી	Suri, Birbhum
કટરા	Katra, Jammu and Kashmir
કળશ	Kalasha
સિંગરૌલી જિલ્લો	Singrauli district
પંચ પ્રયાગ	Panch Prayag
ઝૂલતા મિનારા	Sidi Bashir Mosque
ગૌરીકુંડ (ઉત્તરાંચલ)	Gauri Kund
રામનગર, ઉત્તરાંચલ	Ramnagar, Uttarakhand
વાંસદા રાષ્ટ્રીય ઉદ્યાન	Vansda National Park
કૃતવર્મા	Kritavarma
માય ઓપેરા	My Opera
નવદુર્ગા	Navadurga
ચંદ્રકાંત બક્ષી	Chandrakant Bakshi
વન લલેડુ	Jungle babbler
મેઘરજ	Meghraj
ભાટ્ટી	Bhati
યો યો હની સિંગ	Yo Yo Honey Singh
ઝૂલેલાલ	Jhulelal
મહાવીર ચક્ર (પુરસ્કાર)	Maha Vir Chakra
લક્ષ્મણ ઝુલા (ઋષિકેશ)	Lakshman Jhula
બેટમેન (ચિત્રકથા)	Batman
મક્કાલી ગોસાલ	Makkhali Gosala
દેલવાડા	Dilwara Temples
મયૂરાસન	Mayurasana
રક્તચંદન	Adenanthera pavonina
ચેવડો	Bombay mix
તારક મેહતા કા ઉલ્ટા ચશ્મા	Taarak Mehta Ka Ooltah Chashmah
સત્યના પ્રયોગો અથવા આત્મકથા	The Story of My Experiments with Truth
ભોંઆમલી	Phyllanthus niruri
ઇલીયારાજા	Ilaiyaraaja
મહુડો	Madhuca longifolia
TV9 ગુજરાત	TV9 (Gujarati)
અભયારણ્ય	Wildlife sanctuaries of India
અંક	Indian numerals
રવિન્દ્ર જાડેજા	Ravindra Jadeja
આઇઆરસીટીસી	Indian Railway Catering and Tourism Corporation
ક્રિષ્નામાચારી શ્રીકાંત	Krishnamachari Srikkanth
અમૂલ	Amul
અંકિતા લોખંડે	Ankita Lokhande
અંકિતા શર્મા	Ankita Sharma
મદન મોહન માલવીય	Madan Mohan Malaviya
અમોલ પાલેકર	Amol Palekar
ગૌતમ ગંભીર	Gautam Gambhir
૨-જી સ્પેક્ટ્રમ કૌભાંડ	2G spectrum scam
ડેક્કન ક્વિન	Deccan Queen
સંત મહિપતિ	Mahipati
તેલુગુ ભોજન	Telugu cuisine
ભેળપૂરી	Bhelpuri
ઢાબા	Dhaba
ઉપમા	Upma
સુહાસી ધામી	Suhasi Goradia Dhami
ભગવદ્ગોમંડલ	Bhagavadgomandal
દયારામ	Dayaram
ભારતમાં ટી.વી. ચેનલો	List of Hindi-language television channels
ગર્જિયાદેવી મંદિર (ઉત્તરાખંડ)	Garjiya Devi Temple
પલસદરી (જિ. રાયગઢ)	Palasdari
ચંદેરીનો કિલ્લો, ગુના	Chanderi fort
નારાયણ સરોવર	Narayan Sarovar
ટીના મુનિમ	Tina Ambani
હરકી પૈડી	Har Ki Pauri
અંબરીશ	Ambareesh
સંજય માંજરેકર	Sanjay Manjrekar
અંશુમાન ગાયકવાડ	Anshuman Gaekwad
અથર્વ ઋષિ	Atharvan
ઉદય મર્ચંટ	Uday Merchant
અંબા	Amba (Mahabharata)
સંદિપ પાટિલ	Sandeep Patil
પીલુ મોદી	Piloo Mody
કનૈયાલાલ મુનશી	Kanaiyalal Maneklal Munshi
શંકર આંતરરાષ્ટ્રીય ઢીંગલી સંગ્રહાલય, દિલ્હી	Shankar's International Dolls Museum
અકરાણી તાલુકો	Dhadgaon
આંતરરાષ્ટ્રીય ન્યાય દિન	World Day for International Justice
મામૂટી	Mammootty
મંદિરા બેદી	Mandira Bedi
અક્ષય પાત્ર ફાઉન્ડેશન	Akshaya Patra Foundation
રાજગુરુ	Shivaram Rajguru
અખા ભગત	Akha Bhagat
સુખદેવ	Sukhdev Thapar
પન્નાલાલ પટેલ	Pannalal Patel
અગ્નિવેશ	Agnivesa
ખાજા	Khaja
અગ્રસેન	Agrasena
વિરસા મુંડા	Birsa Munda
મહાકાળેશ્વર જ્યોતિર્લિંગ	Mahakaleshwar Jyotirlinga
ઉદવાડા	Udvada
અજય જાડેજા	Ajay Jadeja
ભારતના રાજ્ય પ્રાણીઓની યાદી	List of Indian state animals
ભારતના રાજ્ય વૃક્ષોની યાદી	List of Indian state trees
કિરણ બેદી	Kiran Bedi
અડાલજની વાવ	Adalaj Stepwell
ભારતના રાજ્ય પક્ષીઓની યાદી	List of Indian state birds
પાણીપૂરી	Panipuri
લાવણી	Lavani
નવનાથ	Navnath
સિન્નર તાલુકો	Sinnar taluka
સલીલ અંકોલા	Salil Ankola
અતુલ વાસન	Atul Wassan
જલારામ	Jalaram
અતુલ બેદાડે	Atul Bedade
સ્વાધ્યાય પરિવાર	Swadhyay Parivar
ભૌતિક અનુસંધાન પ્રયોગશાળા	Physical Research Laboratory
અશોક કુરજીભાઇ પટેલ	Ashok Patel
અદ્વૈત વેદાંતના આચાર્યોની યાદી	List of teachers of Advaita Vedanta
સમીર દિઘે	Sameer Dighe
અનંતરાય મણિશંકર રાવળ	Anantrai Raval
સદાનંદ વિશ્વનાથ	Sadanand Viswanath
સંજીવ શર્મા	Sanjeev Sharma
નવાપુર (જિ. નંદરબાર)	Navapur
નયન મોંગીયા	Nayan Mongia
અનિલ કાકોડકર	Anil Kakodkar
અનુક્રમણી	Anukramaṇī
અપ્પુઘર	Appu Ghar
અબડાસા	Abdasa Taluka
સબા કરીમ	Saba Karim
ખારઘર	Kharghar
જ્ઞાનેશ્વરી	Dnyaneshwari
બાસુંદી	Basundi
બોદવડ	Bodwad
કળવણ	Kalwan
અભિનંદન નાથ	Abhinandananatha
અમદાવાદ કલેક્ટર	Ahmedabad Collectorate
ધ્વજ સત્યાગ્રહ	Flag Satyagraha
મહારાષ્ટ્ર રાજ્ય સડક વિકાસ નિગમ	Maharashtra State Road Development Corporation
પાંડુરંગ શાસ્ત્રી આઠવલે	Pandurang Shastri Athavale
કાળી ચૌદશ	Naraka Chaturdashi
અમરસિંહ ચૌધરી	Amarsinh Chaudhary
જિલ્લા કલેક્ટર	District collector
ઝહીર અબ્બાસ	Zaheer Abbas
રાષ્ટ્રીય ધોરી માર્ગ નં. ૫૯	National Highway 59 (India)(old numbering)
અમલસાડ	Amalsad
ગોપાલ કૃષ્ણ ગોસ્વામી	Gopala Krishna Goswami
લોકનાથ સ્વામી મહારાજ	Lokanatha Swami
અમી વશી	Ami Vashi
રાધાનાથ સ્વામી	Radhanath Swami
અમૃત નાયક	Amrit Keshav Nayak
ગીતા પ્રેસ	Gita Press
ખાંડવપ્રસ્થ	Khandavaprastha
જયપતાકા સ્વામી	Jayapataka Swami
યજ્ઞોપવીત	Upanayana
ડી. ડી. કૌશામ્બી	Damodar Dharmananda Kosambi
અરનાથજી દેવ	Aranatha
કૃષ્ણદાસ કવિરાજ	Krishnadasa Kaviraja
સમાન નાગરિક સંહિતા	Uniform civil code of India
એકલિંગજી	Eklingji
બનાસ નદી	Banas River
વૈશાખ	Vaisakha
અહિલ્યાબાઈ હોળકર	Ahilyabai Holkar
ચેતક અશ્વ	Chetak (horse)
આરસ ખડકો	Marble Rocks
જયગઢનો કિલ્લો	Jaigarh Fort
અલવાર	Alwar
ભારતમાં મૂક કૃપામૃત્યુ	Euthanasia in India
બ્રહ્મકમળ	Saussurea obvallata
પ્રણવ મિસ્ત્રી	Pranav Mistry
સુનિતા નારાયણ	Sunita Narain
કેશોદ વિમાનમથક	Keshod Airport
મહિન્દ્રા સ્કોર્પિયો	Mahindra Scorpio
બ્રિટીશ એશિયન	British Asian
હિંગલાજ ભવાની શક્તિપીઠ	Hinglaj Mata
અશ્વિની ભટ્ટ	Ashwini Bhatt
તમિલનાડુનો ઈતિહાસ	History of Tamil Nadu
કોરી ખાડી	Kori Creek
હુર્રિયત પરિષદ	All Parties Hurriyat Conference
સુનિધિ ચૌહાણ	Sunidhi Chauhan
સૈયદ મુસ્તાક અલી	Mushtaq Ali
મહારાણા પ્રતાપ	Maharana Pratap
આલિશા ચિનોઇ	Alisha Chinai
વેતાલ પચ્ચીસી	Baital Pachisi
અષ્ટાવક્ર	Ashtavakra
સિંધી ભાષામાં સાહિત્ય	Sindhi literature
રાજેન્દ્ર શાહ	Rajendra Shah
એનરોન કૌભાંડ	Enron scandal
દુશલા	Duhsala
મયાસુર	Mayasura
અહિલાવતી	Ahilawati
જરાસંધ	Jarasandha
અહમદશાહ	Ahmed Shah I
ડાબર	Dabur
ઉલૂપી	Ulupi
સ્વામિનારાયણ સંપ્રદાય	Swaminarayan Sampraday
રામાયણનાં વિવિધ સંસ્કરણો	Versions of Ramayana
વડા	Vada (food)
હઝરત નિઝામુદ્દીન રેલ્વે સ્ટેશન	Hazrat Nizamuddin railway station
હિંડન નદી	Hindon River
આંધ્રપ્રદેશના જિલ્લા અને શહેરો	Geography of Andhra Pradesh
પ્રગતિ મેદાન, દિલ્હી	Pragati Maidan
સુદર્શન ચક્ર	Sudarshana Chakra
રાજશ્રી પ્રોડક્શનસ્	Rajshri Productions
સેવરી-ન્હાવા શેવા દરિયાઇખાડી સેતુ	Mumbai Trans Harbour Link
હિંદુસ્તાન એન્ટિબાયોટિક્સ લિમિટેડ	Hindustan Antibiotics
દાલ બાટી	Dal baati
લાપાસરી	Lapasari
બનારસી સાડી	Banarasi sari
