Aprika	Africa
Kalinga (paglilinaw)	Kalinga (disambiguation)
Hieron	Hiero
Biri	Biri
Sampaloc	Sampaloc
Phil LaMarr	Phil LaMarr
Sagay, Camiguin	Sagay, Camiguin
Basud, Camarines Norte	Basud, Camarines Norte
Antipapa Celestino II	Antipope Celestine II
Antipapa Theodoric	Antipope Theodoric
Antipapa Callixtus III	Antipope Callixtus III
Daet, Camarines Norte	Daet, Camarines Norte
Jose Panganiban, Camarines Norte	Jose Panganiban, Camarines Norte
Bundok (paglilinaw)	Mountain (disambiguation)
Labo, Camarines Norte	Labo, Camarines Norte
San Bernardo	San Bernardo
Arana	Arana
Puno (paglilinaw)	Puno (disambiguation)
Iloilo	Iloilo (disambiguation)
Peralta	Peralta
San David (paglilinaw)	Saint David (disambiguation)
Mercedes, Camarines Norte	Mercedes, Camarines Norte
Aksiyoma	Axiom (disambiguation)
Palanca	Palanca
Molino (paglilinaw)	Molinos
Roxas	Roxas
Buyo	Buyo
Paracale, Camarines Norte	Paracale, Camarines Norte
Bean	Bean (disambiguation)
San Lorenzo Ruiz, Camarines Norte	San Lorenzo Ruiz, Camarines Norte
Santa Elena, Camarines Norte	Santa Elena, Camarines Norte
Talisay, Camarines Norte	Talisay, Camarines Norte
Eder	Eder (disambiguation)
Vinzons, Camarines Norte	Vinzons, Camarines Norte
Baungon, Bukidnon	Baungon, Bukidnon
Cabanglasan, Bukidnon	Cabanglasan, Bukidnon
Damulog, Bukidnon	Damulog, Bukidnon
Bruce Dern	Bruce Dern
Dangcagan, Bukidnon	Dangcagan, Bukidnon
Emperador Rokujō	Emperor Rokujō
Don Carlos, Bukidnon	Don Carlos, Bukidnon
Impasug-ong, Bukidnon	Impasugong
Kadingilan, Bukidnon	Kadingilan, Bukidnon
Kalilangan, Bukidnon	Kalilangan, Bukidnon
Kibawe, Bukidnon	Kibawe, Bukidnon
Kitaotao, Bukidnon	Kitaotao, Bukidnon
Lantapan, Bukidnon	Lantapan, Bukidnon
Emperador Go-Horikawa	Emperor Go-Horikawa
Libona, Bukidnon	Libona, Bukidnon
Emperador Montoku	Emperor Montoku
Emperador Sanjō	Emperor Sanjō
Emperador Yūryaku	Emperor Yūryaku
Emperador Kōbun	Emperor Kōbun
Emperador Mommu	Emperor Monmu
Emperador Juntoku	Emperor Juntoku
Malitbog, Bukidnon	Malitbog, Bukidnon
Emperador Chūkyō	Emperor Chūkyō
Emperador Takakura	Emperor Takakura
Emperador Ninken	Emperor Ninken
Emperador Tsuchimikado	Emperor Tsuchimikado
Manolo Fortich, Bukidnon	Manolo Fortich, Bukidnon
Emperador Seinei	Emperor Seinei
Maramag, Bukidnon	Maramag, Bukidnon
Pangantucan, Bukidnon	Pangantucan, Bukidnon
Adina	Adina (biblical figure)
Quezon, Bukidnon	Quezon, Bukidnon
San Fernando, Bukidnon	San Fernando, Bukidnon
Sumilao, Bukidnon	Sumilao, Bukidnon
European Article Number	International Article Number (EAN)
Talakag, Bukidnon	Talakag, Bukidnon
Array	Array
Jaleel White	Jaleel White
Anthony Franciosa	Anthony Franciosa
George Hamilton	George Hamilton (actor)
Baka (paglilinaw)	Baka
Wuhu	Wuhu
Bengbu	Bengbu
Boleslav I	Boleslaus I, Duke of Bohemia
Jose P. Laurel	José P. Laurel
Huainan	Huainan
Ma'anshan	Ma'anshan
Huaibei	Huaibei
Tongling	Tongling
Anqing	Anqing
Jaye Davidson	Jaye Davidson
Fuyang, Anhui	Fuyang
Suzhou, Anhui	Suzhou, Anhui
Adolf (manga)	Message to Adolf
Lu'an	Lu'an
Masayuki Suzuki	Masayuki Suzuki
Bozhou	Bozhou
Chizhou	Chizhou
Xuancheng	Xuancheng
Minoru Genda	Minoru Genda
Sam Cassell	Sam Cassell
Natan Ščaranskij	Natan Sharansky
Emperador Kenzō	Emperor Kenzō
Emperador Kameyama	Emperor Kameyama
Suzuki Harunobu	Suzuki Harunobu
Kenichi Matsuyama	Kenichi Matsuyama
Eric Gordon	Eric Gordon
Emperador Kazan	Emperor Kazan
Edmond About	Edmond François Valentin About
Emperador Ankō	Emperor Ankō
Emperador Suzaku	Emperor Suzaku
William Thomas Beckford	William Thomas Beckford
Robert Loggia	Robert Loggia
Unggaro	Hungarian
Takuya Kimura	Takuya Kimura
Ali Mohammed Mujur	Ali Muhammad Mujawar
Satoshi Ohno	Satoshi Ohno
Kazunari Ninomiya	Kazunari Ninomiya
Aska Yang	Aska Yang
David Cross	David Cross
Yuka	Yuka
Buddy MacKay	Buddy MacKay
Ashur-etil-ilani	Ashur-etil-ilani
Miribel, Ain	Miribel, Ain
Neyron	Neyron
Ganzhou	Ganzhou
Thil, Ain	Thil, Ain
Manziat	Manziat
Adolf Lu Hitler Marak	Adolf Lu Hitler Marak
Michael Lerner	Michael Lerner
Harry Patch	Harry Patch
Chris Sarandon	Chris Sarandon
Kontradiksiyon	Contradiction
Frederick Law Olmsted	Frederick Law Olmsted
Kaoru Abe	Kaoru Abe
Hubert van Eyck	Hubert van Eyck
Panglao	Panglao
Dothan	Dothan
Asturias	Asturias (disambiguation)
Prinsipe Henry	Prince Henry
Lead	Lead (disambiguation)
Uod ng aklat	Bookworm (disambiguation)
BIR	BIR
Shuttle	Shuttle
Pagong (paglilinaw)	Turtle (disambiguation)
Judd Hirsch	Judd Hirsch
Web	Web
Adolph Caesar	Adolph Caesar
Griffin	Griffin (disambiguation)
MSN	MSN (disambiguation)
Rumi (paglilinaw)	Rumi (disambiguation)
Antipapa Gregorio VIII	Antipope Gregory VIII
3 Hari	Three Kings (disambiguation)
Salavat	Salavat
Shabaka	Shabaka
Papa Teofilo ng Alehandriya	Pope Theophilus of Alexandria
Siamun	Siamun
Eisai	Eisai
Polis	Polis (disambiguation)
Adopsiyonismo	Adoptionism
Poon (paglilinaw)	Poon
Laurel (paglilinaw)	Laurel
Adrano	Adrano
Kordero	Lamb
Ron Moody	Ron Moody
Paramo, Santander	Paramo, Santander
Andy Dick	Andy Dick
Robert Forster	Robert Forster
San Remigio	Saint Remigius
Proterio ng Alehandriya	Proterius of Alexandria
2374 Vladvysotskij	2374 Vladvysotskij
Žitná-Radiša	Žitná-Radiša
Yolombo	Yolombó
Antipapa Sylvester IV	Antipope Sylvester IV
Ondol	Ondol
Pupiales	Pupiales
Lord Conquest	Lord Conquest
Hwanhee	Hwanhee
Erik Santos	Erik Santos
Sibundoy	Sibundoy
Yamato, Kagoshima	Yamato, Kagoshima
Mantis (paglilinaw)	Mantis (disambiguation)
Maricel Laxa	Maricel Laxa
Seo Taiji	Seo Taiji
Batas sa Responsableng Pagkamagulang at Kalusugang Reproduktibo ng 2012	Responsible Parenthood and Reproductive Health Act of 2012
Saint-Jean-de-Niost	Saint-Jean-de-Niost
Pastoral na liham	Pastoral epistles
Aguilcourt	Aguilcourt
Black Widow (Marvel Comics)	Black Widow (Natalia Romanova)
Samuel Guthrie	Samuel Guthrie (physician)
Bobcat Goldthwait	Bobcat Goldthwait
Kimikang pangkomputasyon	Computational chemistry
Nokia 7280	Nokia 7280
Hatillo de Loba	Hatillo de Loba
Sumoto, Hyogo	Sumoto, Hyōgo
Bruce Timm	Bruce Timm
Kozin Victor	Viktor Kozin
Lorenzo Ruiz	Lorenzo Ruiz
Nobyembre 2005	November 2005
Supot ng apyak	Umbilical vesicle
Ninlil	Ninlil
El Cajon, Kaliporniya	El Cajon, California
Shawn Wayans	Shawn Wayans
Rin-Ne	Rin-ne
Jessica Rey	Jessica Rey
Suits	Suits (TV series)
2139 Makharadze	2139 Makharadze
Pablo ng Krus	Paul of the Cross
Komboy	Convoy
2981 Chagall	2981 Chagall
Yamakita, Kanagawa	Yamakita, Kanagawa
Nakajima, Fukushima	Nakajima, Fukushima
Bandurya	Bandurria
Spornitz	Spornitz
Kolonya ng Kabo	Cape Colony
Con Dao	Côn Đảo
2959 Scholl	2959 Scholl
Keith David	Keith David
Lungsod ng Daly	Daly City, California
Henri Giffard	Henri Giffard
Pembroke Pines, Florida	Pembroke Pines, Florida
Elias Hicks	Elias Hicks
Ardeshir I	Ardashir I
Nokia E60	Nokia E60
Tomigusuku, Okinawa	Tomigusuku, Okinawa
Blob (komiks)	Blob (comics)
Tong (paglilinaw)	Tong
At	Well-defined
Annalee (komiks)	List of Marvel Comics characters: A
Hukbalahap	Hukbalahap
Reader's Digest	Reader's Digest
2960 Ohtaki	2960 Ohtaki
Hepzibah (komiks)	Hepzibah (comics)
Kan Mikami	Kan Mikami
Ravanusa	Ravanusa
Roccalumera	Roccalumera
Glenn Close	Glenn Close
Gischow	Gischow
Bena kaba	Venae cavae
Dongying	Dongying
Escondido, California	Escondido, California
Tsugaru, Aomori	Tsugaru, Aomori
Mario Lopez	Mario Lopez
Bughaw-alisya	Alice blue
Jining	Jining
Distrito ng Jalilabad (Aserbayan)	Jalilabad District (Azerbaijan)
2171 Kiev	2171 Kiev
Weihai	Weihai
Eagle: The Making of an Asian-American President	Eagle: The Making of an Asian-American President
Asul	Azure (color)
Rizhao	Rizhao
Awaji, Hyogo	Awaji, Hyōgo
Taytay, Rizal	Taytay, Rizal
2482 Perkin	2482 Perkin
Laiwu	Laiwu
Magic Castle	The Magic Castle
2186 Keldysh	2186 Keldysh
Prachuap Khiri Khan	Prachuap Khiri Khan
Kobi	Kobi
Linyi	Linyi
Qakare Ibi	Qakare Ibi
Sobekhotep IV	Sobekhotep IV
Elemental Gelade	Elemental Gelade
Liaocheng	Liaocheng
2904 Millman	2904 Millman
Aldein	Aldein
Binzhou	Binzhou
Gentleman Ghost	Gentleman Ghost
Andrian	Andrian
Betty White	Betty White
Talaan ng mga musika	Record chart
Crispin Beltran	Crispin Beltran
Emperador Fushimi	Emperor Fushimi
Masanobu Ando	Masanobu Ando
Jack Warden	Jack Warden
David Hyde Pierce	David Hyde Pierce
Dinastiyang Tairida	Tahirid dynasty
Adrian Peterson	Adrian Peterson
David Paymer	David Paymer
Emperador Konoe	Emperor Konoe
Danilo Lagbas	Danilo Lagbas
Emperador Murakami	Emperor Murakami
Emperador Shijō	Emperor Shijō
Shin Terai	Shin Terai
Kuno Becker	Kuno Becker
Laurence Harvey	Laurence Harvey
Nuno Álvares Pereira	Nuno Álvares Pereira
Patton Oswalt	Patton Oswalt
Emperador Go-Nijō	Emperor Go-Nijō
Emperador Go-Ichijō	Emperor Go-Ichijō
John Ratzenberger	John Ratzenberger
Emperador En'yū	Emperor En'yū
Altrei	Altrei
Antonio Zucchi	Antonio Zucchi
Emperador Reizei	Emperor Reizei
Emperador Junna	Emperor Junna
Toledo	Toledo
Dan Fogler	Dan Fogler
Jeddah	Jeddah
Leche flan	Crème caramel
The Venus Wars	Venus Wars
Tagukan	Glottis
Gabriel ng Ina ng Hapis	Gabriel of Our Lady of Sorrows
Ashikaga, Tochigi	Ashikaga, Tochigi
Oyama, Tochigi	Oyama, Tochigi
Hafling	Hafling
Amyntas II	Amyntas II of Macedon
Ebino, Miyazaki	Ebino, Miyazaki
Batok	Nape
Vöran	Vöran
Agematsu, Nagano	Agematsu, Nagano
2687 Tortali	2687 Tortali
Nanmoku, Gunma	Nanmoku, Gunma
Laura Carmine	Laura Carmine
Hanford, Kaliporniya	Hanford, California
Distritong Pambatas ng Lalawigan ng Capiz	Legislative districts of Capiz
Mahmud Iskandar Ismail	Iskandar of Johor
2550 Houssay	2550 Houssay
Barbian	Barbian
Hor	Hor
Corey Feldman	Corey Feldman
Araling Ruso	Russian studies
Prags	Prags
La Peña	La Peña, Cundinamarca
Poison Ivy (komiks)	Poison Ivy (comics)
DWBM-FM	DWBM-FM
Hippolytus (dula)	Hippolytus (play)
Kasukabe, Saitama	Kasukabe, Saitama
Pagguguntingan	Tribadism
The Replacements	The Replacements (TV series)
Bessude	Bessude
Richard Kiel	Richard Kiel
Clearlake, California	Clearlake, California
Bronzolo	Bronzolo
Web kulay	Web colors
Panliligaw	Courtship
Kuens	Kuens
Pamamahalang may estratehiya	Strategic management
Carl Johnson	Carl Johnson (Grand Theft Auto)
Pamitpit	Bandage
Chittagong	Chittagong
Erzurum Province	Erzurum Province
Paglalakbay sa himpapawid	Air travel
As (barya)	As (Roman coin)
Kama, Pukuoka	Kama, Fukuoka
Valledupar	Valledupar
Sand in Taufers	Sand in Taufers
Peter Firth	Peter Firth
Freienfeld	Freienfeld
Kastelbell-Tschars	Kastelbell-Tschars
Chargino	Chargino
Kastelruth	Kastelruth
2430 Bruce Helin	2430 Bruce Helin
Bundok ng Sinai	Mount Sinai
Ruda Tarnowska	Ruda Tarnowska
Bell, California	Bell, California
Kiens	Kiens
Philip Abelson	Philip Abelson
Ōe, Yamagata	Ōe, Yamagata
Karneid	Karneid
Incubus	Incubus
Nagsasariling Sosyalistikong Republikang Soviet ng Adjar	Adjar Autonomous Soviet Socialist Republic
Hagi, Yamaguchi	Hagi, Yamaguchi
Novara di Sicilia	Novara di Sicilia
Jumong	Dongmyeong of Goguryeo
Yuria Kato	Yuria Kato
Insect Queen (DC Comics)	Insect Queen (DC Comics)
Asambleang Konsultibong Islamiko	Islamic Consultative Assembly
San Pantaleon	Saint Pantaleon
Arnoldo Foà	Arnoldo Foà
Nedašovce	Nedašovce
Kasakdalan	Perfection
Ganting asido-base	Acid–base reaction
Prasutagus	Prasutagus
Pagkilala ng paterno	Pattern recognition
Beaurieux, Aisne	Beaurieux, Aisne
Demonisasyon	Demonization
Pulsar Stargrave	Pulsar Stargrave
Jacob Riis	Jacob Riis
Ikaruga, Nara	Ikaruga, Nara
Operasyong Ten-Go	Operation Ten-Go
Peabo Bryson	Peabo Bryson
Monopolistikong kompetisyon	Monopolistic competition
Song Siyeol	Song Si-yeol
Won Gyun	Won Gyun
Neriglissar	Neriglissar
Lactase	Lactase
Práxedes Mateo Sagasta	Práxedes Mateo Sagasta
Shoichi Yokoi	Shoichi Yokoi
James Wolfe	James Wolfe
Tadanobu Asano	Tadanobu Asano
Prem Tinsulanonda	Prem Tinsulanonda
Penthesilea	Penthesilea
Olaudah Equiano	Olaudah Equiano
Enmebaragesi	Enmebaragesi
Kurtinig an der Weinstraße	Kurtinig an der Weinstraße
Corvara, Trentino-Alto Adige/Südtirol	Corvara, South Tyrol
Pang-abay	Adverb
Fulgencio ng Ruspe	Fulgentius of Ruspe
Lee Byung Hun	Lee Byung-hun
Kim Hee Chul	Kim Heechul
Tony Stewart	Tony Stewart
Enterobacteriaceae	Enterobacteriaceae
Graun im Vinschgau	Graun im Vinschgau
Jejomar Binay	Jejomar Binay
Toblach	Toblach
Neumarkt, Trentino-Alto Adige/Südtirol	Neumarkt, South Tyrol
Pfalzen	Pfalzen
Estadistikang deskriptibo	Descriptive statistics
Ayahuasca	Ayahuasca
Dionisio II ng Siracusa	Dionysius II of Syracuse
Khendjer	Khendjer
Emperador Go-Tsuchimikado	Emperor Go-Tsuchimikado
Pablo Miki	Paulo Miki
Tekstong Masoretiko	Masoretic Text
Psusennes I	Psusennes I
Cotton Mather	Cotton Mather
Lalawigan ng Sukhothai	Sukhothai Province
Resistansiya sa antibiotiko	Antimicrobial resistance
Sal Mineo	Sal Mineo
Hokuriku	Hokuriku region
Sais, Ehipto	Sais, Egypt
Panunumpa	Oath
Jim Dauterive	Jim Dauterive
Krisis	Crisis
Taekwondo sa Palarong Olimpiko sa Tag-init 2008	Taekwondo at the 2008 Summer Olympics
Kim Young Kwang	Kim Young-kwang
Bob Barker	Bob Barker
Ted Danson	Ted Danson
QBasic	QBasic
Pthirus pubis	Crab louse
Ralph Richardson	Ralph Richardson
Konsumasyon	Consummation
Mga sagisag ng Olimpiko	Olympic symbols
Völs am Schlern	Völs am Schlern
Aerobiyolohiya	Aerobiology
Franzensfeste	Franzensfeste
Cary-Hiroyuki Tagawa	Cary-Hiroyuki Tagawa
Carter Jenkins	Carter Jenkins
Aesop (paglilinaw)	Aesop (disambiguation)
Puntod	Tomb
Mga Aeta	Aeta people
Mesang Bilog	Round Table
Papa Anianus ng Alehandriya	Pope Anianus of Alexandria
Sessue Hayakawa	Sessue Hayakawa
Jose Mari	José Mari
Leland Stanford	Leland Stanford
Distrito ng Sabirabad	Sabirabad District
Romana (SS)	Romana, Sardinia
Damon Wayans	Damon Wayans
Mamalyang pandagat	Marine mammal
Aidomaggiore	Aidomaggiore
Albagiara	Albagiara
Ales (Sardinia)	Ales, Sardinia
Allai (OR)	Allai, Sardinia
Arborea	Arborea
Ardauli	Ardauli
Assolo	Assolo
Asuni	Asuni
Baradili	Baradili
Baratili San Pietro	Baratili San Pietro
Baressa	Baressa
Bauladu	Bauladu
2095 Parsifal	2095 Parsifal
Gobernador-Heneral	Governor-General
Hilagang-kanlurang Pederal na Distrito	Northwestern Federal District
Sabrina, the Teenage Witch (serye sa telebisyon)	Sabrina, the Teenage Witch (TV series)
Kroniko	Chronic (medicine)
San Carlos, California	San Carlos, California
Bakuna sa trangkaso	Influenza vaccine
Solana Beach, California	Solana Beach, California
Papa Efimero Esteban	Pope-elect Stephen
Greater Sudbury	Greater Sudbury
Demen	Demen
2416 Sharonov	2416 Sharonov
2474 Ruby	2474 Ruby
Afrāsyāb	Afrasiab
Slatina nad Bebravou	Slatina nad Bebravou
Athies-sous-Laon	Athies-sous-Laon
Alan Kuo	Alan Ko
Tumblr	Tumblr
Mensahe ni Aresibo	Arecibo message
Penguin (komiks)	Penguin (comics)
Jose Cojuangco Jr.	Jose Cojuangco, Jr.
Litoměřice	Litoměřice
Bellamy Young	Bellamy Young
Tratado	Treatise
Tesalia	Tesalia
The Quarrymen	The Quarrymen
Kawartha Lakes, Ontario	Kawartha Lakes
Oda, Shimane	Ōda, Shimane
Ōbu, Aichi	Ōbu, Aichi
Ōgaki, Gifu	Ōgaki, Gifu
Ōfunato, Iwate	Ōfunato, Iwate
Ōi, Fukui	Ōi, Fukui
Oiso, Kanagawa	Ōiso, Kanagawa
Linyang Ōito	Ōito Line
Ōizumi, Gunma	Ōizumi, Gunma
Wolf and Spice	Spice and Wolf
Okawa, Pukuoka	Ōkawa, Fukuoka
Ōki, Fukuoka	Ōki, Fukuoka
Ōkuma, Fukushima	Ōkuma, Fukushima
Ōmachi, Nagano	Ōmachi, Nagano
Konstruksiyon	Construction
Linyang Ōme	Ōme Line
Ōmihachiman, Shiga	Ōmihachiman, Shiga
Bonarcado	Bonarcado
Sistemang galaktiko ng mga koordinato	Galactic coordinate system
Boroneddu	Boroneddu
Bosa	Bosa
Busachi	Busachi
Omura, Nagasaki	Ōmura, Nagasaki
Ōnan, Shimane	Ōnan, Shimane
Omuta, Pukuoka	Ōmuta, Fukuoka
Cabras, Italy	Cabras, Sardinia
Cuglieri	Cuglieri
Curcuris	Curcuris
Flussio	Flussio
Ono, Fukui	Ōno, Fukui
Fordongianus	Fordongianus
Genoni	Genoni
Onodyo, Pukuoka	Ōnojō, Fukuoka
Tendo, Yamagata	Tendō, Yamagata
Ghilarza	Ghilarza
Gonnoscodina	Gonnoscodina
Gonnosnò	Gonnosnò
Osakasayama, Osaka	Ōsakasayama, Osaka
Gonnostramatza	Gonnostramatza
Laconi	Laconi
Ōsaki, Miyagi	Ōsaki, Miyagi
Ōshū, Iwate	Ōshū, Iwate
Parokya ng Saint Paul, Antigua at Barbuda	Saint Paul Parish, Antigua and Barbuda
Minamata, Kumamoto	Minamata, Kumamoto
Ota, Gunma	Ōta, Gunma
Otake, Hiroshima	Ōtake, Hiroshima
Disyembre 2011	December 2011
Setyembre 2011	September 2011
Magomadas	Magomadas
2734 Hašek	2734 Hašek
Agosto 2011	August 2011
Otawara, Tochigi	Ōtawara, Tochigi
Marrubiu	Marrubiu
Whitby, Ontario	Whitby, Ontario
Masullas	Masullas
Devil May Cry: The Animated Series	Devil May Cry: The Animated Series
Milis	Milis
Sevilla, Bohol	Sevilla, Bohol
Modolo	Modolo
Ōtsuchi, Iwate	Ōtsuchi, Iwate
Ōtō, Fukuoka	Ōtō, Fukuoka
Distrito ng Qusar	Qusar District
Otsuki, Yamanashi	Ōtsuki, Yamanashi
Geraci Siculo	Geraci Siculo
Mogorella	Mogorella
Pickering, Ontario	Pickering, Ontario
Niihama, Ehime	Niihama, Ehime
Hikone, Shiga	Hikone, Shiga
Mogoro	Mogoro
Iwata, Syisuoka	Iwata, Shizuoka
Osu, Ehime	Ōzu, Ehime
Fujisawa, Kanagawa	Fujisawa, Kanagawa
Montresta	Montresta
Daito, Osaka	Daitō, Osaka
Kusatsu, Shiga	Kusatsu, Shiga
Pami	Pami
Morgongiori	Morgongiori
Niisa, Saitama	Niiza, Saitama
Yamato, Kanagawa	Yamato, Kanagawa
1963 Bezovec	1963 Bezovec
Narbolia	Narbolia
Neoneli	Neoneli
Norbello	Norbello
2584 Turkmenia	2584 Turkmenia
Nughedu Santa Vittoria	Nughedu Santa Vittoria
Hita, Ōita	Hita, Ōita
Nurachi	Nurachi
Torreón	Torreón
Nureci	Nureci
Ollastra	Ollastra
Malibu, California	Malibu, California
Digmaang Kurukshetra	Kurukshetra War
Kawagutsi, Saitama	Kawaguchi, Saitama
Palmas Arborea	Palmas Arborea
Paraiso, Kaliporniya	Paradise, California
Pau (OR)	Pau, Sardinia
Kamogawa, Chiba	Kamogawa, Chiba
Paulilatino	Paulilatino
Shiwa, Iwate	Shiwa, Iwate
Kamagaya, Chiba	Kamagaya, Chiba
Girls on Top	Girls on Top (album)
Pompu	Pompu
Ruinas	Ruinas
Pingpong sa Palarong Olimpiko sa Tag-init 2008	Table tennis at the 2008 Summer Olympics
Malvagna	Malvagna
Samugheo	Samugheo
San Nicolò d'Arcidano	San Nicolò d'Arcidano
San Vero Milis	San Vero Milis
Polliat	Polliat
Santa Giusta	Santa Giusta
Santu Lussurgiu	Santu Lussurgiu
Jose Mari Chan	Jose Mari Chan
Scano di Montiferro	Scano di Montiferro
Distrito ng Shabran	Shabran District
Distrito ng Shakhbuz	Shahbuz District
Sedilo	Sedilo
Distrito ng Goygol	Goygol District
Paglalandi	Estrous cycle
Afro Samurai	Afro Samurai
Pulgas	Flea
Panitikang Aprikano-Amerikano	African-American literature
Seneghe	Seneghe
Senis	Senis
Şamaxı	Shamakhi
Cinisi	Cinisi
Sennariolo	Sennariolo
Bullseye (komiks)	Bullseye (comics)
Siamaggiore	Siamaggiore
Siamanna	Siamanna
Siapiccia	Siapiccia
Toru Nakamura	Tōru Nakamura (golfer)
Simala	Simala
Simaxis	Simaxis
Şanlıurfa Province	Şanlıurfa Province
Kaibutsu-kun	Kaibutsu-kun
Panahon ng Jazz	Jazz Age
Sini (OR)	Sini, Sardinia
Siris (OR)	Siris, Sardinia
Soddì	Soddì
Solarussa	Solarussa
Apostolikong Hari ng Unggarya	Apostolic King
2251 Tikhov	2251 Tikhov
790 Pretoria	790 Pretoria
Sorradile	Sorradile
Anal Beads	Anal beads
Flavor Flav	Flavor Flav
Suni (OR)	Suni, Sardinia
Ruskovce, Distrito ng Bánovce nad Bebravou	Ruskovce, Bánovce nad Bebravou District
Distrito ng Shusha	Shusha District
Distrito ng Tovuz	Tovuz District
Trabzon Province	Trabzon Province
After School Nightmare	After School Nightmare
Kim Jung Ah	After School (band)
Palaro ng Timog Silangang Asya 1977	1977 Southeast Asian Games
Passow, Mecklenburg-Vorpommern	Passow, Mecklenburg-Vorpommern
Papel moras	Paper mulberry
Neal Schon	Neal Schon
Tadasuni	Tadasuni
Terralba	Terralba
Tinnura	Tinnura
Tramatza	Tramatza
Tresnuraghes	Tresnuraghes
Ulà Tirso	Ulà Tirso
Uras	Uras
Usellus	Usellus
Villa Sant'Antonio	Villa Sant'Antonio
Distrito ng Qazakh	Qazakh District
Villa Verde	Villa Verde
Villanova Truschedu	Villanova Truschedu
Villaurbana	Villaurbana
Toyokawa, Aitsi	Toyokawa, Aichi
Kariya, Aichi	Kariya, Aichi
Komaki, Aichi	Komaki, Aichi
Inazawa, Aichi	Inazawa, Aichi
Neyagawa, Osaka	Neyagawa, Osaka
Imperyong Akemenida	Achaemenid Empire
Technorati	Technorati
Atsugi, Kanagawa	Atsugi, Kanagawa
Planetesimal	Planetesimal
Glenn Chong	Glenn Chong
Lady Antebellum	Lady Antebellum
2104 Toronto	2104 Toronto
Brenda Marshall	Brenda Marshall
Anela	Anela
Ardara (SS)	Ardara, Sardinia
Banari	Banari
Benetutti	Benetutti
Acholeplasmataceae	Acholeplasmataceae
Bono, Italy	Bono, Italy
Yotsuba&!	Yotsuba&!
Bonorva	Bonorva
Tomakomai, Hokkaido	Tomakomai, Hokkaido
Borutta	Borutta
Agano, Niigata	Agano, Niigata
Surrey, British Columbia	Surrey, British Columbia
Bottidda	Bottidda
Bultei	Bultei
Bulzi	Bulzi
Burgos (SS)	Burgos, Sardinia
Cargeghe	Cargeghe
Cheremule	Cheremule
Chiaramonti	Chiaramonti
Codrongianos	Codrongianos
Cossoine	Cossoine
Erula	Erula
Esporlatu	Esporlatu
Olmedo (SS)	Olmedo, Sardinia
Higasyiyamato, Tokyo	Higashiyamato, Tokyo
Kanuma, Tochigi	Kanuma, Tochigi
Musashimurayama, Tokyo	Musashimurayama, Tokyo
Nagato, Yamaguchi	Nagato, Yamaguchi
Ichinoseki, Iwate	Ichinoseki, Iwate
Distrito ng Sharur	Sharur District
Florinas	Florinas
Giave	Giave
Illorai	Illorai
Ittireddu	Ittireddu
Ittiri	Ittiri
Laerru	Laerru
Mara (SS)	Mara, Sardinia
Martis	Martis
Monteleone Rocca Doria	Monteleone Rocca Doria
Mores (SS)	Mores, Sardinia
Muros, Italy	Muros, Sardinia
Nughedu San Nicolò	Nughedu San Nicolò
Nule	Nule
Nulvi	Nulvi
Osilo	Osilo
Ossi, Italy	Ossi, Sardinia
Black Adam	Black Adam
Ozieri	Ozieri
Bésame Mucho	Bésame Mucho
Padria	Padria
Booster Gold	Booster Gold
Pattada	Pattada
Perfugas	Perfugas
Ploaghe	Ploaghe
Porto Torres	Porto Torres
Pozzomaggiore	Pozzomaggiore
Putifigari	Putifigari
Santa Maria Coghinas	Santa Maria Coghinas
Semestene	Semestene
Sennori	Sennori
Sorso	Sorso
Stintino	Stintino
Han Geng	Han Geng
Take Me Home	Take Me Home (One Direction album)
Tergu	Tergu
Thiesi	Thiesi
Linyang Agatsuma	Agatsuma Line
Tissi	Tissi
Torralba, Italy	Torralba, Sardinia
Tula (SS)	Tula, Sardinia
Uri (SS)	Uri, Sardinia
Usini	Usini
Valledoria	Valledoria
Viddalba	Viddalba
Villanova Monteleone	Villanova Monteleone
Šišov	Šišov
Tokyo Mew Mew	Tokyo Mew Mew
Nabu	Nabu
Ebanghelyo ni Mateo	Gospel of Matthew
Kasunduang San Francisco	Treaty of San Francisco
Dagat Samar	Samar Sea
Agent Cody Banks	Agent Cody Banks
Shuruppak	Shuruppak
Shah Waliullah	Shah Waliullah
Jun Sena	Jun Sena
Aglutinasyon	Agglutination (biology)
Capitaine Albator	Space Pirate Captain Harlock
Zeno (paglilinaw)	Xenon (disambiguation)
Goma	Goma (disambiguation)
Hyena	Hyena (disambiguation)
Aglipay	Aglipay
Yamanashi	Yamanashi
Inés ng Bohemia	Agnes of Bohemia
Ilog Agno	Agno River
Lupa (paglilinaw)	Lupa
Michael J. Fox	Michael J. Fox
Agoura Hills, Kaliporniya	Agoura Hills, California
Sosyolohiyang rural	Rural sociology
Hanno	Hanno
Enkomiyenda	Encomienda
Ekonomikang pang-agrikultura	Agricultural economics
Romero (paglilinaw)	Romero (disambiguation)
Himagsikang Ruso	Russian Revolution (disambiguation)
Hilagang Kyushu	Northern Kyushu
Bugtong na Anak (Juan 3:16)	John 3:16
Anastasius I	Anastasius I
Upland	Upland
Play	Play
Ibrahim	Ibrahim (disambiguation)
Pontianak (paglilinaw)	Pontianak
Anhiyoma	Angioma
Yet	Yet
